Pred_X,Pred_Y,True_X,True_Y
3.6189175,0.5563184,3.6611812,0.7420852
3.644795,0.5699829,3.670403,0.7529186
3.637147,0.59346986,3.6717064,0.75440514
3.7084792,0.6106148,3.686783,0.76993823
3.694908,0.64320016,3.6949332,0.7778199
3.7000864,0.64431024,3.7075732,0.78943074
3.7154803,0.671123,3.7175784,0.7980646
3.734882,0.68875706,3.734084,0.81103826
3.6920335,0.69339085,3.7443736,0.8191235
3.7082686,0.67783237,3.7564697,0.8278611
3.6803021,0.68826306,3.7684753,0.83627397
3.7026243,0.71849203,3.7795396,0.84333396
3.716246,0.7925458,3.7889073,0.84914297
3.706181,0.7679653,3.8003328,0.8557724
3.7175927,0.8237697,3.8101583,0.8611506
3.740991,0.7846781,3.8232288,0.86781615
3.7772622,0.83315784,3.8350744,0.873797
3.7949138,0.9085376,3.841812,0.8766915
3.8094995,0.96205324,3.8554015,0.88319755
3.798496,0.9921439,3.8656971,0.88761294
3.841634,1.0072522,3.8777728,0.8923386
3.8639007,1.0251421,3.8884666,0.89643145
3.8519545,0.9853042,3.897124,0.89963764
3.8980346,0.97741365,3.9078467,0.90330195
3.9167478,0.98757374,3.9203856,0.9070152
3.8837168,0.9620159,3.9333289,0.91056037
3.9083972,0.99937725,3.9458792,0.9136502
3.9264517,0.9446833,3.9533057,0.9153883
3.9168122,0.9717267,3.9777393,0.9199694
3.9338653,0.98444784,3.992226,0.9225304
3.9501367,0.97755307,4.005189,0.92387575
3.9516706,0.9842178,4.0161023,0.92535424
3.95931,0.98776823,4.027277,0.9264543
3.9699576,0.9595063,4.03839,0.9272351
3.9797232,0.9664807,4.047789,0.9277353
4.0037355,0.9626748,4.059034,0.92803705
4.0282316,0.9224143,4.0721464,0.92814726
4.030968,0.94374675,4.0833364,0.9280032
4.074945,0.92789334,4.0947313,0.9277893
4.0536747,0.9315428,4.10605,0.9272421
4.0613303,0.9360853,4.117196,0.92657167
4.1083627,0.96409535,4.1285896,0.9254701
4.107513,0.9453491,4.139651,0.92424625
4.1162696,0.95317674,4.1564655,0.9221939
4.161592,0.9378483,4.1714387,0.9197377
4.1562047,0.90651053,4.184633,0.9173533
4.1328526,0.92292345,4.1957245,0.91482
4.1487284,0.9003295,4.208471,0.91169804
4.1541333,0.90326434,4.219359,0.9086663
4.1749973,0.90618175,4.2304316,0.90558636
4.2105784,0.8850162,4.240868,0.9024182
4.225118,0.90294355,4.25146,0.8990069
4.2423964,0.91754895,4.261773,0.8954549
4.258786,0.9141086,4.2705984,0.8924489
4.239048,0.8821496,4.274007,0.89114755
4.2689023,0.8918754,4.2911434,0.884098
4.2677984,0.88542056,4.3014574,0.8794752
4.288297,0.9103466,4.3147306,0.87306714
4.3081884,0.8929424,4.323195,0.86887175
4.326972,0.85684407,4.3430414,0.858394
4.3384447,0.897742,4.352728,0.8527766
4.339701,0.87164176,4.3637166,0.8457106
4.3476005,0.8325943,4.376706,0.8375783
4.38169,0.83266485,4.3872952,0.8301699
4.3693852,0.8317126,4.3978767,0.82245195
4.364365,0.8179282,4.4126406,0.8107275
4.3682756,0.80582297,4.425786,0.8000585
4.3877378,0.8014854,4.4356027,0.7914989
4.38322,0.7819042,4.4452,0.78254807
4.405815,0.7751883,4.453304,0.77462876
4.3896284,0.77998126,4.4585476,0.7694142
4.4159975,0.78480935,4.470064,0.7576709
4.4330163,0.797613,4.4814696,0.74543786
4.4760294,0.79877675,4.489271,0.73579705
4.470386,0.76402783,4.497549,0.724885
4.496499,0.75798965,4.5042377,0.7132361
4.5242996,0.75193274,4.5108123,0.70316386
4.476894,0.7790332,4.515546,0.6961129
4.4887857,0.7511021,4.52669,0.6816838
4.504746,0.74689746,4.536561,0.67046165
4.4931397,0.7315537,4.543136,0.66379595
4.4919977,0.7143779,4.5510244,0.6561663
4.5022316,0.69919384,4.55905,0.6487341
4.5164366,0.7002789,4.56883,0.64028335
4.5064316,0.67626584,4.57738,0.6332905
4.5217085,0.69300413,4.586032,0.6266968
4.528435,0.6919942,4.5934076,0.6212044
4.5648136,0.6984993,4.6024504,0.61469555
4.5826244,0.7031331,4.611632,0.6084292
4.5671616,0.6709181,4.620937,0.6025274
4.5914483,0.6776732,4.6284747,0.5978675
4.574955,0.65182304,4.6375246,0.5924157
4.6007304,0.64996016,4.648736,0.58628833
4.6198096,0.6436931,4.6617374,0.5794945
4.6297045,0.62123394,4.6732845,0.57383966
4.6149592,0.6091825,4.6833544,0.5693852
4.6180596,0.60009885,4.694486,0.5640001
4.6258783,0.58228934,4.7059307,0.5592382
4.6735535,0.5699755,4.716008,0.5555055
4.674873,0.5700724,4.7278447,0.55173385
4.66463,0.55474174,4.736925,0.54901457
4.6902447,0.5426997,4.7476926,0.54625225
4.693827,0.5497674,4.7566075,0.5441886
4.714966,0.5661036,4.767565,0.54183185
4.7423167,0.57620525,4.776645,0.53993595
4.753233,0.56934154,4.7838697,0.5387361
4.7521296,0.5587894,4.8016,0.536139
4.784826,0.55122066,4.819499,0.53387725
4.7840757,0.55710685,4.8359766,0.532534
4.7942023,0.5598614,4.8522916,0.53167784
4.794511,0.54262805,4.8665323,0.5311568
4.790378,0.5589012,4.8813825,0.53144634
4.814076,0.5437435,4.8944373,0.53222656
4.8272734,0.5495467,4.9075685,0.53321004
4.8486724,0.5500866,4.9232574,0.5344602
4.870119,0.55856335,4.9336357,0.5358435
4.883479,0.55630684,4.947493,0.5378834
4.907782,0.5699558,4.9579883,0.5398004
4.9157476,0.603353,4.9685764,0.54208434
4.9956436,0.6190343,4.979142,0.54486394
4.9648623,0.58404016,4.989749,0.5476996
4.989651,0.6053405,5.005583,0.55256915
4.9998627,0.6009749,5.017819,0.5567738
5.010534,0.6167929,5.03146,0.56193495
5.0069017,0.6354821,5.0418153,0.56606686
5.0096083,0.61795986,5.051928,0.57047045
5.0497756,0.616156,5.062159,0.575014
5.065491,0.6146029,5.075214,0.5814736
5.0674667,0.6232486,5.084959,0.5865061
5.072059,0.61344147,5.0943594,0.59167004
5.087388,0.61514676,5.0958624,0.59258354
5.1142898,0.6383002,5.116259,0.6050575
5.137649,0.6369183,5.125719,0.6112453
5.119489,0.61881864,5.1347785,0.6178167
5.139721,0.6184056,5.146302,0.6266961
5.160621,0.635249,5.1562753,0.6344993
5.1681824,0.64081025,5.163124,0.64036167
5.1899414,0.6571828,5.171204,0.6475607
5.180657,0.6526431,5.179396,0.6550194
5.1993074,0.66104317,5.185943,0.6612381
5.223249,0.66965795,5.193653,0.66871476
5.2044954,0.6879438,5.2013307,0.67660725
5.2490635,0.6799977,5.2105494,0.6877934
5.2541223,0.6561041,5.219214,0.6972909
5.2750154,0.68605185,5.222408,0.7012433
5.2900515,0.72473824,5.2348204,0.71726084
5.273196,0.71576846,5.2436113,0.7284275
5.291612,0.7342237,5.252584,0.7402129
5.2890496,0.7307422,5.261566,0.7506789
5.2980423,0.7322762,5.269589,0.7590661
5.320981,0.76749086,5.276291,0.7656443
5.2876453,0.77353835,5.2846704,0.7732074
5.3313837,0.7869798,5.2929635,0.78065264
5.334795,0.7716037,5.2998195,0.7867017
5.3390207,0.8023771,5.3098893,0.7947793
5.3646307,0.7641593,5.321983,0.8039565
5.374871,0.79295087,5.328367,0.8084556
5.356967,0.81014776,5.350578,0.824155
5.3428774,0.8937563,5.3665624,0.8340119
5.3964744,0.7872622,5.379413,0.8414591
