Pred_X,Pred_Y,True_X,True_Y
4.2557855,1.6737915,4.2532563,1.6321734
4.240117,1.6806642,4.237151,1.646628
4.2236586,1.6905141,4.225084,1.6577208
4.212403,1.6999621,4.2156315,1.6660455
4.19562,1.703481,4.2043295,1.6757643
4.180941,1.7208407,4.1933413,1.6857253
4.154823,1.7252021,4.1845202,1.6942202
4.1270657,1.7349995,4.174149,1.7044401
4.124346,1.7445846,4.1659408,1.7130911
4.106647,1.7567172,4.156327,1.7237002
4.099242,1.77115,4.1470547,1.734675
4.102708,1.7810756,4.1394844,1.7441908
4.0943227,1.785764,4.130639,1.7558051
4.0885286,1.7904915,4.1236377,1.7657417
4.0743113,1.7936106,4.1151204,1.7776036
4.060275,1.8030989,4.1084733,1.787907
4.061667,1.8070121,4.1005645,1.8007033
4.056668,1.8244282,4.0941486,1.811189
4.050516,1.8346542,4.088112,1.8217244
4.049531,1.8452394,4.081201,1.8346262
4.040805,1.8564306,4.075051,1.8474681
4.0358844,1.8642243,4.0697684,1.8586932
4.0345063,1.8822262,4.063908,1.8721318
4.0261884,1.8965238,4.0590844,1.8835503
4.015294,1.9078069,4.0547447,1.8945584
4.005576,1.9219915,4.0497227,1.9084026
4.001485,1.9384457,4.044903,1.9220997
4.0022535,1.9484495,4.041356,1.9334314
3.9956908,1.9584506,4.037202,1.9472189
3.9938965,1.9806638,4.0344296,1.9589574
3.9883707,1.988956,4.0317698,1.9729035
3.982922,2.0045936,4.029208,1.9846838
3.9902105,2.0196345,4.0270095,1.9998935
3.9762323,2.0241416,4.0250673,2.013542
3.9857662,2.0392249,4.0225377,2.0315433
3.9861734,2.0632553,4.020891,2.0467157
3.9500475,2.0761132,4.0188227,2.062289
3.9587386,2.0963898,4.015803,2.081495
3.9535344,2.1201432,4.012856,2.1010015
3.941958,2.1337488,4.010061,2.1195395
3.946174,2.1512346,4.0077558,2.1349044
3.942543,2.1691701,4.0048637,2.1527438
3.939955,2.1788824,4.0029335,2.1675057
3.9497306,2.1934867,4.0003467,2.1852162
3.9380481,2.2164333,3.9973774,2.2024572
3.93093,2.229628,3.995442,2.2166405
3.9329808,2.2445033,3.9926405,2.233387
3.9222484,2.2569523,3.9913776,2.2477052
3.9173899,2.2685268,3.9889343,2.2649024
3.9118485,2.2814238,3.986396,2.281416
3.9037943,2.3011131,3.9841614,2.2979498
3.8976583,2.3109033,3.9818983,2.3147132
3.909191,2.3277884,3.9794705,2.3308432
3.9305923,2.3401737,3.9773612,2.3444893
3.928694,2.3470674,3.9749086,2.360945
3.93034,2.3658493,3.9718497,2.3802197
