RSSI_7,RSSI_8,RSSI_10,RSSI_11,RSSI_14,RSSI_18,RSSI_20,RSSI_22,RSSI_24,RSSI_25,RSSI_27,RSSI_29,RSSI_30,RSSI_31,RSSI_32,RSSI_34,RSSI_35,RSSI_36,RSSI_37,RSSI_41,RSSI_42,RSSI_44,RSSI_45,RSSI_46,RSSI_47,RSSI_48,RSSI_51,RSSI_52,RSSI_53,RSSI_54,RSSI_55,RSSI_56,RSSI_58,RSSI_60,RSSI_63,RSSI_68,RSSI_70,RSSI_71,RSSI_72,RSSI_73,RSSI_74,RSSI_77,RSSI_78,RSSI_79,RSSI_80,RSSI_85,RSSI_87,RSSI_90,RSSI_91,RSSI_95,RSSI_101,RSSI_103,RSSI_104,RSSI_106,RSSI_111,RSSI_116,RSSI_117,RSSI_121,RSSI_122,RSSI_127,RSSI_129,RSSI_133,RSSI_134,RSSI_138,RSSI_141,RSSI_142,RSSI_143,RSSI_144,RSSI_145,RSSI_147,RSSI_148,RSSI_149,RSSI_159,RSSI_168,RSSI_171,RSSI_184,RSSI_198,RSSI_201,RSSI_202,RSSI_203,RSSI_214,RSSI_215,RSSI_216,RSSI_217,RSSI_218,RSSI_220,RSSI_221,RSSI_222,RSSI_229,RSSI_230,RSSI_231,RSSI_233,RSSI_234,RSSI_238,RSSI_239,RSSI_240,RSSI_241,RSSI_242,RSSI_243,RSSI_244,RSSI_245,RSSI_246,RSSI_247,RSSI_249,RSSI_250,RSSI_252,RSSI_259,RSSI_260,RSSI_274,RSSI_275,RSSI_278,RSSI_279,RSSI_280,RSSI_281,RSSI_282,RSSI_283,RSSI_284,RSSI_285,RSSI_286,RSSI_287,RSSI_288,RSSI_289,RSSI_290,RSSI_291,RSSI_292,RSSI_293,RSSI_294,RSSI_295,RSSI_296,RSSI_297,RSSI_298,RSSI_299,RSSI_301,RSSI_302,RSSI_303,RSSI_307,RSSI_308,RSSI_309,RSSI_310,RSSI_311,RSSI_312,RSSI_321,RSSI_322,RSSI_323,RSSI_324,RSSI_325,RSSI_326,RSSI_327,RSSI_328,RSSI_329,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,magnetometer_x,magnetometer_y,magnetometer_z,x_coord,y_coord,z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,-87,0,0,-86,0,0,0,-73,-74,-86,0,-49,-49,-59,-49,-89,-58,-59,-58,-84,-59,0,0,-59,0,-65,-65,-65,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,-72,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,-87,-87,0,0,0,0,0,0,0,0,0,0,0,-85,-85,0,0,0,0,0,0,0,0.04337143,-0.17592919,-0.054367006,0.30166942,9.476251,-2.7030537,-5.46,-57.6,-12.48,62.878166,38.017109,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,-87,0,0,-86,0,0,0,-73,-74,-86,0,-49,-49,-59,-49,-89,-58,-59,-58,-84,-59,0,0,-59,0,-65,-65,-65,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,-72,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,-87,-87,0,0,0,0,0,0,0,0,0,0,0,-85,-85,0,0,0,0,0,0,0,-0.006719518,-0.012217305,0.040317107,0.59615624,9.337387,-3.1675289,-6.12,-57.18,-12.3,62.8777387,38.00655372,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,-0.11178834,-0.07391469,0.089186326,0.47165772,8.980651,-2.6120741,-6.8999996,-57.719997,-11.4,62.8773114,37.99599845,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,-0.16920967,-0.003054326,0.0421497,0.8283938,9.382876,-3.2273839,-7.9199996,-56.28,-12.48,62.8768841,37.98544317,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,-0.1600467,-0.16126843,0.022602014,0.35434186,9.184157,-2.5809495,-7.68,-56.52,-12.059999,62.8764568,37.9748879,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,-0.09773844,-0.034208454,-0.013439035,0.8834604,9.871294,-2.906561,-7.7999997,-55.079998,-13.679999,62.8760295,37.96433262,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,-0.12217305,-0.006719518,-0.032986723,0.78769237,9.78989,-2.7509377,-6.72,-55.739998,-13.08,62.8756022,37.95377734,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,-0.07086037,-0.061086524,0.014049901,0.34237084,10.206482,-2.0111294,-6.48,-55.86,-12.66,62.8751749,37.94322207,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,0.064751714,-0.08368854,0.006719518,0.7086837,9.763555,-2.2529438,-7.56,-55.8,-13.139999,62.8747476,37.93266679,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,0.11056661,0.045814894,0.05009095,0.80445176,9.528923,-2.542642,-6.7799997,-56.1,-12.36,62.87432029,37.92211152,6.313711473
