RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,RSSI_8,RSSI_9,RSSI_10,RSSI_11,RSSI_12,RSSI_13,RSSI_14,RSSI_15,RSSI_16,RSSI_17,RSSI_18,RSSI_20,RSSI_21,RSSI_22,RSSI_25,RSSI_27,RSSI_28,RSSI_30,RSSI_31,RSSI_33,RSSI_35,RSSI_38,RSSI_39,RSSI_40,RSSI_41,RSSI_42,RSSI_43,RSSI_47,RSSI_48,RSSI_49,RSSI_50,RSSI_51,RSSI_52,RSSI_53,RSSI_54,RSSI_55,RSSI_56,RSSI_57,RSSI_58,RSSI_59,RSSI_60,RSSI_61,RSSI_62,RSSI_63,RSSI_64,RSSI_65,RSSI_66,RSSI_67,RSSI_68,RSSI_69,RSSI_70,RSSI_71,RSSI_72,RSSI_73,RSSI_74,RSSI_75,RSSI_76,RSSI_81,RSSI_82,RSSI_83,RSSI_85,RSSI_86,RSSI_87,RSSI_89,RSSI_99,RSSI_100,RSSI_101,RSSI_102,RSSI_103,RSSI_104,RSSI_105,RSSI_106,RSSI_109,RSSI_110,RSSI_112,RSSI_113,RSSI_114,RSSI_115,RSSI_116,RSSI_117,RSSI_119,RSSI_120,RSSI_121,RSSI_122,RSSI_123,RSSI_124,RSSI_125,RSSI_126,RSSI_127,RSSI_128,RSSI_129,RSSI_130,RSSI_131,RSSI_132,RSSI_133,RSSI_134,RSSI_135,RSSI_136,RSSI_137,RSSI_138,RSSI_139,RSSI_140,RSSI_141,RSSI_142,RSSI_143,RSSI_144,RSSI_145,RSSI_147,RSSI_148,RSSI_149,RSSI_151,RSSI_152,RSSI_153,RSSI_154,RSSI_155,RSSI_159,RSSI_160,RSSI_161,RSSI_162,RSSI_164,RSSI_165,RSSI_166,RSSI_167,RSSI_168,RSSI_169,RSSI_171,RSSI_175,RSSI_176,RSSI_177,RSSI_178,RSSI_179,RSSI_180,RSSI_181,RSSI_182,RSSI_183,RSSI_184,RSSI_185,RSSI_186,RSSI_187,RSSI_188,RSSI_190,RSSI_191,RSSI_192,RSSI_193,RSSI_194,RSSI_196,RSSI_197,RSSI_198,RSSI_199,RSSI_200,RSSI_201,RSSI_202,RSSI_207,RSSI_209,RSSI_214,RSSI_217,RSSI_224,RSSI_239,RSSI_241,RSSI_246,RSSI_251,RSSI_252,RSSI_270,RSSI_375,RSSI_376,RSSI_377,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,magnetometer_x,magnetometer_y,magnetometer_z,x_coord,y_coord,z
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-75,-78,-77,-76,-72,-81,-62,-63,-74,-100,-77,-100,-57,-57,-85,-100,-63,-100,-100,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-73,-72,-70,-71,-72,-90,-100,-88,-100,-75,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-83,-100,-100,-89,-84,-100,-100,-85,-83,-100,-100,-100,-100,-88,-85,-85,-85,-83,-84,-100,-100,-100,-85,-86,-100,-100,-100,-89,-87,-87,-90,-90,-100,-88,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-0.13805555,0.06414085,-0.099571034,1.0271125,9.229648,-3.7014358,-2.28,-64.799995,-6.54,70.331284,37.379848,1.752853269
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-75,-78,-77,-76,-72,-81,-62,-63,-74,-100,-77,-100,-57,-57,-85,-100,-63,-100,-100,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-73,-72,-70,-71,-72,-90,-100,-88,-100,-75,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-83,-100,-100,-89,-84,-100,-100,-85,-83,-100,-100,-100,-100,-88,-85,-85,-85,-83,-84,-100,-100,-100,-85,-86,-100,-100,-100,-89,-87,-87,-90,-90,-100,-88,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-0.03176499,0.11484267,-0.02565634,0.40222588,9.009381,-3.5051112,-2.58,-64.92,-6.12,70.33056133,37.37915924,1.752853269
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-75,-78,-77,-76,-72,-81,-62,-63,-74,-100,-77,-100,-57,-57,-85,-100,-63,-100,-100,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-73,-72,-70,-71,-72,-90,-100,-88,-100,-75,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-83,-100,-100,-89,-84,-100,-100,-85,-83,-100,-100,-100,-100,-88,-85,-85,-85,-83,-84,-100,-100,-100,-85,-86,-100,-100,-100,-89,-87,-87,-90,-90,-100,-88,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-0.03726278,0.026267206,0.0421497,0.7086837,9.045294,-3.7972038,-1.92,-63.96,-6.18,70.32983866,37.37847048,1.752853269
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-73,-53,-76,-78,-72,-83,-53,-52,-65,-100,-80,-100,-60,-62,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-70,-69,-74,-74,-77,-100,-100,-100,-100,-78,-100,-66,-100,-100,-100,-100,-81,-100,-100,-100,-100,-76,-83,-100,-86,-100,-80,-83,-100,-78,-79,-100,-100,-100,-85,-86,-86,-87,-86,-86,-100,-78,-87,-100,-100,-86,-86,-100,-86,-84,-86,-88,-88,-85,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-89,-100,-0.16310102,0.08674286,-0.007941248,0.7062895,9.030929,-3.5218706,-2.1599998,-64.56,-6.8399997,70.32911599,37.37778173,1.752853269
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-73,-53,-76,-78,-72,-83,-53,-52,-65,-100,-80,-100,-60,-62,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-70,-69,-74,-74,-77,-100,-100,-100,-100,-78,-100,-66,-100,-100,-100,-100,-81,-100,-100,-100,-100,-76,-83,-100,-86,-100,-80,-83,-100,-78,-79,-100,-100,-100,-85,-86,-86,-87,-86,-86,-100,-78,-87,-100,-100,-86,-86,-100,-86,-84,-86,-88,-88,-85,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-89,-100,-0.18875736,0.08857546,-0.007330383,0.7374141,9.205706,-2.8754363,-1.9799999,-64.26,-8.22,70.32839332,37.37709297,1.752853269
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-73,-53,-76,-78,-72,-83,-53,-52,-65,-100,-80,-100,-60,-62,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-70,-69,-74,-74,-77,-100,-100,-100,-100,-78,-100,-66,-100,-100,-100,-100,-81,-100,-100,-100,-100,-76,-83,-100,-86,-100,-80,-83,-100,-78,-79,-100,-100,-100,-85,-86,-86,-87,-86,-86,-100,-78,-87,-100,-100,-86,-86,-100,-86,-84,-86,-88,-88,-85,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-89,-100,-0.11911872,0.11056661,-0.006108652,1.1851299,9.469068,-3.1316159,-2.1599998,-64.32,-7.2599998,70.32767065,37.37640421,1.752853269
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-73,-53,-76,-78,-72,-83,-53,-52,-65,-100,-80,-100,-60,-62,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-70,-69,-74,-74,-77,-100,-100,-100,-100,-78,-100,-66,-100,-100,-100,-100,-81,-100,-100,-100,-100,-76,-83,-100,-86,-100,-80,-83,-100,-78,-79,-100,-100,-100,-85,-86,-86,-87,-86,-86,-100,-78,-87,-100,-100,-86,-86,-100,-86,-84,-86,-88,-88,-85,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-89,-100,-0.10567969,0.08307768,-0.103847094,0.8738836,9.11712,-3.122039,-0.24,-65.52,-7.3199997,70.32694798,37.37571545,1.752853269
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-73,-53,-76,-78,-72,-83,-53,-52,-65,-100,-80,-100,-60,-62,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-70,-69,-74,-74,-77,-100,-100,-100,-100,-78,-100,-66,-100,-100,-100,-100,-81,-100,-100,-100,-100,-76,-83,-100,-86,-100,-80,-83,-100,-78,-79,-100,-100,-100,-85,-86,-86,-87,-86,-86,-100,-78,-87,-100,-100,-86,-86,-100,-86,-84,-86,-88,-88,-85,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-89,-100,-0.18203785,0.095294975,-0.09285152,0.5243302,9.002198,-3.335123,-0.48,-65.939995,-7.8599997,70.3262253,37.3750267,1.752853269
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-73,-53,-76,-78,-72,-83,-53,-52,-65,-100,-80,-100,-60,-62,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-70,-69,-74,-74,-77,-100,-100,-100,-100,-78,-100,-66,-100,-100,-100,-100,-81,-100,-100,-100,-100,-76,-83,-100,-86,-100,-80,-83,-100,-78,-79,-100,-100,-100,-85,-86,-86,-87,-86,-86,-100,-78,-87,-100,-100,-86,-86,-100,-86,-84,-86,-88,-88,-85,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-89,-100,-0.21380283,0.16920967,-0.058643065,0.5386954,9.32781,-2.741361,1.02,-65.46,-7.74,70.32550263,37.37433794,1.752853269
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-73,-53,-76,-78,-72,-83,-53,-52,-65,-100,-80,-100,-60,-62,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-70,-69,-74,-74,-77,-100,-100,-100,-100,-78,-100,-66,-100,-100,-100,-100,-81,-100,-100,-100,-100,-76,-83,-100,-86,-100,-80,-83,-100,-78,-79,-100,-100,-100,-85,-86,-86,-87,-86,-86,-100,-78,-87,-100,-100,-86,-86,-100,-86,-84,-86,-88,-88,-85,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-89,-100,-0.24129178,0.29260445,-0.086132,0.37588966,9.600749,-2.396596,1.92,-63.359997,-9.9,70.32477996,37.37364918,1.752853269
