timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,mac_e4_5e_1b_ad_00_24_RSSI,mac_e4_5e_1b_ad_00_24_distance,mac_28_bd_89_ca_2d_a3_RSSI,mac_28_bd_89_ca_2d_a3_distance,mac_cc_f4_11_44_d8_b8_RSSI,mac_cc_f4_11_44_d8_b8_distance,mac_28_bd_89_ed_c9_6d_RSSI,mac_28_bd_89_ed_c9_6d_distance,mac_cc_f4_11_36_64_98_RSSI,mac_cc_f4_11_36_64_98_distance,mac_28_bd_89_f3_a5_77_RSSI,mac_28_bd_89_f3_a5_77_distance,x_coord,y_coord
1753006494199,-0.155533478,1.28255295753479,9.794421195983888,-0.031764969,0.0791069865226745,-0.091324285,-2.362500191,-49.66875076,-41.28750229,-79.0,42359.0,-77.0,45317.0,-87.0,43656.0,-64.0,14102.0,-71.0,39156.0,-58.0,3648.0,15.878,0.0
1753006494265,-0.282951266,1.261615753173828,9.554540634155272,-0.031154104,0.0119118634611368,-0.078343406,0.8437500596046448,-50.28750229,-42.28125,-81.5,65843.0,-70.5,29616.0,-72.5,23867.0,-74.5,31313.0,-75.5,61963.5,-68.5,24160.5,15.878,0.08757879088206146
1753006494330,-0.232702002,1.2574282884597778,9.565308570861816,-0.015577052,0.0447458438575267,0.0204639695584774,1.6687500476837158,-49.57500076,-42.05625153,-81.5,65843.0,-70.5,29616.0,-72.5,23867.0,-74.5,31313.0,-75.5,61963.5,-68.5,24160.5,15.878,0.1751575817641229
1753006494396,-0.114257284,1.2628121376037598,9.57069206237793,-0.077885263,0.0317649692296981,0.0120645789429545,2.0812501907348637,-49.81875229,-43.08750153,-81.5,65843.0,-70.5,29616.0,-72.5,23867.0,-74.5,31313.0,-75.5,61963.5,-68.5,24160.5,15.878,0.2627363726461844
1753006494459,-0.147158593,1.246660590171814,9.647860527038574,-0.043676831,-0.003970621,0.0030543238390237,2.5687501430511475,-49.74375153,-43.29375076,-84.0,89327.0,-64.0,13915.0,-58.0,4078.0,-85.0,48524.0,-80.0,84771.0,-79.0,44673.0,15.878,0.3503151635282458
1753006494525,-0.198604286,1.284945726394653,9.604191780090332,-0.07467822,0.0293215103447437,0.0465784408152103,0.675000011920929,-49.35000229,-42.24375153,-83.5,89140.0,-62.0,13851.5,-58.5,4004.5,-84.5,48893.5,-80.0,84837.0,-79.5,44805.0,15.878,0.43789395441030726
1753006494590,-0.178265288,1.2185449600219729,9.5802640914917,-0.067347839,0.0473420210182666,0.0676532760262489,0.9937500357627868,-49.42500305,-43.51875305,-83.5,89140.0,-62.0,13851.5,-58.5,4004.5,-84.5,48893.5,-80.0,84837.0,-79.5,44805.0,15.878,0.5254727452923688
1753006494656,-0.215952247,1.205384373664856,9.627521514892578,-0.094531327,0.0410806573927402,0.0531452372670173,0.7312500476837158,-49.55625153,-42.1875,-83.5,89140.0,-62.0,13851.5,-58.5,4004.5,-84.5,48893.5,-80.0,84837.0,-79.5,44805.0,15.878,0.6130515361744302
1753006494720,-0.248255342,1.2861422300338743,9.44028377532959,-0.122172959,0.0372627526521682,0.088575392961502,2.4375,-49.12500381,-43.27500153,-83.0,88953.0,-60.0,13788.0,-59.0,3931.0,-84.0,49263.0,-80.0,84903.0,-80.0,44937.0,15.878,0.7006303270564916
1753006494785,-0.299701035,1.3704891204833984,9.546165466308594,-0.181426838,0.0358883067965507,0.0983492285013198,2.1000001430511475,-49.01250076,-43.25625229,-82.0,89678.0,-60.5,13766.0,-61.0,3760.0,-84.0,48208.5,-79.0,84812.5,-78.5,45016.5,15.878,0.7882091179385531
1753006494851,-0.53180486,1.786840319633484,9.90987491607666,-0.260686547,-0.050396346,-0.072387479,3.5062501430511475,-48.52500153,-43.61250305,-82.0,89678.0,-60.5,13766.0,-61.0,3760.0,-84.0,48208.5,-79.0,84812.5,-78.5,45016.5,15.878,0.8757879088206145
1753006494916,-0.785444021,1.7754744291305542,9.991828918457031,-0.374460101,-0.36315912,-0.105679609,2.325000047683716,-47.86875153,-43.63125229,-81.0,90403.0,-61.0,13744.0,-63.0,3589.0,-84.0,47154.0,-78.0,84722.0,-77.0,45096.0,15.878,0.963366699702676
1753006494980,-1.161715388,1.1353943347930908,10.060623168945312,-0.967457116,-0.123089254,0.3868301212787628,1.7625000476837158,-47.47500229,-46.65000153,-82.0,89319.5,-60.0,13879.5,-59.5,3688.0,-86.5,47098.5,-81.0,84567.0,-76.5,44865.0,15.878,1.0509454905847375
1753006495046,-0.818345368,0.2721835672855377,10.73838996887207,-0.960584879,0.2774853408336639,0.6695078015327454,2.775000095367432,-45.99375153,-47.45625305,-82.0,89319.5,-60.0,13879.5,-59.5,3688.0,-86.5,47098.5,-81.0,84567.0,-76.5,44865.0,15.878,1.1385242814667988
1753006495110,-0.14057833,0.9900303483009338,8.505288124084473,-0.366060734,0.8097012639045715,0.3304778337478637,2.587500095367432,-45.24375153,-47.38125229,-82.0,89319.5,-60.0,13879.5,-59.5,3688.0,-86.5,47098.5,-81.0,84567.0,-76.5,44865.0,15.878,1.2261030723488604
1753006495176,-0.9314062,0.7932206988334656,9.0514497756958,-0.765566289,0.2451094985008239,0.1886045038700103,2.587500095367432,-44.83125305,-47.92500305,-83.0,88236.0,-59.0,14015.0,-56.0,3787.0,-89.0,47043.0,-84.0,84412.0,-76.0,44634.0,15.878,1.3136818632309217
