timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,mac_e4_5e_1b_ad_00_24_RSSI,mac_e4_5e_1b_ad_00_24_distance,mac_28_bd_89_ca_2d_a3_RSSI,mac_28_bd_89_ca_2d_a3_distance,mac_cc_f4_11_44_d8_b8_RSSI,mac_cc_f4_11_44_d8_b8_distance,mac_28_bd_89_ed_c9_6d_RSSI,mac_28_bd_89_ed_c9_6d_distance,mac_cc_f4_11_36_64_98_RSSI,mac_cc_f4_11_36_64_98_distance,mac_28_bd_89_f3_a5_77_RSSI,mac_28_bd_89_f3_a5_77_distance,x_coord,y_coord
1753011463594,2.3684639930725098,3.011905670166016,9.017162322998049,-0.227693558,0.3804213404655456,-0.091210581,-12.11250019,-6.056250095,-12.15000057,-96.0,87180.0,-85.0,13141.0,-67.0,2883.0,-96.0,55149.0,-89.0,83274.0,-77.0,43078.0,15.878,0.0
1753011463681,1.978209137916565,2.8425159454345703,9.39125633239746,-0.246867746,0.4340824484825134,-0.183619544,-11.56875038,-5.4375,-12.22500038,-90.0,85891.0,-75.0,12496.0,-65.0,2219.0,-89.0,52922.0,-82.0,83450.0,-76.0,42141.0,15.878,0.10324780268414904
1753011463715,2.12485408782959,2.8993782997131348,8.974066734313965,-0.890002191,1.2479205131530762,-0.541271508,-11.00625038,-5.15625,-12.48750019,-91.5,85857.0,-76.0,12413.0,-65.0,2180.0,-89.5,49074.5,-86.5,83288.5,-74.0,42434.0,15.878,0.14359764089782912
1753011463795,-0.74280107,1.8860323429107664,10.757147789001465,-1.311168671,1.554707646369934,-0.900521338,-9.9375,-4.706250191,-13.14375019,-91.5,85857.0,-76.0,12413.0,-65.0,2180.0,-89.5,49074.5,-86.5,83288.5,-74.0,42434.0,15.878,0.23853807927189655
1753011463875,-1.945288897,2.0165164470672607,9.50737476348877,-0.425427437,-0.103327602,-0.259517401,-8.775000572,-3.975000143,-13.80000019,-91.5,85857.0,-76.0,12413.0,-65.0,2180.0,-89.5,49074.5,-86.5,83288.5,-74.0,42434.0,15.878,0.333478517645964
1753011463916,-1.624465823,2.1338322162628174,9.552266120910645,0.172700896859169,-0.087215953,0.231421872973442,-7.893750191,-3.412500143,-14.26875019,-93.0,85823.0,-77.0,12330.0,-65.0,2141.0,-90.0,45227.0,-91.0,83127.0,-72.0,42727.0,15.878,0.3821354163603229
1753011463997,-1.294664621,2.183511972427368,8.993220329284668,0.0025299284607172,-0.097601973,0.3101159632205963,-7.406250477,-3.112500191,-14.58750057,-93.0,85867.0,-76.5,12237.0,-66.0,2043.5,-90.0,53191.0,-89.0,83215.0,-73.5,42473.0,15.878,0.47826253426171544
1753011464077,-0.590769291,2.892195701599121,8.428787231445312,-0.379356116,0.0845528692007064,0.2014621943235397,-7.162500381,-2.962500095,-14.81250095,-93.0,85867.0,-76.5,12237.0,-66.0,2043.5,-90.0,53191.0,-89.0,83215.0,-73.5,42473.0,15.878,0.5732029726357829
1753011464116,-0.172382519,2.6785130500793457,9.868300437927246,-0.262313634,0.6280879974365234,0.4469984173774719,-6.318750381,-2.268750191,-15.37500095,-93.0,85867.0,-76.5,12237.0,-66.0,2043.5,-90.0,53191.0,-89.0,83215.0,-73.5,42473.0,15.878,0.6194865122954915
1753011464197,-1.055842996,2.2379801273345947,10.790667533874512,-0.027696058,0.7736254930496216,0.3718994855880737,-5.568750381,-1.800000072,-15.99375057,-93.0,85911.0,-76.0,12144.0,-67.0,1946.0,-90.0,61155.0,-87.0,83303.0,-75.0,42219.0,15.878,0.7156136301968841
