timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,mac_e4_5e_1b_ad_00_24_RSSI,mac_e4_5e_1b_ad_00_24_distance,mac_28_bd_89_ca_2d_a3_RSSI,mac_28_bd_89_ca_2d_a3_distance,mac_cc_f4_11_44_d8_b8_RSSI,mac_cc_f4_11_44_d8_b8_distance,mac_28_bd_89_ed_c9_6d_RSSI,mac_28_bd_89_ed_c9_6d_distance,mac_cc_f4_11_36_64_98_RSSI,mac_cc_f4_11_36_64_98_distance,mac_28_bd_89_f3_a5_77_RSSI,mac_28_bd_89_f3_a5_77_distance
1717506720061,-0.5407792925834656,0.8959089517593384,9.56873893737793,-0.09946898370981216,-0.018642112612724304,-0.01411474123597145,20.200000762939453,8.350000381469727,-41.63750076293945,-74.0,11610.0,0.0,-1.0,0.0,-1.0,-65.0,2733.0,0.0,-1.0,0.0,-1.0
1717506720114,-0.23475690186023712,1.4756147861480713,9.521428108215332,0.0023968429304659367,0.05073317512869835,0.03874896094202995,20.262500762939453,7.862500190734863,-41.400001525878906,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717506720214,-0.3449489176273346,0.8911179900169373,9.946625709533691,-0.1134505644440651,-2.6631588116288185E-4,-0.10839056223630905,20.337499618530273,7.4375,-41.25,-89.0,14657.0,0.0,-1.0,0.0,-1.0,-71.0,4445.0,0.0,-1.0,0.0,-1.0
1717506720265,0.008983044885098934,1.42770516872406,9.4645357131958,0.00852210819721222,0.046205803751945496,0.0011984214652329683,20.475000381469727,8.15000057220459,-41.47500228881836,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717506720315,-0.06767226755619049,1.020473837852478,10.088558197021484,-0.1729721575975418,-0.03795001283288002,-0.060187388211488724,20.537500381469727,8.412500381469727,-42.20000076293945,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717506720414,-0.18205636739730835,1.355840802192688,9.18546199798584,-0.04846949130296707,0.05033370107412338,0.0720384493470192,20.30000114440918,9.237500190734863,-41.60000228881836,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717506720458,-0.49766066670417786,1.9349478483200073,8.90159797668457,-0.040080539882183075,-0.008255792781710625,0.12982898950576782,20.3125,9.625,-41.23749923706055,-76.0,11610.0,0.0,-1.0,0.0,-1.0,-67.0,4023.0,0.0,-1.0,0.0,-1.0
1717506720515,-0.8420107364654541,1.8774563074111938,9.208818435668945,-0.0073236869648098946,-0.10879004001617432,0.12383688241243362,19.825000762939453,8.637499809265137,-41.25,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717506720613,-1.0049031972885132,1.5810158252716064,9.724445343017578,-0.49441543221473694,0.1368863582611084,0.1129179298877716,19.80000114440918,8.625,-41.17499923706055,-74.0,11757.0,0.0,-1.0,0.0,-1.0,-61.0,3290.0,0.0,-1.0,0.0,-1.0
1717506720654,-0.9474117755889893,1.0013099908828735,10.859902381896973,-0.40266960859298706,-0.017310531809926033,0.19001637399196625,19.774999618530273,10.074999809265137,-41.20000076293945,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717506720716,-0.937829852104187,1.5522700548171997,9.190253257751465,-0.04207791015505791,0.03115895763039589,0.30040431022644043,20.05000114440918,9.787500381469727,-41.51250076293945,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717506720814,0.023355916142463684,2.3852977752685547,9.843021392822266,-0.03914843499660492,-0.019307902082800865,0.36471959948539734,20.137500762939453,8.925000190734863,-40.63750076293945,-77.0,11230.0,0.0,-1.0,0.0,-1.0,-55.0,4892.0,0.0,-1.0,0.0,-1.0
1717506720854,-0.114982970058918,1.6570723056793213,10.42452335357666,-0.11438266932964325,-0.1856221705675125,0.1507347822189331,19.61250114440918,8.96250057220459,-41.0625,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
