timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,mac_e4_5e_1b_ad_00_24_RSSI,mac_e4_5e_1b_ad_00_24_distance,mac_28_bd_89_ca_2d_a3_RSSI,mac_28_bd_89_ca_2d_a3_distance,mac_cc_f4_11_44_d8_b8_RSSI,mac_cc_f4_11_44_d8_b8_distance,mac_28_bd_89_ed_c9_6d_RSSI,mac_28_bd_89_ed_c9_6d_distance,mac_cc_f4_11_36_64_98_RSSI,mac_cc_f4_11_36_64_98_distance,mac_28_bd_89_f3_a5_77_RSSI,mac_28_bd_89_f3_a5_77_distance
1717504900933,-0.5928809642791748,2.5380094051361084,9.369914054870605,-0.10665950924158096,0.040080539882183075,-0.001731053227558732,20.262500762939453,-1.4375,-42.35000228881836,-93.0,14892.0,0.0,-1.0,0.0,-1.0,-60.0,4052.0,0.0,-1.0,0.0,-1.0
1717504900984,-0.49766066670417786,2.6434106826782227,9.525620460510254,-0.006657897029072046,-0.10226529836654663,0.009853687137365341,19.86250114440918,-1.375,-43.212501525878906,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504901032,-0.2491297721862793,2.710484027862549,9.786128997802734,-0.07403581589460373,-0.039547909051179886,-0.022370534017682076,19.8125,-1.537500023841858,-43.087501525878906,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504901131,-0.17726540565490723,2.590710163116455,9.133360862731934,-0.07030738890171051,-0.008921582251787186,-0.07177212834358215,19.975000381469727,-0.7250000238418579,-43.337501525878906,-79.0,11610.0,0.0,-1.0,0.0,-1.0,-58.0,3915.0,0.0,-1.0,0.0,-1.0
1717504901201,-0.25871169567108154,2.7248568534851074,8.872852325439453,-0.15686005353927612,-0.2000032216310501,-0.1254347860813141,19.162500381469727,0.17499999701976776,-43.8125,-82.0,11522.0,0.0,-1.0,0.0,-1.0,-62.0,4149.0,0.0,-1.0,0.0,-1.0
1717504901273,-0.22038403153419495,3.0602238178253174,9.828648567199707,-0.5909549593925476,-0.4041343629360199,-0.4616585671901703,18.512500762939453,3.137500047683716,-43.6875,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504901330,-0.2730845510959625,1.4516600370407104,9.956207275390625,-1.0677934885025024,-0.2810963988304138,-0.8141276240348816,17.450000762939453,6.362500190734863,-43.29999923706055,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504901381,-0.6407905220985413,-0.48747989535331726,11.05872631072998,-0.9671261310577393,-0.29680904746055603,-0.4197138249874115,17.037500381469727,9.074999809265137,-43.53750228881836,-83.0,11552.0,0.0,-1.0,0.0,-1.0,-53.0,2968.0,0.0,-1.0,0.0,-1.0
1717504901464,-0.2491297721862793,-0.09462140500545502,9.823857307434082,-0.9402282238006592,0.26165536046028137,0.7894934415817261,17.1875,10.662500381469727,-42.73749923706055,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504901541,0.4156155288219452,1.322304129600525,9.208818435668945,-0.06817686557769775,-0.42850226163864136,0.8584692478179932,17.512500762939453,10.762499809265137,-43.1875,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504901579,0.17187558114528656,1.470823884010315,9.885540962219238,-0.13209268450737,0.9345024228096008,0.265383780002594,19.5625,10.15000057220459,-42.88750076293945,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504901637,-0.8324288129806519,0.02994348108768463,8.967473983764648,0.683233380317688,0.559396505355835,0.02809632569551468,22.274999618530273,8.52500057220459,-41.962501525878906,-79.0,12108.0,0.0,-1.0,0.0,-1.0,-56.0,4520.0,0.0,-1.0,0.0,-1.0
1717504901734,-0.7216379046440125,1.2504397630691528,10.637721061706543,-0.5178512334823608,1.0253161191940308,-0.017710005864501,24.200000762939453,8.77500057220459,-41.03750228881836,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504901804,-0.12875697016716003,1.3702137470245361,10.850319862365723,0.13848425447940826,0.46219122409820557,-0.34008538722991943,25.3125,10.02500057220459,-39.53750228881836,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504901876,-0.1431298404932022,1.4804056882858276,9.241756439208984,-0.3518032729625702,0.11784477531909943,-0.17457005381584167,25.412500381469727,9.46250057220459,-38.32500076293945,-87.0,12688.0,0.0,-1.0,0.0,-1.0,-58.0,3876.0,0.0,-1.0,0.0,-1.0
1717504901927,-0.7360107898712158,1.2791855335235596,10.088558197021484,-0.1514005810022354,-0.13968268036842346,-0.3008037805557251,24.899999618530273,11.512499809265137,-38.76250076293945,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504901982,-1.0659879446029663,0.7958977222442627,9.18546199798584,-0.5833649635314941,-0.2850911617279053,-0.34447959065437317,23.9375,13.225000381469727,-37.775001525878906,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504902079,-1.1180895566940308,0.3982483148574829,11.044353485107422,0.0732368677854538,-0.4214448928833008,-0.397476464509964,22.662500381469727,13.90000057220459,-38.5,-77.0,11112.0,0.0,-1.0,0.0,-1.0,-59.0,3993.0,0.0,-1.0,0.0,-1.0
1717504902141,-0.7408017516136169,1.3414679765701294,10.405959129333496,-0.11611372232437134,-0.1981390118598938,-0.22050954401493073,21.700000762939453,13.96250057220459,-38.85000228881836,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504902171,-1.419321060180664,0.5563498735427856,10.25444507598877,0.2299637645483017,-0.011717898771166801,0.363920658826828,21.6875,11.487500190734863,-38.087501525878906,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504902270,-0.6306097507476807,0.8054796457290649,11.119811058044434,0.6913560032844543,-0.24847272038459778,0.48309701681137085,21.350000381469727,9.574999809265137,-38.025001525878906,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504902335,-0.3197963833808899,1.9157840013504028,10.349065780639648,1.1129341125488281,0.09680582582950592,0.46978121995925903,21.274999618530273,6.612500190734863,-37.85000228881836,-78.0,11376.0,0.0,-1.0,0.0,-1.0,-57.0,3700.0,0.0,-1.0,0.0,-1.0
1717504902413,-0.9791518449783325,1.3654227256774902,9.104615211486816,0.6318344473838806,-0.44221752882003784,0.4924180507659912,20.5625,3.7875001430511475,-37.38750076293945,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504902475,-0.9743608832359314,1.4085414409637451,9.814275741577148,0.5962812304496765,-0.13102741539478302,-0.052331071346998215,20.700000762939453,1.9875000715255737,-37.212501525878906,-85.0,11435.0,0.0,-1.0,0.0,-1.0,-65.0,4726.0,0.0,-1.0,0.0,-1.0
1717504902524,-0.8743496537208557,0.9971179366111755,7.969158172607422,0.28309378027915955,-0.14500899612903595,-0.14634057879447937,20.5625,1.274999976158142,-36.625,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
