True_X,True_Y,Pred_X,Pred_Y
15.878,5.9092503,16.040794,7.10348
15.878,5.958315,16.035336,6.932546
15.878,6.057703,16.030766,6.7878494
15.878,6.1621265,16.027084,6.6693897
15.878,6.2099323,16.024292,6.577167
15.878,6.3105793,16.022388,6.511181
15.878,6.412485,16.021376,6.471432
15.878,6.4653263,16.021252,6.4579206
15.878,6.5609417,16.022017,6.470646
15.878,6.6641026,16.02367,6.509608
15.878,6.7169437,16.026213,6.574807
15.878,6.813818,16.026125,6.4931183
15.878,6.9182377,16.028767,6.5451126
15.878,6.968561,16.034111,6.696434
15.878,7.067953,16.041674,6.924576
15.878,7.169855,16.051052,7.214446
15.878,7.2201786,16.061977,7.5452003
15.878,7.3195705,16.074135,7.899865
15.878,7.426508,16.087519,8.215416
15.878,7.470541,16.101376,8.526012
15.878,7.571188,16.11525,8.834436
15.878,7.673094,16.12806,9.245037
15.878,7.725931,16.13936,9.624013
15.878,7.8215466,16.14996,9.979219
15.878,7.92597,16.158888,10.263794
15.878,7.9750347,16.166159,10.471116
15.878,8.076941,16.171436,10.579076
15.878,8.1775875,16.174423,10.604526
15.878,8.230429,16.173956,10.53917
15.878,8.328558,16.170452,10.409758
15.878,8.430464,16.167763,10.433059
15.878,8.480787,16.166695,10.502155
15.878,8.585207,16.166204,10.585266
15.878,8.68334,16.165625,10.671513
15.878,8.733664,16.164856,10.737963
15.878,8.834311,16.164066,10.779891
15.878,8.933699,16.163233,10.782555
15.878,8.985281,16.162426,10.764864
15.878,9.085928,16.1615,10.741595
15.878,9.186575,16.160725,10.71851
15.878,9.236898,16.16021,10.704509
15.878,9.341322,16.15985,10.697168
15.878,9.439451,16.159536,10.700438
15.878,9.488516,16.159168,10.711661
15.878,9.594198,16.158754,10.724029
15.878,9.691069,16.158396,10.741991
15.878,9.741392,16.158127,10.763335
15.878,9.844557,16.157906,10.800877
15.878,9.945204,16.157503,10.845105
15.878,9.994268,16.156942,10.891106
15.878,10.096174,16.156384,10.932394
15.878,10.196821,16.156015,10.95364
15.878,10.245886,16.15651,10.957611
15.878,10.351568,16.157423,10.9482355
15.878,10.4496975,16.157827,10.943374
15.878,10.498762,16.156582,10.984926
15.878,10.599409,16.15423,11.069143
15.878,10.703833,16.150534,11.227757
15.878,10.751638,16.146055,11.4403305
15.878,10.858576,16.142094,11.671427
15.878,10.956709,16.13855,11.90863
15.878,11.013323,16.135094,12.131937
15.878,11.103907,16.131939,12.33399
15.878,11.209585,16.12926,12.494831
15.878,11.256132,16.12695,12.632322
15.878,11.355524,16.12489,12.738205
15.878,11.462461,16.123257,12.80981
15.878,11.507753,16.122025,12.858075
15.878,11.609655,16.121191,12.86811
15.878,11.710306,16.120996,12.819873
15.878,11.763144,16.121996,12.715436
15.878,11.861277,16.124147,12.558181
15.878,11.926695,16.127346,12.376729
15.878,12.014761,16.130276,12.196358
15.878,12.112896,16.132147,12.045268
15.878,12.185865,16.132986,11.946685
15.878,12.267639,16.133764,11.87576
15.878,12.3645115,16.134344,11.829363
15.878,12.423639,16.135809,11.775004
15.878,12.520515,16.138874,11.67823
15.878,12.618645,16.141712,11.590673
15.878,12.6765175,16.143944,11.512424
15.878,12.77339,16.145039,11.484878
15.878,12.871521,16.1449,11.515993
15.878,12.928133,16.143688,11.614438
15.878,13.021233,16.141672,11.755014
15.878,13.123138,16.138887,11.934799
15.878,13.178497,16.136435,12.106848
