True_X,True_Y,Pred_X,Pred_Y
29.269121,7.72,28.330711,7.8211865
29.246881,7.72,28.34172,7.8247547
29.202957,7.72,28.352335,7.827916
29.15848,7.72,28.362555,7.8306713
29.13624,7.72,28.37238,7.8330197
29.091204,7.72,28.38181,7.834962
29.047281,7.72,28.390844,7.8364973
29.025042,7.72,28.399485,7.8376265
28.977783,7.72,28.407732,7.838349
28.935528,7.72,28.415583,7.838665
28.909952,7.72,28.423038,7.8385744
28.86603,7.72,28.454287,7.8336535
28.823774,7.72,28.446077,7.8370624
28.802647,7.72,28.397123,7.845398
28.753164,7.72,28.367018,7.8481154
28.723696,7.72,28.374264,7.843906
28.691448,7.72,28.392414,7.8376713
28.645859,7.72,28.374493,7.8358974
28.609718,7.72,28.399517,7.82353
28.579695,7.72,28.450724,7.8036985
28.53466,7.72,28.491842,7.7719684
28.50686,7.72,28.58747,7.738142
28.467941,7.72,28.70161,7.706682
28.424019,7.72,28.815601,7.672877
28.397331,7.72,28.89874,7.6384115
28.352852,7.72,29.004976,7.6088214
28.31282,7.72,29.102392,7.5867743
28.28669,7.72,29.159672,7.5679092
28.246658,7.72,29.20244,7.5552106
28.202179,7.72,29.265772,7.5505457
28.17716,7.72,29.279543,7.5552115
28.12879,7.72,29.273352,7.5666604
28.08987,7.72,29.195866,7.592776
28.06763,7.72,29.107353,7.6188626
28.019258,7.72,29.066475,7.64105
27.978672,7.72,29.004995,7.664485
27.95532,7.72,28.938168,7.68982
27.90695,7.72,28.86448,7.7187223
27.867476,7.72,28.829092,7.7334366
27.822996,7.72,28.806767,7.7397065
27.757946,7.72,28.78247,7.7431417
27.734594,7.72,28.785221,7.7519064
27.689558,7.72,28.778662,7.757368
27.636183,7.72,28.756037,7.76077
27.59782,7.72,28.710152,7.7684813
27.578917,7.72,28.670742,7.7789845
27.534437,7.72,28.643084,7.7847905
27.489403,7.72,28.579754,7.7919784
27.461603,7.72,28.5103,7.80435
27.421572,7.72,28.450752,7.8137875
27.377092,7.72,28.359833,7.8243465
27.353186,7.72,28.2723,7.8380175
27.312042,7.72,28.182455,7.8492484
27.267008,7.72,28.069593,7.8584013
27.242544,7.72,27.976004,7.86867
27.198622,7.72,27.870205,7.8778014
27.153585,7.72,27.792265,7.8864684
27.131346,7.72,27.664017,7.9060006
27.087423,7.72,27.529955,7.9185133
27.042389,7.72,27.502476,7.9117236
27.022928,7.72,27.505198,7.8937855
26.979006,7.72,27.516306,7.8675137
26.933971,7.72,27.58195,7.825079
26.905615,7.72,27.651237,7.780274
26.862804,7.72,27.707773,7.7369356
26.813877,7.72,27.755903,7.6907816
26.799978,7.72,27.791084,7.658247
26.75661,7.72,27.77521,7.6327014
26.710464,7.72,27.83113,7.595703
26.687113,7.72,27.895206,7.552914
26.643745,7.72,27.913101,7.5156217
26.596487,7.72,27.912294,7.4783382
26.575914,7.72,27.973541,7.4321976
26.533104,7.72,27.996796,7.394463
26.485289,7.72,27.983683,7.3686147
26.467497,7.72,27.98558,7.343144
26.42135,7.72,27.956509,7.331307
26.372423,7.72,27.86657,7.3337693
26.35352,7.72,27.814676,7.3303275
26.298477,7.72,27.865234,7.3166595
26.26623,7.72,27.847084,7.3103642
26.244545,7.72,27.799614,7.3148518
26.200068,7.72,27.783281,7.3196588
26.155588,7.72,27.688032,7.3425965
26.1289,7.72,27.539438,7.382482
26.084421,7.72,27.387653,7.428979
26.043278,7.72,27.209438,7.4881244
26.02215,7.72,27.038454,7.538783
25.969887,7.72,26.880947,7.5905704
25.950985,7.72,26.69653,7.634263
25.910954,7.72,26.564701,7.668995
25.865917,7.72,26.536251,7.690465
25.841454,7.72,26.505737,7.7124543
25.796976,7.72,26.429186,7.7336044
25.750828,7.72,26.386871,7.742461
25.730257,7.72,26.484167,7.7275863
25.685223,7.72,26.649878,7.597371
25.644634,7.72,26.856031,7.5076566
25.62184,7.72,27.032478,7.472309
25.575136,7.72,27.131695,7.500983
25.532326,7.72,27.134567,7.5603538
25.510641,7.72,27.076777,7.6547127
25.449484,7.72,26.991976,7.8017254
25.42224,7.72,26.836529,7.960973
25.4,7.72,26.638577,8.136848
25.4,7.72,26.426897,8.349077
25.4,7.7411957,26.16751,8.553967
25.4,7.7662454,25.878868,8.758533
25.4,7.81201,25.56778,8.958125
25.4,7.8365774,25.311935,9.11767
25.4,7.863554,25.161488,9.226926
25.4,7.9078727,25.044569,9.35165
25.4,7.9314775,24.896744,9.507454
25.4,7.9603806,24.830286,9.632303
25.4,8.003254,24.805708,9.721501
25.4,8.02734,24.827885,9.758318
25.4,8.056244,24.80477,9.748183
25.4,8.099118,24.678831,9.857705
25.4,8.132838,24.369183,10.066151
25.4,8.171858,23.958755,10.246094
25.4,8.210396,23.595757,10.3684
25.4,8.249415,23.2988,10.450835
25.4,8.289399,23.092407,10.494052
25.4,8.32601,22.970573,10.467493
25.4,8.364548,22.928638,10.4134245
25.4,8.383817,22.971592,10.3253145
25.4,8.422836,23.106642,10.166105
25.4,8.460893,23.302055,9.981183
25.4,8.502803,23.578917,9.769203
25.4,8.539413,23.934164,9.5362625
25.4,8.557238,24.37164,9.312741
25.4,8.596257,24.797089,9.16575
25.4,8.636241,25.19586,9.049332
25.4,8.653583,25.524534,8.939332
25.4,8.692602,25.750324,8.864231
25.4,8.73114,25.891283,8.816334
25.4,8.7499275,25.948225,8.816057
25.4,8.787984,25.930567,8.861095
25.4,8.826522,25.821793,8.953549
25.4,8.847236,25.72713,8.979001
25.4,8.884329,25.680124,9.001152
25.4,8.931538,25.65065,9.0096
25.4,8.956106,25.63092,9.017617
25.4,8.980674,25.61947,9.028115
25.4,9.026919,25.609549,9.032106
25.4,9.051005,25.600695,9.030367
25.4,9.098697,25.603407,9.029501
25.4,9.135307,25.589499,9.025946
25.4,9.17529,25.57869,9.023318
25.4,9.1940775,25.561262,9.0257635
25.4,9.232615,25.544298,9.022957
25.4,9.270672,25.52239,9.024758
25.4,9.289459,25.500587,9.02586
25.4,9.32896,25.491087,9.025121
25.4,9.367017,25.484829,9.026478
25.4,9.384841,25.461184,9.04597
25.4,9.425305,25.462336,9.059277
25.4,9.4648075,25.482328,9.06383
25.4,9.482631,25.503664,9.048058
25.4,9.525504,25.512606,9.036729
25.4,9.5587435,25.522175,9.027176
25.4,9.597281,25.533264,9.002023
25.4,9.640155,25.543924,8.983877
25.4,9.677248,25.556911,8.972258
25.4,9.713859,25.570274,8.954077
25.4,9.753842,25.579498,8.946676
25.4,9.792862,25.590117,8.946422
25.4,9.828991,25.602112,8.93914
25.4,9.847778,25.607203,8.942729
25.4,9.886798,25.608152,8.954855
25.4,9.932562,25.603334,8.970546
25.4,9.9571295,25.48908,9.020975
25.4,9.983143,25.44072,9.05909
25.4,10.02987,25.4833,9.0722275
25.4,10.051548,25.595133,9.062396
25.4,10.079488,25.705893,9.0628395
25.4,10.125252,25.832664,9.041824
25.4,10.147893,25.937557,9.019156
25.4,10.175833,26.01967,8.981607
25.4,10.220152,26.069626,8.964575
25.4,10.243275,26.112436,8.950896
25.4,10.272178,26.13546,8.930691
25.4,10.313606,26.167393,8.870347
25.4,10.336729,26.168556,8.853048
25.4,10.372858,26.146845,8.853013
25.4,10.409951,26.09558,8.885765
25.4,10.432592,26.0036,8.957829
25.4,10.465349,25.874296,9.051938
25.4,10.503887,25.698595,9.183441
25.4,10.542907,25.496065,9.3413105
25.4,10.58,25.276405,9.511703
25.4,10.58,25.056547,9.689485
25.35174,10.58,25.00517,9.835741
25.322939,10.58,25.013176,9.963029
25.247433,10.58,25.047466,10.080773
25.197617,10.58,25.055765,10.213947
25.135344,10.58,25.0743,10.334096
25.09331,10.58,25.112047,10.42651
25.041935,10.58,25.191536,10.4872055
24.980442,10.58,25.28238,10.533081
24.939964,10.58,25.367882,10.552262
24.885477,10.58,25.455133,10.527706
24.821648,10.58,25.520613,10.487272
24.785063,10.58,25.5466,10.49066
24.72902,10.58,25.560017,10.474385
24.667524,10.58,25.527906,10.468116
24.627827,10.58,25.454447,10.469467
24.574116,10.58,25.35176,10.466514
24.511845,10.58,25.216482,10.472669
24.476816,10.58,25.122635,10.474355
24.419992,10.58,25.002443,10.47457
24.350716,10.58,24.848827,10.482627
24.321915,10.58,24.667809,10.513497
24.262756,10.58,24.43182,10.523519
24.194256,10.58,24.168894,10.528108
24.16857,10.58,23.8886,10.535373
24.107077,10.58,23.684898,10.545909
24.045582,10.58,23.497255,10.534828
24.014446,10.58,23.365448,10.548753
23.951395,10.58,23.232586,10.537834
23.889124,10.58,23.089909,10.520595
23.82685,10.58,22.977419,10.539695
23.792603,10.58,22.903067,10.523464
23.734222,10.58,22.890278,10.507511
23.67195,10.58,22.927618,10.463751
23.638477,10.58,22.994474,10.399008
23.57854,10.58,23.07554,10.313024
23.515491,10.58,23.221045,10.2660055
23.431423,10.58,23.352253,10.322725
23.398731,10.58,23.551352,10.3443575
23.318556,10.58,23.72556,10.341275
23.267181,10.58,23.907845,10.313639
23.205687,10.58,24.103987,10.262024
23.167545,10.58,24.282154,10.164228
23.110722,10.58,24.489298,10.049306
23.04845,10.58,24.731543,9.929917
23.012644,10.58,25.028847,9.807823
22.955042,10.58,25.268898,9.67153
22.89277,10.58,25.554373,9.475076
22.860855,10.58,25.763912,9.297254
22.797806,10.58,25.900757,9.195663
22.734755,10.58,26.011333,9.156235
22.705954,10.58,26.08126,9.115502
22.629671,10.58,26.094334,9.148429
22.58141,10.58,26.113367,9.19912
22.54716,10.58,26.052042,9.282377
22.48878,10.58,25.90608,9.425109
22.426508,10.58,25.77436,9.642796
22.395372,10.58,25.578976,9.899735
22.333878,10.58,25.413761,10.070418
22.270828,10.58,25.294214,10.221142
22.238134,10.58,25.196781,10.362602
22.174305,10.58,25.07517,10.486196
22.114368,10.58,24.86104,10.581294
22.08479,10.58,24.651274,10.640459
22.02174,10.58,24.444803,10.67975
21.958689,10.58,24.258173,10.679048
21.924438,10.58,24.08143,10.640688
21.86528,10.58,23.938787,10.5676155
21.79211,10.58,23.75078,10.579523
21.768759,10.58,23.56997,10.60067
21.7096,10.58,23.40879,10.615022
21.648108,10.58,23.297012,10.628196
21.616192,10.58,23.19193,10.641181
21.553143,10.58,23.157867,10.649781
21.490091,10.58,23.12738,10.63466
21.458956,10.58,23.11549,10.623186
21.39357,10.58,23.17689,10.609099
21.355429,10.58,23.253744,10.606208
21.30561,10.58,23.350119,10.60977
21.243338,10.58,23.50542,10.594995
21.20364,10.58,23.606104,10.600364
21.146038,10.58,23.618338,10.611059
