True_X,True_Y,Pred_X,Pred_Y
5.923602,3.5455613,5.3481503,2.3957257
5.919296,3.5468633,5.2621236,2.212164
5.914288,3.5483787,5.182179,2.0414476
5.9092216,3.5499136,5.1083174,1.883577
5.9051957,3.5511045,5.040538,1.7385517
5.902673,3.5518892,4.9788413,1.6063721
5.893948,3.5544064,4.923227,1.4870379
5.887737,3.5560732,4.873695,1.3805492
5.8793144,3.5585246,4.830246,1.2869061
5.8679247,3.5617425,4.792879,1.2061085
5.862624,3.5632687,4.761595,1.1381563
5.85542,3.5652373,4.731153,1.0686959
5.848153,3.5670326,4.709705,1.0186207
5.8389263,3.5691204,4.6987906,0.99142736
5.8308105,3.5707922,4.6999083,0.9904678
5.824538,3.5719373,4.7139416,1.0184286
5.8188725,3.5730536,4.7367287,1.0739957
5.812528,3.574047,4.7367287,1.0739957
5.807806,3.5748177,4.7367287,1.0739957
5.801341,3.575886,4.7367287,1.0739957
5.796835,3.5764816,4.733351,1.0615491
5.7875643,3.577831,4.7286787,1.0486919
5.77998,3.57893,4.724777,1.0399106
5.7732577,3.5794513,4.7228875,1.0380872
5.7632704,3.5804229,4.7242208,1.04571
5.7554064,3.581224,4.7297935,1.0647266
5.7478004,3.5817888,4.7402635,1.0960919
5.7428737,3.5819898,4.7558427,1.1396132
5.7400985,3.5821927,4.776272,1.1941822
5.727841,3.5828037,4.800901,1.2581027
5.7209225,3.5829122,4.828848,1.3293303
5.715156,3.5829875,4.8591304,1.405613
5.710262,3.58309,4.8907323,1.4845667
5.7015567,3.5831716,4.922627,1.5637181
5.6957073,3.583156,4.9537845,1.6405292
5.69093,3.5829725,4.983171,1.7124133
5.68528,3.5829182,5.0097466,1.776746
5.677672,3.5826232,5.0324674,1.8308741
5.6702695,3.582057,5.0502834,1.8721205
5.664971,3.5815659,5.0621395,1.89779
5.658795,3.580656,5.066975,1.905173
5.653432,3.5799725,5.069177,1.9116374
5.6491237,3.5794446,5.0696173,1.9145583
5.6447434,3.578952,5.068744,1.9150052
