True_X,True_Y,Pred_X,Pred_Y
4.2572265,1.6284573,4.540323,2.2635844
4.2532563,1.6321734,4.540313,2.2635791
4.237151,1.646628,4.540304,2.2635748
4.225084,1.6577208,4.540298,2.2635715
4.2156315,1.6660455,4.540293,2.2635694
4.2043295,1.6757643,4.5402904,2.2635682
4.1933413,1.6857253,4.5402894,2.2635682
4.1845202,1.6942202,4.5402904,2.263569
4.174149,1.7044401,4.5402927,2.263571
4.1659408,1.7130911,4.5402975,2.2635741
4.156327,1.7237002,4.5403037,2.263578
4.1470547,1.734675,4.5403123,2.2635832
4.1394844,1.7441908,4.5403233,2.2635896
4.130639,1.7558051,4.5403357,2.2635975
4.1236377,1.7657417,4.540349,2.2636054
4.1151204,1.7776036,4.5403643,2.2636142
4.1084733,1.787907,4.5403805,2.2636247
4.1005645,1.8007033,4.540398,2.2636366
4.0941486,1.811189,4.5404153,2.2636502
4.088112,1.8217244,4.540434,2.2636652
4.081201,1.8346262,4.540452,2.2636821
4.075051,1.8474681,4.5404706,2.2637007
4.0697684,1.8586932,4.5404873,2.263721
4.063908,1.8721318,4.5405054,2.2637417
4.0590844,1.8835503,4.5405226,2.263764
4.0547447,1.8945584,4.5405383,2.2637863
4.0497227,1.9084026,4.540554,2.2638078
4.044903,1.9220997,4.540571,2.2638295
4.041356,1.9334314,4.54059,2.263851
4.037202,1.9472189,4.5406094,2.2638724
4.0344296,1.9589574,4.540631,2.2638927
4.0317698,1.9729035,4.540652,2.2639127
4.029208,1.9846838,4.540673,2.2639322
4.0270095,1.9998935,4.5406914,2.2639518
4.0250673,2.013542,4.5407095,2.2639701
4.0225377,2.0315433,4.540727,2.2639883
4.020891,2.0467157,4.5407434,2.2640057
4.0188227,2.062289,4.54076,2.2640212
4.015803,2.081495,4.5407743,2.264036
4.012856,2.1010015,4.5407867,2.2640505
4.0100603,2.1195395,4.5407968,2.2640653
4.0077558,2.1349044,4.5408053,2.2640786
4.0048637,2.1527438,4.5408125,2.26409
4.0029335,2.1675057,4.54082,2.2640996
4.0003467,2.185216,4.540826,2.2641084
3.9973774,2.2024572,4.5408316,2.2641149
3.995442,2.2166405,4.540838,2.2641208
3.9926405,2.233387,4.540843,2.2641268
3.9913776,2.2477052,4.5408483,2.2641327
