True_X,True_Y,Pred_X,Pred_Y
27.757946,7.72,27.099745,7.683598
27.734594,7.72,27.094946,7.686786
27.689558,7.72,27.090324,7.6898723
27.636183,7.72,27.085876,7.6928554
27.59782,7.72,27.081608,7.6957364
27.578917,7.72,27.077513,7.6985145
27.534437,7.72,27.073595,7.7011905
27.489403,7.72,27.069853,7.703764
27.461603,7.72,27.066288,7.706235
27.421572,7.72,27.062899,7.7086034
27.377092,7.72,27.059687,7.7108693
27.353186,7.72,27.057129,7.7126865
27.312042,7.72,27.052603,7.715773
27.267008,7.72,27.044973,7.7210917
27.242544,7.72,27.043098,7.7225356
27.198622,7.72,27.04577,7.721285
27.153585,7.72,27.053896,7.7169037
27.131346,7.72,27.060228,7.7133975
27.087423,7.72,27.061544,7.713046
27.042389,7.72,27.03907,7.726367
27.022928,7.72,27.017975,7.7386
26.979006,7.72,27.00316,7.7470646
26.933971,7.72,26.981539,7.7599435
26.905615,7.72,26.964596,7.7698727
26.862804,7.72,26.955236,7.775332
26.813877,7.72,26.948923,7.779461
26.799978,7.72,26.944523,7.782664
26.75661,7.72,26.942616,7.7841034
26.710464,7.72,26.927792,7.792319
26.687113,7.72,26.909777,7.8027425
26.643745,7.72,26.901522,7.8076234
26.596487,7.72,26.900759,7.8084226
26.575914,7.72,26.892477,7.813705
26.533104,7.72,26.891335,7.814639
26.485289,7.72,26.900837,7.8093696
26.467497,7.72,26.9096,7.804721
26.42135,7.72,26.918238,7.8001103
26.372423,7.72,26.923311,7.7972937
26.35352,7.72,26.925407,7.796269
26.298477,7.72,26.912512,7.803815
26.26623,7.72,26.912388,7.804035
26.244545,7.72,26.920916,7.7992353
26.200068,7.72,26.924517,7.797312
26.155588,7.72,26.934818,7.7914658
26.1289,7.72,26.95369,7.7805805
26.084421,7.72,26.969316,7.7717223
26.043278,7.72,26.98184,7.764521
26.02215,7.72,26.986074,7.7616115
25.969887,7.72,26.977251,7.766868
25.950985,7.72,26.979599,7.765849
25.910954,7.72,26.989534,7.7600265
25.865917,7.72,26.996202,7.755344
25.841454,7.72,27.003056,7.750504
25.796976,7.72,27.015614,7.74244
25.750828,7.72,27.048069,7.7221813
25.730257,7.72,27.031664,7.731389
25.685223,7.72,27.069334,7.7034698
25.644634,7.72,27.085949,7.6917343
25.62184,7.72,27.069643,7.70126
25.575136,7.72,27.0168,7.7388926
25.532326,7.72,26.943842,7.78873
25.510641,7.72,26.851849,7.8479147
25.449484,7.72,26.740986,7.918812
25.42224,7.72,26.621206,7.9937015
25.4,7.72,26.494556,8.070124
25.4,7.72,26.361814,8.150034
25.4,7.7411957,26.232302,8.2265625
25.4,7.7662454,26.108057,8.297519
25.4,7.81201,25.988884,8.364111
25.4,7.8365774,25.890596,8.418065
25.4,7.863554,25.807913,8.460781
25.4,7.9078727,25.734291,8.496746
25.4,7.9314775,25.68695,8.516864
25.4,7.9603806,25.68954,8.50793
25.4,8.003254,25.71723,8.483311
25.4,8.02734,25.731384,8.465912
25.4,8.056244,25.807262,8.410627
25.4,8.099118,25.831936,8.391798
25.4,8.132838,25.84696,8.381021
25.4,8.171858,25.863834,8.378664
25.4,8.210396,25.879423,8.373696
25.4,8.249415,25.890945,8.370378
25.4,8.289399,25.898417,8.370491
25.4,8.32601,25.899565,8.372265
25.4,8.364548,25.898186,8.376355
25.4,8.383817,25.892744,8.384115
25.4,8.422836,25.880991,8.394656
25.4,8.460893,25.863482,8.408403
25.4,8.502803,25.841732,8.426147
25.4,8.539413,25.816368,8.447563
25.4,8.557238,25.783787,8.472262
25.4,8.596257,25.75202,8.49703
25.4,8.636241,25.739267,8.5133095
25.4,8.653583,25.744917,8.520211
25.4,8.692602,25.730978,8.5375805
25.4,8.73114,25.715477,8.557279
25.4,8.7499275,25.704716,8.575404
25.4,8.787984,25.692804,8.5956745
25.4,8.826522,25.68465,8.618093
25.4,8.847236,25.6782,8.643597
25.4,8.884329,25.668549,8.667914
25.4,8.931538,25.660423,8.692554
25.4,8.956106,25.652205,8.717242
25.4,8.980674,25.64324,8.741968
25.4,9.026919,25.637697,8.766892
25.4,9.051005,25.63011,8.792138
25.4,9.098697,25.620817,8.817618
25.4,9.135307,25.612722,8.843043
25.4,9.17529,25.604376,8.86831
25.4,9.1940775,25.594263,8.893579
25.4,9.232615,25.585674,8.918621
25.4,9.270672,25.577007,8.943656
25.4,9.289459,25.568727,8.968567
25.4,9.32896,25.559622,8.993789
25.4,9.367017,25.549784,9.019093
25.4,9.384841,25.541216,9.043881
25.4,9.425305,25.535894,9.058325
25.4,9.4648075,25.525202,9.07872
25.4,9.482631,25.513435,9.107409
25.4,9.525504,25.499481,9.140496
25.4,9.5587435,25.487213,9.173883
25.4,9.597281,25.476147,9.209905
25.4,9.640155,25.462841,9.247145
25.4,9.677248,25.448132,9.284692
25.4,9.713859,25.436213,9.32248
25.4,9.753842,25.423311,9.35953
25.4,9.792862,25.40958,9.395534
25.4,9.828991,25.39933,9.429645
25.4,9.847778,25.388912,9.460555
25.4,9.886798,25.379097,9.487031
25.4,9.932562,25.371912,9.508653
25.4,9.9571295,25.36886,9.524416
25.4,9.983143,25.367096,9.534225
25.4,10.02987,25.367939,9.537057
25.4,10.051548,25.36979,9.53494
25.4,10.079488,25.373386,9.526593
25.4,10.125252,25.378126,9.512683
25.4,10.147893,25.376915,9.507599
25.4,10.175833,25.380362,9.505997
25.4,10.220152,25.382486,9.502159
25.4,10.243275,25.383463,9.497414
25.4,10.272178,25.387587,9.492597
25.4,10.313606,25.39695,9.475963
25.4,10.336729,25.400963,9.4672785
25.4,10.372858,25.399893,9.468619
25.4,10.409951,25.395447,9.474014
25.4,10.432592,25.39851,9.466006
25.4,10.465349,25.399097,9.46476
25.4,10.503887,25.391796,9.472043
25.4,10.542907,25.376768,9.493887
25.4,10.58,25.365305,9.520084
25.4,10.58,25.350182,9.5558
25.35174,10.58,25.328382,9.602788
25.322939,10.58,25.304052,9.657996
25.247433,10.58,25.273453,9.724208
25.197617,10.58,25.239588,9.796443
25.135344,10.58,25.20182,9.874848
25.09331,10.58,25.168238,9.952669
25.041935,10.58,25.136404,10.032676
24.980442,10.58,25.097929,10.110599
24.939964,10.58,25.064438,10.179009
24.885477,10.58,25.04607,10.224331
24.821648,10.58,25.03426,10.253712
24.785063,10.58,25.016054,10.287157
24.72902,10.58,24.998053,10.311484
24.667524,10.58,24.990145,10.3181715
24.627827,10.58,24.988186,10.31013
24.574116,10.58,24.97595,10.313233
24.511845,10.58,24.958614,10.318539
24.476816,10.58,24.932419,10.338064
24.419992,10.58,24.911276,10.348142
24.350716,10.58,24.888664,10.354997
24.321915,10.58,24.87561,10.355533
24.262756,10.58,24.868427,10.348578
24.194256,10.58,24.862717,10.337914
24.16857,10.58,24.858707,10.32424
24.107077,10.58,24.87777,10.298085
24.045582,10.58,24.905222,10.264538
24.014446,10.58,24.937721,10.225917
23.951395,10.58,24.97307,10.18191
23.889124,10.58,25.015156,10.129401
23.82685,10.58,25.070976,10.06505
23.792603,10.58,25.120552,10.008389
23.734222,10.58,25.166895,9.956578
23.67195,10.58,25.20837,9.911122
23.638477,10.58,25.242249,9.874133
23.57854,10.58,25.270203,9.845421
23.515491,10.58,25.285006,9.827192
23.431423,10.58,25.28865,9.821275
23.398731,10.58,25.283325,9.82485
23.318556,10.58,25.282701,9.820122
23.267181,10.58,25.284502,9.818634
23.205687,10.58,25.290426,9.818849
23.167545,10.58,25.294981,9.820474
23.110722,10.58,25.299435,9.825253
23.04845,10.58,25.299953,9.829666
23.012644,10.58,25.317802,9.824545
22.955042,10.58,25.323545,9.823229
22.89277,10.58,25.335516,9.809296
22.860855,10.58,25.339369,9.801146
22.797806,10.58,25.341488,9.789849
22.734755,10.58,25.345402,9.7814665
22.705954,10.58,25.335684,9.7851715
22.629671,10.58,25.319748,9.797242
22.58141,10.58,25.293928,9.825512
22.54716,10.58,25.264215,9.8566675
22.48878,10.58,25.236431,9.885701
22.426508,10.58,25.221968,9.895976
22.395372,10.58,25.209717,9.908203
22.333878,10.58,25.197073,9.922878
22.270828,10.58,25.19238,9.9334955
22.238134,10.58,25.193254,9.951714
22.174305,10.58,25.195232,9.97556
22.114368,10.58,25.186121,10.000649
22.08479,10.58,25.173214,10.025319
22.02174,10.58,25.158798,10.046128
21.958689,10.58,25.145563,10.064734
21.924438,10.58,25.121334,10.085451
21.86528,10.58,25.090513,10.104731
21.79211,10.58,25.047491,10.138896
21.768759,10.58,24.994045,10.176947
21.7096,10.58,24.936014,10.223736
21.648108,10.58,24.856447,10.285134
21.616192,10.58,24.791645,10.341714
21.553143,10.58,24.729868,10.399569
21.490091,10.58,24.67275,10.436788
21.458956,10.58,24.610418,10.452276
21.39357,10.58,24.55768,10.445179
21.355429,10.58,24.501638,10.441725
21.30561,10.58,24.460358,10.431009
21.243338,10.58,24.441376,10.408792
21.20364,10.58,24.426605,10.3932085
21.146038,10.58,24.41124,10.37972
21.08143,10.58,24.403767,10.364481
21.049517,10.58,24.412224,10.353317
20.988022,10.58,24.421059,10.3462305
20.931978,10.58,24.426186,10.347044
20.89695,10.58,24.430977,10.353138
20.837791,10.58,24.439882,10.362012
20.775518,10.58,24.430948,10.366549
20.74127,10.58,24.404053,10.368874
20.682112,10.58,24.37456,10.368234
20.611277,10.58,24.328426,10.376283
20.587925,10.58,24.309607,10.376348
20.52643,10.58,24.28007,10.381856
20.464937,10.58,24.241,10.381562
20.428352,10.58,24.19176,10.377839
20.369972,10.58,24.138847,10.373482
20.306921,10.58,24.082243,10.363869
20.277342,10.58,24.006819,10.355112
20.2104,10.58,23.90052,10.349305
20.15202,10.58,23.759289,10.352678
20.089748,10.58,23.594513,10.363794
20.06017,10.58,23.409714,10.3823395
19.997118,10.58,23.190805,10.404856
19.934067,10.58,22.933777,10.427817
19.899818,10.58,22.650368,10.452742
19.84066,10.58,22.341045,10.474535
19.774494,10.58,22.00963,10.491361
19.741802,10.58,21.654417,10.502187
19.686535,10.58,21.305182,10.515405
19.614923,10.58,20.977327,10.531135
19.584566,10.58,20.679157,10.550704
19.530855,10.58,20.43037,10.569024
19.459242,10.58,20.219778,10.586291
19.432777,10.58,20.053885,10.600451
19.375175,10.58,19.924582,10.610845
19.312124,10.58,19.817837,10.613647
19.27554,10.58,19.7303,10.609358
19.213268,10.58,19.648922,10.604385
19.15411,10.58,19.580212,10.598718
19.120638,10.58,19.530376,10.591883
19.057589,10.58,19.488955,10.58335
19.001543,10.58,19.447836,10.573922
18.970407,10.58,19.39291,10.562337
18.908134,10.58,19.328455,10.551016
18.839636,10.58,19.254742,10.539115
18.814726,10.58,19.174164,10.526238
18.750898,10.58,19.086147,10.515184
18.689404,10.58,18.99712,10.505944
18.658268,10.58,18.909409,10.499182
18.595995,10.58,18.822666,10.494731
18.53528,10.58,18.744251,10.493383
18.503366,10.58,18.67662,10.493562
18.437202,10.58,18.617565,10.495483
18.372595,10.58,18.569597,10.500624
18.346128,10.58,18.524002,10.506204
18.283857,10.58,18.481615,10.509602
18.216915,10.58,18.443933,10.512185
18.191227,10.58,18.415379,10.513575
18.128956,10.58,18.400953,10.514576
18.062012,10.58,18.39329,10.514787
18.032433,10.58,18.38899,10.515277
17.969383,10.58,18.388134,10.515452
17.907888,10.58,18.382174,10.515112
17.877531,10.58,18.38075,10.515403
17.817595,10.58,18.37964,10.514142
17.756102,10.58,18.377214,10.513308
17.725744,10.58,18.375338,10.51363
17.661137,10.58,18.377941,10.512778
17.622215,10.58,18.383356,10.511461
17.568506,10.58,18.391035,10.5095415
17.50312,10.58,18.402565,10.507372
17.46498,10.58,18.400398,10.506377
17.412827,10.58,18.37942,10.507909
17.351332,10.58,18.35102,10.5117855
17.315525,10.58,18.30736,10.515496
17.257145,10.58,18.245893,10.52079
17.194096,10.58,18.173136,10.528077
17.16296,10.58,18.099741,10.535292
17.100687,10.58,18.016155,10.543164
17.039194,10.58,17.93796,10.55099
17.007278,10.58,17.899042,10.5568
16.940336,10.58,17.81931,10.563641
16.882734,10.58,17.712915,10.572438
16.852377,10.58,17.592686,10.581157
16.78777,10.58,17.456219,10.589469
16.722383,10.58,17.313816,10.5991745
16.696697,10.58,17.175154,10.605956
16.634424,10.58,17.039696,10.610607
16.572931,10.58,16.903854,10.615338
16.54024,10.58,16.769505,10.617627
16.467848,10.58,16.63122,10.620273
16.417252,10.58,16.479603,10.625942
16.384558,10.58,16.328306,10.630049
16.311388,10.58,16.186668,10.633642
16.260014,10.58,16.048563,10.637096
16.19852,10.58,15.923086,10.638672
16.161936,10.58,15.819938,10.6392765
16.105112,10.58,15.742645,10.639106
16.040504,10.58,15.6863365,10.636098
16.007034,10.58,15.660208,10.631707
15.950211,10.58,15.645306,10.627868
15.881711,10.58,15.582455,10.625788
15.85291,10.58,15.528796,10.624249
15.79453,10.58,15.476588,10.62559
15.729923,10.58,15.434129,10.626155
15.69723,10.58,15.403189,10.62405
15.632623,10.58,15.379299,10.620357
15.573464,10.58,15.357961,10.619828
15.544663,10.58,15.337494,10.618639
15.482391,10.58,15.3227,10.616484
15.4208975,10.58,15.309392,10.617573
15.388205,10.58,15.296992,10.618106
15.32749,10.58,15.289181,10.617558
15.26366,10.58,15.2859335,10.619799
15.232525,10.58,15.281817,10.621733
15.169474,10.58,15.278114,10.622424
15.10331,10.58,15.272241,10.625464
15.077622,10.58,15.266217,10.62755
15.016908,10.58,15.258491,10.628275
14.953856,10.58,15.24378,10.633864
14.922721,10.58,15.233881,10.637553
14.858892,10.58,15.226168,10.636584
14.784944,10.58,15.219306,10.63696
14.764706,10.58,15.211493,10.638819
14.70399,10.58,15.231513,10.633216
14.643275,10.58,15.261972,10.622773
14.611361,10.58,15.280336,10.61537
14.542861,10.58,15.280474,10.61159
14.485259,10.58,15.262825,10.609769
14.452566,10.58,15.227966,10.615288
14.387181,10.58,15.177632,10.62825
14.330358,10.58,15.114507,10.646852
14.3,10.58,15.039411,10.670751
14.3,10.58,14.958581,10.700287
14.3,10.676126,14.86798,10.73623
14.3,10.737582,14.758971,10.746603
14.3,10.7943125,14.654984,10.7559805
14.3,10.833708,14.55769,10.784631
14.3,10.8951645,14.478204,10.85181
14.3,10.950318,14.416599,10.9578085
14.3,10.990502,14.377269,11.080789
14.3,11.052747,14.349814,11.2106495
14.3,11.106325,14.334443,11.340603
14.3,11.147297,14.337597,11.461339
14.3,11.209541,14.364618,11.567808
14.3,11.267847,14.385504,11.661217
14.3,11.304879,14.386574,11.736573
14.3,11.3687,14.381529,11.7947855
14.3,11.4191265,14.372655,11.838398
14.3,11.463249,14.357911,11.86284
14.3,11.534162,14.341154,11.868141
14.3,11.572769,14.32155,11.856646
14.3,11.620044,14.298113,11.825528
14.3,11.699623,14.272324,11.777114
14.3,11.729564,14.241324,11.709139
14.3,11.7792015,14.2048235,11.609701
14.3,11.848538,14.191106,11.532631
14.3,11.884782,14.186669,11.486951
14.3,11.935208,14.196378,11.468776
14.3,12.002181,14.208481,11.460984
14.3,12.040789,14.22521,11.449788
14.3,12.0959425,14.231878,11.443506
14.3,12.1621275,14.2330475,11.447881
14.3,12.197583,14.22726,11.424813
14.3,12.250373,14.225207,11.406245
14.3,12.314194,14.2277355,11.404372
14.3,12.381166,14.241055,11.441299
14.3,12.407955,14.263725,11.530124
14.3,12.470988,14.289141,11.654295
14.3,12.537961,14.31454,11.796345
14.3,12.565537,14.337758,11.942274
14.3,12.629358,14.359484,12.086227
14.3,12.691604,14.377472,12.221938
14.3,12.74203,14.392618,12.348493
14.3,12.786153,14.401486,12.457274
14.3,12.849974,14.406096,12.520148
14.3,12.898037,14.415892,12.551465
14.3,12.944524,14.4186735,12.562036
14.3,13.008345,14.412901,12.550903
14.3,13.065074,14.404158,12.526831
14.3,13.101318,14.390978,12.5002365
14.3,13.1643505,14.360518,12.472275
14.3,13.209262,14.345186,12.4086
14.3,13.261264,14.333765,12.315624
14.3,13.327449,14.334307,12.255742
14.3,13.365269,14.33645,12.234591
14.3,13.418058,14.340024,12.262789
14.3,13.448787,14.339613,12.314276
14.3,13.519699,14.335635,12.369421
14.3,13.574853,14.328952,12.412538
14.3,13.606369,14.318924,12.454053
14.3,13.676494,14.313623,12.496255
14.3,13.7316475,14.303933,12.543714
14.3,13.793104,14.289761,12.584135
14.3,13.8325,14.266426,12.658961
14.3,13.893169,14.24382,12.734995
