True_X,True_Y,Pred_X,Pred_Y
27.757946,7.72,27.557306,7.6352916
27.734594,7.72,27.54412,7.639422
27.689558,7.72,27.529728,7.6435094
27.636183,7.72,27.514124,7.6475534
27.59782,7.72,27.497313,7.6515536
27.578917,7.72,27.479292,7.655511
27.534437,7.72,27.460062,7.6594243
27.489403,7.72,27.439623,7.6632943
27.461603,7.72,27.417974,7.667121
27.421572,7.72,27.395117,7.6709046
27.377092,7.72,27.371052,7.6746445
27.353186,7.72,27.343344,7.6771894
27.312042,7.72,27.305653,7.6839514
27.267008,7.72,27.26484,7.6905622
27.242544,7.72,27.237621,7.6923137
27.198622,7.72,27.218876,7.692691
27.153585,7.72,27.226648,7.684536
27.131346,7.72,27.223694,7.681111
27.087423,7.72,27.218666,7.680345
27.042389,7.72,27.154718,7.7024136
27.022928,7.72,27.10057,7.717963
26.979006,7.72,27.045092,7.733341
26.933971,7.72,26.988834,7.75078
26.905615,7.72,26.948238,7.761373
26.862804,7.72,26.916634,7.769491
26.813877,7.72,26.899996,7.773954
26.799978,7.72,26.891958,7.7740183
26.75661,7.72,26.888681,7.7719264
26.710464,7.72,26.852982,7.785186
26.687113,7.72,26.821579,7.7962008
26.643745,7.72,26.795725,7.802402
26.596487,7.72,26.781301,7.8044653
26.575914,7.72,26.764671,7.809599
26.533104,7.72,26.764385,7.806764
26.485289,7.72,26.777153,7.7996216
26.467497,7.72,26.80442,7.79031
26.42135,7.72,26.832241,7.7797933
26.372423,7.72,26.838884,7.777075
26.35352,7.72,26.836601,7.777737
26.298477,7.72,26.805744,7.7902546
26.26623,7.72,26.807451,7.7868757
26.244545,7.72,26.814404,7.782016
26.200068,7.72,26.828382,7.777148
26.155588,7.72,26.848606,7.767283
26.1289,7.72,26.875315,7.7548976
26.084421,7.72,26.908144,7.7427897
26.043278,7.72,26.936523,7.731372
26.02215,7.72,26.94117,7.730397
25.969887,7.72,26.888134,7.7449503
25.950985,7.72,26.879452,7.7429748
25.910954,7.72,26.893835,7.7377105
25.865917,7.72,26.964384,7.7212973
25.841454,7.72,27.022808,7.712409
25.796976,7.72,27.081743,7.7013845
25.750828,7.72,27.127808,7.6950264
25.730257,7.72,27.133606,7.7043004
25.685223,7.72,27.211557,7.677864
25.644634,7.72,27.250092,7.66728
25.62184,7.72,27.238781,7.676674
25.575136,7.72,27.173359,7.7106276
25.532326,7.72,27.079763,7.749308
25.510641,7.72,26.95492,7.7968807
25.449484,7.72,26.800577,7.855724
25.42224,7.72,26.625757,7.9146776
25.4,7.72,26.435293,7.975165
25.4,7.72,26.23274,8.039306
25.4,7.7411957,26.02765,8.097588
25.4,7.7662454,25.82382,8.152051
25.4,7.81201,25.626339,8.201583
25.4,7.8365774,25.501017,8.238328
25.4,7.863554,25.3596,8.289749
25.4,7.9078727,25.285465,8.322498
25.4,7.9314775,25.226315,8.349066
25.4,7.9603806,25.27403,8.3410225
25.4,8.003254,25.35387,8.320872
25.4,8.02734,25.45134,8.291707
25.4,8.056244,25.605894,8.236715
25.4,8.099118,25.669497,8.220132
25.4,8.132838,25.714537,8.212082
25.4,8.171858,25.765251,8.208892
25.4,8.210396,25.807325,8.20497
25.4,8.249415,25.835068,8.205762
25.4,8.289399,25.845524,8.213645
25.4,8.32601,25.842995,8.222625
25.4,8.364548,25.823124,8.241791
25.4,8.383817,25.78945,8.268436
25.4,8.422836,25.740084,8.302676
25.4,8.460893,25.673948,8.347501
25.4,8.502803,25.588123,8.4074545
25.4,8.539413,25.48717,8.482163
25.4,8.557238,25.372133,8.567692
25.4,8.596257,25.3325,8.629478
25.4,8.636241,25.32886,8.683816
25.4,8.653583,25.36724,8.725339
25.4,8.692602,25.358582,8.780648
25.4,8.73114,25.33819,8.838948
25.4,8.7499275,25.319967,8.89428
25.4,8.787984,25.303417,8.949139
25.4,8.826522,25.301012,8.999181
25.4,8.847236,25.30781,9.046769
25.4,8.884329,25.30324,9.092389
25.4,8.931538,25.299885,9.133664
25.4,8.956106,25.295721,9.171839
25.4,8.980674,25.290506,9.207485
25.4,9.026919,25.288652,9.2406435
25.4,9.051005,25.289064,9.268022
25.4,9.098697,25.2857,9.295396
25.4,9.135307,25.284916,9.3185425
25.4,9.17529,25.283354,9.339786
25.4,9.1940775,25.282618,9.358127
25.4,9.232615,25.279976,9.375587
25.4,9.270672,25.279064,9.390103
25.4,9.289459,25.279541,9.403301
25.4,9.32896,25.278042,9.416965
25.4,9.367017,25.275452,9.43167
25.4,9.384841,25.272924,9.445644
25.4,9.425305,25.272345,9.454802
25.4,9.4648075,25.269577,9.464896
25.4,9.482631,25.268932,9.475931
25.4,9.525504,25.267618,9.487905
25.4,9.5587435,25.266127,9.499605
25.4,9.597281,25.263355,9.5131
25.4,9.640155,25.26285,9.524424
25.4,9.677248,25.260323,9.536536
25.4,9.713859,25.25647,9.549553
25.4,9.753842,25.254263,9.561062
25.4,9.792862,25.249594,9.5762415
25.4,9.828991,25.244976,9.591988
25.4,9.847778,25.240934,9.606274
25.4,9.886798,25.235058,9.619249
25.4,9.932562,25.230423,9.628894
25.4,9.9571295,25.230099,9.631472
25.4,9.983143,25.228432,9.633444
25.4,10.02987,25.225279,9.636504
25.4,10.051548,25.21904,9.643457
25.4,10.079488,25.2149,9.648618
25.4,10.125252,25.212593,9.651297
25.4,10.147893,25.207739,9.657362
25.4,10.175833,25.206566,9.664003
25.4,10.220152,25.207159,9.667833
25.4,10.243275,25.20643,9.670891
25.4,10.272178,25.20416,9.674711
25.4,10.313606,25.20943,9.669718
25.4,10.336729,25.207321,9.672653
25.4,10.372858,25.206339,9.677282
25.4,10.409951,25.208723,9.682499
25.4,10.432592,25.212687,9.683011
25.4,10.465349,25.214756,9.683856
25.4,10.503887,25.215143,9.685928
25.4,10.542907,25.211687,9.690681
25.4,10.58,25.208782,9.694821
25.4,10.58,25.207043,9.700626
25.35174,10.58,25.200916,9.716862
25.322939,10.58,25.19292,9.740833
25.247433,10.58,25.180977,9.777178
25.197617,10.58,25.170612,9.819487
25.135344,10.58,25.154945,9.871938
25.09331,10.58,25.12614,9.938833
25.041935,10.58,25.113344,10.003946
24.980442,10.58,25.102203,10.069897
24.939964,10.58,25.091887,10.134639
24.885477,10.58,25.10851,10.183678
24.821648,10.58,25.123758,10.229023
24.785063,10.58,25.130005,10.280653
24.72902,10.58,25.139565,10.323637
24.667524,10.58,25.147547,10.359183
24.627827,10.58,25.15588,10.38547
24.574116,10.58,25.157658,10.413769
24.511845,10.58,25.154396,10.439218
24.476816,10.58,25.148016,10.462924
24.419992,10.58,25.147278,10.477803
24.350716,10.58,25.143938,10.488697
24.321915,10.58,25.139868,10.495055
24.262756,10.58,25.134935,10.496506
24.194256,10.58,25.123972,10.498822
24.16857,10.58,25.107203,10.500787
24.107077,10.58,25.091946,10.501142
24.045582,10.58,25.077965,10.498199
24.014446,10.58,25.08276,10.4826
23.951395,10.58,25.090006,10.460398
23.889124,10.58,25.099417,10.43302
23.82685,10.58,25.128649,10.392288
23.792603,10.58,25.136822,10.359447
23.734222,10.58,25.147232,10.324186
23.67195,10.58,25.16063,10.284972
23.638477,10.58,25.167585,10.248258
23.57854,10.58,25.164206,10.2172785
23.515491,10.58,25.160175,10.18479
23.431423,10.58,25.168066,10.148089
23.398731,10.58,25.182213,10.110411
23.318556,10.58,25.211912,10.063763
23.267181,10.58,25.247292,10.013809
23.205687,10.58,25.291183,9.961276
