Pred_X,Pred_Y,True_X,True_Y
3.4273856,0.48915672,3.4546282,0.5692632
3.392985,0.49520147,3.4663138,0.5748086
3.4552975,0.50050354,3.477952,0.5804342
3.4674985,0.4962046,3.490892,0.5874549
3.5729737,0.4763472,3.500184,0.5928378
3.6443615,0.5516809,3.509681,0.5983306
3.6370075,0.5198517,3.5191026,0.6040245
3.6102266,0.54023385,3.527002,0.60891724
3.692793,0.5783284,3.536142,0.615023
3.6975088,0.5434568,3.5451992,0.62134755
3.7138743,0.56104255,3.5566943,0.6300268
3.7800932,0.5805427,3.5666268,0.6376991
3.754443,0.57956326,3.5736446,0.64336836
3.7959332,0.6099205,3.5834308,0.65162206
3.7749112,0.5978879,3.5928037,0.6602528
3.8008475,0.62195873,3.601846,0.6689966
3.7834938,0.61876523,3.6095915,0.67677796
3.7732835,0.6376858,3.6201632,0.6893922
3.7358363,0.64034164,3.6280987,0.6985985
3.7552881,0.6846287,3.6363902,0.7089189
3.7581272,0.6945909,3.6446025,0.7191498
3.6873417,0.65681136,3.6523943,0.73030734
3.7782748,0.74747396,3.6611812,0.7420852
3.8126626,0.69034064,3.670403,0.7529186
3.7915487,0.71798146,3.6717064,0.75440514
3.8266015,0.73998106,3.686783,0.76993823
3.8243465,0.741477,3.6949332,0.7778199
3.8330855,0.7850672,3.7075732,0.78943074
3.8299804,0.7839862,3.7175784,0.7980646
3.826802,0.8172114,3.734084,0.81103826
3.7906988,0.8458856,3.7443736,0.8191235
3.820721,0.85764223,3.7564697,0.8278611
3.812918,0.8955089,3.7684753,0.83627397
3.8050697,0.8555319,3.7795396,0.84333396
3.796421,0.8926153,3.7889073,0.84914297
3.8432605,0.91861117,3.8003328,0.8557724
3.8521621,0.93676895,3.8101583,0.8611506
3.8966043,0.9528592,3.8232288,0.86781615
3.8807797,0.9347765,3.8350744,0.873797
3.919503,0.99677444,3.841812,0.8766915
3.919289,0.9931732,3.8554015,0.88319755
3.9277596,0.9776212,3.8656971,0.88761294
3.9353216,1.0535946,3.8777728,0.8923386
4.007121,1.0354137,3.8884666,0.89643145
3.9618568,0.9698358,3.897124,0.89963764
3.986444,0.9881326,3.9078467,0.90330195
4.0266733,1.0407541,3.9203856,0.9070152
3.9612005,1.0213344,3.9333289,0.91056037
3.9809558,1.0355291,3.9458792,0.9136502
4.025251,1.0378201,3.9533057,0.9153883
3.9762654,0.981064,3.9777393,0.9199694
3.9774342,1.0003437,3.992226,0.9225304
4.0075088,1.0263224,4.005189,0.92387575
3.9910977,1.0517335,4.0161023,0.92535424
4.0230265,1.0597852,4.027277,0.9264543
4.004788,1.0732476,4.03839,0.9272351
3.958052,1.0196018,4.047789,0.9277353
4.0157914,0.9659445,4.059034,0.92803705
4.044951,0.94403654,4.0721464,0.92814726
3.9904988,0.9378608,4.0833364,0.9280032
4.074986,1.0328393,4.0947313,0.9277893
4.1080794,1.0318995,4.10605,0.9272421
4.10714,0.9785231,4.117196,0.92657167
4.1219106,0.9481249,4.1285896,0.9254701
4.192467,0.9486484,4.139651,0.92424625
4.1564193,0.939758,4.1564655,0.9221939
4.142914,0.95745504,4.1714387,0.9197377
4.141156,1.0154063,4.184633,0.9173533
4.1813955,0.95539665,4.1957245,0.91482
4.175672,0.94884324,4.208471,0.91169804
4.222193,0.9744472,4.219359,0.9086663
4.2635717,0.99059814,4.2304316,0.90558636
4.2919073,0.96896803,4.240868,0.9024182
4.266141,0.997608,4.25146,0.8990069
4.2824545,1.0419564,4.261773,0.8954549
4.2979956,0.935579,4.2705984,0.8924489
4.288671,0.93807214,4.274007,0.89114755
4.2782445,0.94081765,4.2911434,0.884098
4.3217993,0.9725809,4.3014574,0.8794752
4.333557,1.0155792,4.3147306,0.87306714
4.361845,0.9716746,4.323195,0.86887175
4.341648,0.9440966,4.3430414,0.858394
4.330301,0.9269468,4.352728,0.8527766
4.3656483,0.9243282,4.3637166,0.8457106
4.370935,0.92398196,4.376706,0.8375783
4.325924,0.893127,4.3872952,0.8301699
4.372631,0.8920635,4.3978767,0.82245195
4.386528,0.8444334,4.4126406,0.8107275
4.3408694,0.8546185,4.425786,0.8000585
4.367907,0.84282196,4.4356027,0.7914989
4.408291,0.7863513,4.4452,0.78254807
