Pred_X,Pred_Y,True_X,True_Y
4.421402,1.3891057,4.4784107,1.4164349
4.462308,1.4331428,4.4651017,1.4302502
4.466702,1.4101439,4.4542265,1.4412525
4.4486637,1.4712143,4.441584,1.4539233
4.4127736,1.4868028,4.429193,1.4664959
4.4187846,1.4635272,4.4187636,1.4767472
4.3904667,1.5043135,4.406646,1.4886793
4.3994365,1.4987578,4.394608,1.5003306
4.366675,1.5178655,4.384693,1.5103952
4.3772097,1.5410475,4.37226,1.5220755
4.4038687,1.558548,4.3618865,1.5319444
4.3560495,1.5727743,4.3493695,1.5436945
4.3344684,1.5537596,4.3368907,1.555363
4.3188343,1.5927917,4.3243923,1.5670692
4.2770543,1.5884964,4.3140097,1.5766016
4.276483,1.5892591,4.301663,1.5880752
4.319289,1.591045,4.2916064,1.5973365
4.264152,1.5809671,4.279376,1.6084579
4.228549,1.6399001,4.269257,1.6175625
4.1960106,1.6326737,4.2572265,1.6284573
4.2229223,1.662782,4.2532563,1.6321734
4.1926227,1.6881973,4.237151,1.646628
4.216732,1.6746895,4.225084,1.6577208
4.164167,1.7090688,4.2156315,1.6660455
4.1772223,1.6792332,4.2043295,1.6757643
4.126977,1.7016351,4.1933413,1.6857253
4.056109,1.6945208,4.1845202,1.6942202
4.0241027,1.6967229,4.174149,1.7044401
4.044621,1.6697699,4.1659408,1.7130911
4.044023,1.7234159,4.156327,1.7237002
4.030271,1.7281436,4.1470547,1.734675
4.054012,1.766703,4.1394844,1.7441908
4.0082316,1.7455841,4.130639,1.7558051
3.9922876,1.744933,4.1236377,1.7657417
4.0165954,1.7636926,4.1151204,1.7776036
4.0170727,1.7689048,4.1084733,1.787907
4.056074,1.7985747,4.1005645,1.8007033
4.0221133,1.7902055,4.0941486,1.811189
3.9938457,1.8139186,4.088112,1.8217244
4.008054,1.7848625,4.081201,1.8346262
4.0024853,1.8121017,4.075051,1.8474681
4.0132766,1.8142025,4.0697684,1.8586932
4.0452642,1.8487899,4.063908,1.8721318
3.9832096,1.8342079,4.0590844,1.8835503
3.97709,1.8503128,4.0547447,1.8945584
3.9710267,1.8630008,4.0497227,1.9084026
3.9724817,1.89737,4.044903,1.9220997
3.9874985,1.8934807,4.041356,1.9334314
3.9757068,1.9110091,4.037202,1.9472189
3.9849153,1.9299946,4.0344296,1.9589574
3.950514,1.9185619,4.0317698,1.9729035
4.018511,1.950659,4.029208,1.9846838
4.062893,1.9874533,4.0270095,1.9998935
3.9818926,1.9725356,4.0250673,2.013542
4.0396924,2.028192,4.0225377,2.0315433
4.009501,2.0399883,4.020891,2.0467157
3.9158776,2.0200496,4.0188227,2.062289
3.9960997,2.030657,4.015803,2.081495
4.0282364,2.0799763,4.012856,2.1010015
3.9543986,2.0749803,4.010061,2.1195395
3.954954,2.0783825,4.0077558,2.1349044
3.9858031,2.0856917,4.0048637,2.1527438
3.9719458,2.1201196,4.0029335,2.1675057
3.9676492,2.129752,4.0003467,2.1852162
3.969554,2.1703992,3.9973774,2.2024572
3.9408348,2.1752312,3.995442,2.2166405
3.9735334,2.1920958,3.9926405,2.233387
3.9031065,2.1706758,3.9913776,2.2477052
3.8770142,2.1857493,3.9889343,2.2649024
3.8964667,2.2000766,3.986396,2.281416
3.8964512,2.1812117,3.9841614,2.2979498
3.900492,2.2317479,3.9818983,2.3147132
3.946385,2.2654166,3.9794705,2.3308432
3.96203,2.295916,3.9773612,2.3444893
3.918254,2.2721906,3.9749086,2.360945
3.9558854,2.3358128,3.9718497,2.3802197
