Predicted_X,Predicted_Y,True_X,True_Y
0.30463853,1.6760254,0.22296983,1.6682404
0.29161116,1.6658628,0.20676368,1.6669128
0.25689194,1.6388171,0.19044241,1.6657975
0.28902677,1.6337154,0.17848961,1.664498
0.35730526,1.6335247,0.16442281,1.6632129
0.29831854,1.6785202,0.15247634,1.6619059
0.2825981,1.6349142,0.142571,1.6607264
0.28121892,1.6091583,0.13060446,1.6597002
0.278006,1.6697271,0.11882732,1.658626
0.3123497,1.6061509,0.108874455,1.6576923
0.10889086,1.6645434,0.0930985,1.6560421
0.12204185,1.6105244,0.08120307,1.6549315
0.21054843,1.5494189,0.067393616,1.6536814
0.14088848,1.5999506,0.059452653,1.6528519
0.0876582,1.6078401,0.04347955,1.6511484
0.0690752,1.6408012,0.033661164,1.6502651
0.12551335,1.6333725,0.029780278,1.6497501
-0.020813107,1.490319,0.011818154,1.6477865
0.1143429,1.5888424,-0.00012197883,1.6465178
-0.0011101365,1.6016717,-0.010155112,1.6452502
-0.027652591,1.5880647,-0.022116719,1.6438527
-0.062120855,1.5654469,-0.03404805,1.6425474
-0.05900836,1.5645232,-0.04607584,1.6409748
-0.15596664,1.4850409,-0.058152564,1.6394514
-0.05088404,1.6034164,-0.07042854,1.6378945
-0.04955125,1.5957685,-0.08260524,1.6363485
-0.09661576,1.5710659,-0.0885857,1.635471
-0.04282093,1.5326586,-0.09666677,1.6343918
-0.07081357,1.5647943,-0.120592095,1.6312234
-0.10855511,1.5923204,-0.14063266,1.628976
-0.11225477,1.5683179,-0.16448265,1.6260548
-0.13737294,1.544811,-0.1823381,1.6237665
-0.14231175,1.5513525,-0.19425201,1.6224232
-0.14600581,1.543237,-0.20618087,1.6208942
-0.18706527,1.5436146,-0.21817328,1.6196177
-0.18503031,1.5101259,-0.23017995,1.6179106
-0.18794355,1.5007832,-0.24443986,1.6163905
-0.19594166,1.5182028,-0.25662643,1.6148912
-0.21197557,1.5161843,-0.2729591,1.6125228
-0.23404756,1.5195334,-0.28303134,1.6111077
-0.25943202,1.559243,-0.28913587,1.6102061
-0.3035463,1.5588462,-0.31543764,1.6062917
-0.31025708,1.5713558,-0.3312027,1.6037805
-0.33262557,1.5850236,-0.34882018,1.6010582
-0.36345255,1.5892584,-0.3643321,1.5985619
-0.41291562,1.588433,-0.37995386,1.5963411
-0.45411566,1.591003,-0.39382175,1.5947441
-0.45718095,1.5805271,-0.41366783,1.5919682
-0.45441455,1.5545878,-0.42946225,1.5895171
-0.50186974,1.5351305,-0.44892144,1.5865382
-0.4922318,1.5359867,-0.4628865,1.5845685
-0.4968185,1.5192606,-0.4748305,1.582608
-0.50214434,1.5143158,-0.48898867,1.5805504
-0.4920045,1.5209303,-0.4991218,1.5787438
-0.5176005,1.5043659,-0.51136976,1.576734
-0.5295407,1.5233049,-0.5235192,1.5746689
-0.6114418,1.511682,-0.5356982,1.5727215
-0.5815431,1.5222037,-0.55179924,1.5700804
-0.6137229,1.518053,-0.5617998,1.5684949
-0.65327716,1.4974396,-0.57382476,1.566528
-0.62232953,1.4965172,-0.5857236,1.5645425
-0.60725176,1.5105739,-0.59763676,1.5625868
-0.6479515,1.4947741,-0.6074682,1.561025
-0.6440884,1.4931424,-0.61918104,1.5591944
-0.614869,1.4965703,-0.62906563,1.5575898
-0.6334711,1.4916897,-0.63891536,1.5559781
-0.6702804,1.494643,-0.65072346,1.5539532
-0.7131198,1.4837947,-0.6624718,1.5520698
-0.7234551,1.4936705,-0.6722796,1.5504768
-0.7879602,1.4593225,-0.6842248,1.548536
-0.8008101,1.4400306,-0.6942412,1.546814
-0.80024505,1.4387686,-0.7042439,1.5451233
-0.73347974,1.4772079,-0.71828747,1.5426744
-0.7800238,1.4519751,-0.7324268,1.5400262
-0.80223787,1.4356678,-0.74437505,1.5376633
-0.79945266,1.4427168,-0.75430626,1.5358489
-0.8050439,1.4416473,-0.768235,1.5332932
-0.8343147,1.4272184,-0.78277534,1.5311973
-0.8387643,1.4221423,-0.80014217,1.5281543
-0.87553287,1.3960359,-0.8035675,1.5275037
-0.8787737,1.3917081,-0.8231888,1.5217575
-0.8883256,1.3898215,-0.8359821,1.5169518
-0.8903512,1.3872404,-0.8501098,1.5106118
-0.90755206,1.3766367,-0.8609699,1.5051522
-0.87946033,1.3895502,-0.87038183,1.4998782
-0.8555255,1.4036331,-0.8779783,1.4953233
-0.8716748,1.380135,-0.8887236,1.4883344
-0.88868093,1.3742211,-0.89772195,1.4820471
-0.8880063,1.3686986,-0.9064846,1.4754777
-0.88742685,1.3652048,-0.91529703,1.4686744
-0.89802504,1.3435116,-0.92439884,1.4609002
-0.8925166,1.3478596,-0.934502,1.4511753
-0.9146003,1.3390298,-0.9547138,1.4319488
-0.9560313,1.3175979,-0.975631,1.4123138
-0.96661055,1.3069062,-0.9909989,1.3981647
-1.0107335,1.2530785,-1.0023677,1.3874466
-1.000399,1.2580047,-1.0170655,1.373701
-1.0017058,1.2617588,-1.0295762,1.3621908
-1.0276972,1.2293186,-1.0399377,1.3523111
-0.9973066,1.2563741,-1.0552312,1.3374984
-1.0470823,1.1983855,-1.070436,1.3227857
-1.0423261,1.2059135,-1.0789634,1.3145752
-1.0699735,1.1616185,-1.0906211,1.3027952
-1.0851327,1.1362987,-1.0992453,1.2943803
-1.1019838,1.1054354,-1.1113129,1.2826843
-1.10615,1.0997324,-1.1227169,1.2714508
-1.1186488,1.0785432,-1.1320266,1.2623782
-1.1105512,1.0937707,-1.1380042,1.2564229
-1.1333072,1.0521963,-1.1478903,1.2460343
-1.1226257,1.069977,-1.1547004,1.238302
-1.1268694,1.0621395,-1.1634692,1.227647
-1.1435608,1.0335035,-1.1730657,1.2145607
-1.14819,1.0236754,-1.1801857,1.2044029
-1.140885,1.0383606,-1.1858606,1.1957803
-1.1558576,1.0105033,-1.192459,1.1853486
-1.1571612,1.0064003,-1.1989498,1.1742481
-1.1647714,0.9908895,-1.2052438,1.1627063
-1.1648163,0.9913284,-1.2102228,1.1532193
-1.1699768,0.9805508,-1.2159991,1.1417311
-1.1784644,0.9657436,-1.2205809,1.1320353
-1.181728,0.95855063,-1.2252902,1.1220682
-1.1898386,0.94329363,-1.2304082,1.1100326
-1.1877426,0.9450286,-1.2354761,1.0976462
-1.1871781,0.9483487,-1.2393901,1.0870607
-1.1930118,0.93562585,-1.2438469,1.0743574
-1.1894739,0.94345397,-1.2478906,1.0615258
-1.1939883,0.93343073,-1.2517912,1.0484816
-1.2002566,0.9215843,-1.2554679,1.0353359
-1.1965498,0.9276814,-1.2608513,1.0151184
-1.2046853,0.90991193,-1.2659959,0.9925885
-1.2030809,0.91535133,-1.2688166,0.9767093
-1.2107694,0.8977509,-1.2722433,0.9581557
-1.2135583,0.88771874,-1.2742931,0.94425154
-1.2190926,0.87352306,-1.2762812,0.9277974
-1.2176312,0.8780162,-1.277792,0.9111621
-1.2221619,0.86719745,-1.278803,0.8957146
-1.2318856,0.83815676,-1.2797939,0.8779723
-1.2400066,0.81679267,-1.2804277,0.8621527
-1.2464364,0.8013862,-1.2813251,0.83977467
-1.2514454,0.7802723,-1.2819974,0.81973374
-1.2582601,0.762533,-1.2827938,0.79672396
-1.2589463,0.7584104,-1.2845352,0.76990664
-1.269365,0.72689325,-1.2854749,0.7440782
-1.2757083,0.70657545,-1.2865512,0.72246265
-1.2809604,0.689363,-1.2869829,0.7162669
-1.2812018,0.67600495,-1.2890749,0.66805327
-1.2830842,0.68266433,-1.2897798,0.6503423
-1.2869532,0.655737,-1.2904154,0.6272934
