Pred_X,Pred_Y,True_X,True_Y
4.0845623,3.3171706,4.1470294,3.4691918
4.0892453,3.2749383,4.1139493,3.4663885
4.0662556,3.3085828,4.089184,3.4641926
4.0677943,3.2763634,4.072659,3.4629035
4.021789,3.316785,4.0561137,3.4614363
4.010828,3.2629693,4.03948,3.4602115
3.9448187,3.288927,4.0228267,3.4585733
3.9282463,3.3240838,4.003048,3.4571145
3.8705869,3.345544,3.9861453,3.4556758
3.9025576,3.3249676,3.9634917,3.4534032
3.8511195,3.32495,3.9495215,3.4520452
3.800155,3.3174124,3.9410543,3.45118
3.8211324,3.339035,3.9045737,3.4474237
3.7882338,3.295666,3.8827076,3.445014
3.8128307,3.3342571,3.8582718,3.4424016
3.7704825,3.3207917,3.836757,3.440006
3.7493722,3.2622278,3.8150895,3.437875
3.779246,3.3207834,3.7958546,3.4363425
3.760172,3.2224443,3.768328,3.4336789
3.769851,3.2755737,3.7464209,3.4313266
3.73057,3.2942429,3.719431,3.428468
3.6958323,3.3335857,3.7000613,3.426578
3.6925538,3.3191266,3.6834948,3.4246967
3.688931,3.3332646,3.6638575,3.422722
3.630409,3.3680243,3.6498027,3.4209886
3.5529485,3.3263679,3.6328146,3.4190598
3.507799,3.3211105,3.6159635,3.4170783
3.5324764,3.3967943,3.599071,3.4152095
3.5239882,3.3658059,3.5767388,3.4126751
3.4832113,3.3692746,3.5628679,3.4111536
3.4865186,3.371502,3.5461893,3.4092662
3.4554222,3.3736486,3.5296855,3.4073608
3.4343195,3.3938308,3.513162,3.4054842
3.4239,3.3862038,3.4995255,3.4039855
3.4021037,3.3559945,3.48328,3.4022288
3.3695,3.3794563,3.46957,3.400689
3.3068345,3.35294,3.4559083,3.3991423
3.2908347,3.3496964,3.4395304,3.3971992
3.3106947,3.3603477,3.4232354,3.395392
3.287567,3.3538208,3.4096317,3.3938632
3.3030303,3.362355,3.3930638,3.392001
3.2470422,3.3401213,3.379171,3.3903484
3.2588553,3.3577166,3.365297,3.388726
3.2396457,3.3451252,3.3458185,3.3863761
3.211655,3.3371885,3.3262072,3.3838348
3.2470677,3.3470902,3.309635,3.3815675
3.2275853,3.3431888,3.2958603,3.3798263
3.1613307,3.3164752,3.276541,3.377374
3.1940176,3.3264856,3.2563736,3.3753626
3.1783903,3.2924304,3.2322857,3.3724425
3.1780698,3.3029482,3.2275348,3.371818
3.1778092,3.3077822,3.20032,3.366304
3.1231983,3.2700331,3.1825755,3.3616924
3.1248424,3.2784097,3.1629803,3.3556085
3.115758,3.2656214,3.1479173,3.3503695
3.1151161,3.2721176,3.134863,3.3453085
3.0845513,3.25366,3.1243265,3.3409376
3.0338473,3.2207022,3.1094227,3.334231
