Pred_X,Pred_Y,True_X,True_Y
26.25995,7.6070414,27.242544,7.7200003
26.188776,7.618499,27.198622,7.7200003
26.215755,7.618446,27.153585,7.7200003
26.306135,7.5921082,27.131346,7.7200003
26.271421,7.5880947,27.087423,7.7200003
26.36301,7.607572,27.042389,7.7200003
26.394884,7.6021786,27.022928,7.7200003
26.383017,7.611939,26.979006,7.7200003
26.423283,7.597891,26.933971,7.7200003
26.48436,7.5896153,26.905615,7.7200003
26.344692,7.5958266,26.862804,7.7200003
26.287521,7.601245,26.813877,7.7200003
26.328619,7.6134305,26.799978,7.7200003
26.312204,7.5986805,26.75661,7.7200003
26.129713,7.6489325,26.710464,7.7200003
26.16483,7.625635,26.687113,7.7200003
26.364094,7.597572,26.643745,7.7200003
26.16431,7.627761,26.596487,7.7200003
26.307985,7.6228323,26.575914,7.7200003
26.340233,7.618079,26.533104,7.7200003
26.233759,7.6316066,26.485289,7.7200003
26.228733,7.6359105,26.467497,7.7200003
26.370073,7.614573,26.42135,7.7200003
26.396397,7.6005526,26.372423,7.7200003
26.32339,7.6265655,26.35352,7.7200003
26.301413,7.605535,26.298477,7.7200003
26.406889,7.605062,26.26623,7.7200003
26.242702,7.631535,26.244547,7.7200003
26.282646,7.6242895,26.200066,7.7200003
26.2658,7.623208,26.155588,7.7200003
26.093838,7.6463075,26.1289,7.7200003
25.974949,7.6629653,26.084421,7.7200003
26.053877,7.643608,26.043278,7.7200003
25.9771,7.648155,26.02215,7.7200003
25.856321,7.697719,25.969889,7.7200003
25.970732,7.65715,25.950985,7.7200003
25.86254,7.6830683,25.910954,7.7200003
25.708504,7.702975,25.865917,7.7200003
25.80477,7.6775956,25.841454,7.7200003
25.702194,7.6894207,25.796976,7.7200003
25.612822,7.7139,25.750828,7.7200003
25.668144,7.6942525,25.730257,7.7200003
25.757063,7.680575,25.68522,7.7200003
25.600592,7.712439,25.644634,7.7200003
25.677847,7.7135773,25.62184,7.7200003
25.75675,7.716158,25.575136,7.7200003
25.511507,7.716601,25.532326,7.7200003
25.594793,7.7269673,25.510641,7.7200003
25.581156,7.7025523,25.449484,7.7200003
25.458036,7.718487,25.42224,7.7200003
25.333838,7.7360826,25.4,7.7200003
25.47624,7.7306314,25.4,7.7200003
25.419294,7.7172217,25.4,7.741196
25.22667,7.7568235,25.4,7.766246
25.190811,7.76311,25.4,7.81201
25.236095,7.741623,25.4,7.8365774
25.034492,7.843102,25.4,7.8635545
25.217745,7.7864513,25.4,7.907873
25.091656,7.7949805,25.4,7.9314775
25.036161,7.8326883,25.4,7.960381
25.037447,7.824827,25.4,8.003254
24.999428,7.9546075,25.4,8.027341
24.951778,7.982532,25.4,8.056244
25.221458,7.869306,25.4,8.099117
25.121593,7.983358,25.4,8.132838
25.110275,7.996604,25.4,8.171858
25.085783,8.017895,25.4,8.210396
25.149445,8.007039,25.4,8.249415
25.140009,8.073279,25.4,8.289398
25.011292,8.142763,25.4,8.32601
25.062014,8.098448,25.4,8.364548
25.136038,8.132813,25.4,8.383817
25.29452,8.1226015,25.4,8.422836
25.091246,8.211669,25.4,8.460893
25.186302,8.201148,25.4,8.502803
25.158327,8.284042,25.4,8.539413
25.301245,8.192832,25.4,8.557238
25.093824,8.295724,25.4,8.596257
25.30698,8.256514,25.4,8.636241
25.262978,8.336037,25.4,8.653583
25.315207,8.352172,25.4,8.692602
25.145998,8.451803,25.4,8.73114
25.30445,8.3795185,25.4,8.7499275
25.16408,8.59313,25.4,8.787984
25.245401,8.551361,25.4,8.826522
25.201746,8.592504,25.4,8.847236
25.36477,8.628092,25.4,8.884329
25.269314,8.637858,25.4,8.931538
25.399265,8.587068,25.4,8.956105
