Pred_X,Pred_Y,True_X,True_Y
27.67551,7.837393,28.128788,7.7200003
27.3703,7.988397,28.08987,7.7200003
27.603928,7.8918414,28.06763,7.7200003
27.568104,7.8997707,28.019258,7.7200003
27.444746,7.9333553,27.978672,7.7200003
27.440964,7.907858,27.95532,7.7200003
27.667568,7.8488827,27.90695,7.7200003
27.488258,7.89618,27.867474,7.7200003
27.580656,7.853261,27.822996,7.7200003
27.550776,7.8670278,27.757944,7.7200003
27.66496,7.85317,27.734592,7.7200003
27.3602,7.919486,27.689558,7.7200003
27.504677,7.9123397,27.636183,7.7200003
27.646608,7.835551,27.59782,7.7200003
27.585773,7.8455834,27.578917,7.7200003
27.506552,7.843595,27.534437,7.7200003
27.685476,7.8221173,27.489403,7.7200003
27.49253,7.840043,27.461603,7.7200003
27.520943,7.8614984,27.421572,7.7200003
27.63679,7.8005185,27.377094,7.7200003
27.45932,7.8266444,27.353186,7.7200003
27.584045,7.8044662,27.312042,7.7200003
27.39514,7.7844944,27.267008,7.7200003
27.344194,7.768524,27.242544,7.7200003
27.329031,7.7896466,27.198622,7.7200003
27.475073,7.7801733,27.153585,7.7200003
27.327751,7.7807217,27.131346,7.7200003
27.228127,7.7582884,27.087423,7.7200003
27.212204,7.7477016,27.042389,7.7200003
27.155996,7.7542768,27.022928,7.7200003
27.083858,7.7396483,26.979006,7.7200003
26.92418,7.7390738,26.933971,7.7200003
27.00721,7.741985,26.905615,7.7200003
26.953545,7.7315354,26.862804,7.7200003
26.9098,7.7484636,26.813877,7.7200003
26.80783,7.751621,26.799978,7.7200003
26.885483,7.7513247,26.75661,7.7200003
26.793852,7.7513084,26.710464,7.7200003
26.755476,7.7766247,26.687113,7.7200003
26.812088,7.7395396,26.643745,7.7200003
26.785467,7.7415714,26.596487,7.7200003
26.713755,7.7372675,26.575914,7.7200003
26.734392,7.737495,26.533104,7.7200003
26.729643,7.727523,26.485289,7.7200003
26.606647,7.723309,26.467497,7.7200003
26.58204,7.7317667,26.42135,7.7200003
26.611864,7.726624,26.372423,7.7200003
26.516338,7.7293463,26.35352,7.7200003
26.424751,7.717607,26.298477,7.7200003
26.444677,7.734317,26.26623,7.7200003
26.347237,7.7015004,26.244547,7.7200003
26.179853,7.736555,26.200066,7.7200003
26.33563,7.7000933,26.155588,7.7200003
26.23993,7.7134833,26.1289,7.7200003
26.095772,7.7129836,26.084421,7.7200003
26.119808,7.7210073,26.043278,7.7200003
26.004034,7.7345195,26.02215,7.7200003
25.904932,7.740316,25.969889,7.7200003
25.71867,7.786773,25.950985,7.7200003
25.754446,7.772717,25.910954,7.7200003
25.793238,7.752789,25.865917,7.7200003
25.761312,7.762719,25.841454,7.7200003
25.73902,7.7679286,25.796976,7.7200003
25.78734,7.7416925,25.750828,7.7200003
25.730299,7.7733297,25.730257,7.7200003
25.756191,7.763197,25.68522,7.7200003
25.711315,7.777657,25.644634,7.7200003
25.693977,7.783995,25.62184,7.7200003
25.688768,7.788253,25.575136,7.7200003
25.574972,7.823608,25.532326,7.7200003
25.556583,7.826994,25.510641,7.7200003
25.548845,7.8344316,25.449484,7.7200003
25.382887,7.9210134,25.42224,7.7200003
25.419834,7.891299,25.4,7.7200003
25.320906,7.934693,25.4,7.7200003
25.359638,7.9410486,25.4,7.741196
25.031162,8.102108,25.4,7.766246
25.019617,8.1869545,25.4,7.81201
24.833952,8.256942,25.4,7.8365774
25.16594,8.069581,25.4,7.8635545
25.047686,8.208301,25.4,7.907873
25.345259,8.085195,25.4,7.9314775
25.187687,8.259225,25.4,7.960381
25.310894,8.227632,25.4,8.003254
25.401646,8.231058,25.4,8.027341
25.567198,8.123722,25.4,8.056244
25.463541,8.244201,25.4,8.099117
25.39083,8.252979,25.4,8.132838
25.4324,8.257969,25.4,8.171858
25.516222,8.229952,25.4,8.210396
25.192533,8.530439,25.4,8.249415
25.437595,8.295817,25.4,8.289398
25.260504,8.466065,25.4,8.32601
25.415659,8.420002,25.4,8.364548
25.378752,8.450516,25.4,8.383817
25.352732,8.529162,25.4,8.422836
25.579792,8.452585,25.4,8.460893
25.654676,8.409624,25.4,8.502803
25.666405,8.411546,25.4,8.539413
25.560396,8.590492,25.4,8.557238
25.113972,8.883859,25.4,8.596257
25.612083,8.55938,25.4,8.636241
25.622913,8.568463,25.4,8.653583
25.485792,8.672516,25.4,8.692602
25.482098,8.681321,25.4,8.73114
25.42773,8.757362,25.4,8.7499275
25.365005,8.81315,25.4,8.787984
25.453737,8.869187,25.4,8.826522
25.512814,8.848533,25.4,8.847236
25.419182,8.855654,25.4,8.884329
25.39839,8.902936,25.4,8.931538
25.506756,8.940492,25.4,8.956105
25.5399,8.903391,25.4,8.980674
25.560123,8.799121,25.4,9.026919
25.608212,9.11848,25.4,9.051005
25.452225,9.080353,25.4,9.098697
25.671415,8.953872,25.4,9.135307
25.556652,9.2140045,25.4,9.175291
25.95789,9.213323,25.4,9.1940775
25.626137,9.482224,25.4,9.232615
25.597147,9.545087,25.4,9.270672
25.597153,9.382936,25.4,9.289459
25.385725,9.593731,25.4,9.32896
25.088806,9.638395,25.4,9.367017
25.410069,9.511536,25.4,9.384841
24.676113,10.017697,25.4,9.425305
25.183573,9.748733,25.4,9.4648075
24.847324,9.937104,25.4,9.482631
24.721886,10.039054,25.4,9.525504
25.073391,9.837358,25.4,9.5587435
25.452812,9.591217,25.4,9.597281
24.88598,9.921291,25.4,9.640155
25.065847,9.85684,25.4,9.677248
25.075207,9.888773,25.4,9.713859
25.38263,9.689307,25.4,9.753842
25.295713,9.795454,25.4,9.792862
25.39883,9.68513,25.4,9.828991
25.39687,9.673564,25.4,9.847778
25.400728,9.66404,25.4,9.886798
25.40086,9.66313,25.4,9.932562
25.400896,9.677334,25.4,9.9571295
25.406477,9.658142,25.4,9.983143
25.398096,9.664925,25.4,10.02987
25.408188,9.656256,25.4,10.051548
25.397854,9.667543,25.4,10.079488
25.40662,9.666137,25.4,10.125252
25.396101,9.668409,25.4,10.147893
25.407719,9.6450405,25.4,10.175833
25.397253,9.655484,25.4,10.220152
25.38409,9.675443,25.4,10.243275
25.39913,9.665426,25.4,10.272178
25.397064,9.679763,25.4,10.313606
25.382952,9.694595,25.4,10.336729
25.38882,9.693933,25.4,10.372858
25.39627,9.687429,25.4,10.409951
25.398882,9.688394,25.4,10.432592
25.404175,9.659377,25.4,10.46535
25.392056,9.681245,25.4,10.503887
25.389915,9.675917,25.4,10.542908
25.39368,9.66779,25.4,10.58
25.407011,9.675934,25.4,10.58
25.401466,9.69034,25.351738,10.58
25.40275,9.674876,25.322939,10.58
25.405851,9.666479,25.247433,10.58
25.41233,9.657072,25.197617,10.58
25.40681,9.668798,25.135344,10.58
25.411488,9.720524,25.09331,10.58
25.468536,9.664932,25.041935,10.58
25.079514,9.835267,24.980442,10.58
