Pred_X,Pred_Y,True_X,True_Y
26.246382,7.980197,28.019258,7.7200003
25.79921,8.095136,27.978672,7.7200003
26.256067,7.9934745,27.95532,7.7200003
26.546997,7.9471073,27.90695,7.7200003
26.272272,7.9873385,27.867474,7.7200003
26.63237,7.9038353,27.822996,7.7200003
27.045256,7.836967,27.757944,7.7200003
26.572464,7.9405804,27.734592,7.7200003
27.090858,7.7941923,27.689558,7.7200003
27.280167,7.7572627,27.636183,7.7200003
27.442528,7.709355,27.59782,7.7200003
27.302574,7.728199,27.578917,7.7200003
27.412066,7.7133274,27.534437,7.7200003
27.464354,7.6907516,27.489403,7.7200003
27.356512,7.7098255,27.461603,7.7200003
27.492706,7.6561747,27.421572,7.7200003
27.476435,7.6749496,27.377094,7.7200003
27.434599,7.696027,27.353186,7.7200003
27.474485,7.688996,27.312042,7.7200003
27.52346,7.6696134,27.267008,7.7200003
27.509972,7.6922984,27.242544,7.7200003
27.56779,7.663683,27.198622,7.7200003
27.532461,7.667123,27.153585,7.7200003
27.542744,7.6729813,27.131346,7.7200003
27.528337,7.687497,27.087423,7.7200003
27.51908,7.69797,27.042389,7.7200003
27.524544,7.6770897,27.022928,7.7200003
27.488106,7.729075,26.979006,7.7200003
27.478632,7.708644,26.933971,7.7200003
27.475445,7.693002,26.905615,7.7200003
27.475811,7.6727743,26.862804,7.7200003
27.33185,7.68225,26.813877,7.7200003
27.309406,7.67016,26.799978,7.7200003
27.242619,7.6655164,26.75661,7.7200003
27.099161,7.6987886,26.710464,7.7200003
26.891943,7.744267,26.687113,7.7200003
26.925327,7.732997,26.643745,7.7200003
26.883337,7.756557,26.596487,7.7200003
26.486845,7.7364273,26.575914,7.7200003
26.545568,7.803384,26.533104,7.7200003
26.618122,7.808585,26.485289,7.7200003
26.407955,7.812122,26.467497,7.7200003
26.437351,7.828847,26.42135,7.7200003
26.4,7.8159904,26.372423,7.7200003
26.315594,7.8639235,26.35352,7.7200003
26.16672,7.859693,26.298477,7.7200003
26.234993,7.8692937,26.26623,7.7200003
26.1619,7.8658814,26.244547,7.7200003
26.206211,7.834565,26.200066,7.7200003
25.88346,7.9085417,26.155588,7.7200003
25.931503,7.919685,26.1289,7.7200003
25.811367,7.9342136,26.084421,7.7200003
25.740126,7.916001,26.043278,7.7200003
25.69047,7.9116993,26.02215,7.7200003
25.693735,7.818345,25.969889,7.7200003
25.566648,7.8698926,25.950985,7.7200003
25.64937,7.841216,25.910954,7.7200003
25.606163,7.809726,25.865917,7.7200003
25.608677,7.789536,25.841454,7.7200003
25.578403,7.846208,25.796976,7.7200003
25.566006,7.7890472,25.750828,7.7200003
25.496265,7.855356,25.730257,7.7200003
25.432886,7.8522243,25.68522,7.7200003
25.445385,7.875482,25.644634,7.7200003
25.388233,7.8796797,25.62184,7.7200003
25.381746,7.9042206,25.575136,7.7200003
25.322403,7.916482,25.532326,7.7200003
25.3063,7.9315634,25.510641,7.7200003
25.217953,7.946603,25.449484,7.7200003
25.12381,7.975487,25.42224,7.7200003
24.883442,8.047339,25.4,7.7200003
24.915565,8.059759,25.4,7.7200003
24.828905,8.090902,25.4,7.741196
24.817747,8.110661,25.4,7.766246
24.693064,8.125682,25.4,7.81201
24.662052,8.129422,25.4,7.8365774
24.57517,8.179462,25.4,7.8635545
24.446934,8.269112,25.4,7.907873
24.010891,8.409765,25.4,7.9314775
24.182537,8.369346,25.4,7.960381
24.343208,8.3303995,25.4,8.003254
24.70769,8.243633,25.4,8.027341
24.610617,8.298104,25.4,8.056244
24.257526,8.43259,25.4,8.099117
24.277245,8.480763,25.4,8.132838
24.24439,8.505513,25.4,8.171858
24.086922,8.572075,25.4,8.210396
24.277079,8.55267,25.4,8.249415
24.103943,8.613623,25.4,8.289398
24.451178,8.563582,25.4,8.32601
24.778183,8.455618,25.4,8.364548
24.392677,8.60164,25.4,8.383817
24.636808,8.573282,25.4,8.422836
24.26745,8.692229,25.4,8.460893
24.424635,8.666886,25.4,8.502803
24.557592,8.663982,25.4,8.539413
25.085949,8.519738,25.4,8.557238
24.883177,8.599245,25.4,8.596257
25.161428,8.596179,25.4,8.636241
25.182255,8.629416,25.4,8.653583
25.25703,8.636579,25.4,8.692602
25.35718,8.66407,25.4,8.73114
25.28272,8.698997,25.4,8.7499275
25.166035,8.812341,25.4,8.787984
25.418373,8.749108,25.4,8.826522
25.345522,8.763989,25.4,8.847236
25.429209,8.791731,25.4,8.884329
25.467197,8.791777,25.4,8.931538
25.30245,8.874369,25.4,8.956105
25.48344,8.875216,25.4,8.980674
25.478489,8.936751,25.4,9.026919
25.45855,8.932803,25.4,9.051005
25.427288,9.026458,25.4,9.098697
25.625906,8.951331,25.4,9.135307
25.43751,9.139573,25.4,9.175291
25.151,9.620408,25.4,9.1940775
25.409761,9.246694,25.4,9.232615
25.471718,9.253524,25.4,9.270672
25.36482,9.395827,25.4,9.289459
25.325113,9.504602,25.4,9.32896
25.537477,9.308252,25.4,9.367017
25.310478,9.618489,25.4,9.384841
25.344278,9.63643,25.4,9.425305
24.825296,10.539499,25.4,9.4648075
25.11556,9.996371,25.4,9.482631
25.250364,9.803192,25.4,9.525504
25.118418,10.048264,25.4,9.5587435
24.903797,10.446551,25.4,9.597281
24.96161,10.352081,25.4,9.640155
25.06851,10.167655,25.4,9.677248
25.014383,10.264929,25.4,9.713859
25.047804,10.283937,25.4,9.753842
25.005527,10.348795,25.4,9.792862
25.14539,10.283554,25.4,9.828991
25.18376,10.407666,25.4,9.847778
25.218824,10.441982,25.4,9.886798
25.22014,10.356582,25.4,9.932562
25.233952,10.3881235,25.4,9.9571295
25.224878,10.42438,25.4,9.983143
25.215235,10.314106,25.4,10.02987
25.2472,10.400784,25.4,10.051548
25.24169,10.312842,25.4,10.079488
25.281712,10.348443,25.4,10.125252
25.257338,10.312582,25.4,10.147893
25.218641,10.427876,25.4,10.175833
25.272923,10.385205,25.4,10.220152
25.281614,10.441241,25.4,10.243275
25.274162,10.414877,25.4,10.272178
25.289206,10.433053,25.4,10.313606
25.302717,10.388357,25.4,10.336729
25.267508,10.405567,25.4,10.372858
25.287165,10.476181,25.4,10.409951
25.266762,10.461749,25.4,10.432592
25.277126,10.475114,25.4,10.46535
25.27886,10.495669,25.4,10.503887
