Pred_X,Pred_Y,True_X,True_Y
4.105913,3.3839521,4.1470294,3.4691918
4.068451,3.3787944,4.1139493,3.4663885
4.045165,3.384259,4.089184,3.4641926
4.0391574,3.3975773,4.072659,3.4629035
4.006608,3.3952742,4.0561137,3.4614363
3.9941504,3.3735232,4.03948,3.4602115
3.9516985,3.3795247,4.0228267,3.4585733
3.9316945,3.38736,4.003048,3.4571145
3.889582,3.3746552,3.9861453,3.4556758
3.8522177,3.3852258,3.9634917,3.4534032
3.8209398,3.383573,3.9495215,3.4520452
3.8076627,3.3504999,3.9410543,3.45118
3.7720852,3.369463,3.9045737,3.4474237
3.773243,3.344425,3.8827076,3.445014
3.7101214,3.373175,3.8582718,3.4424016
3.6653252,3.3398774,3.836757,3.440006
3.6339474,3.3383172,3.8150895,3.437875
3.640351,3.3525171,3.7958546,3.4363425
3.6024017,3.3763545,3.768328,3.4336789
3.610957,3.362333,3.7464209,3.4313266
3.578617,3.3551602,3.719431,3.428468
3.5397406,3.331375,3.7000613,3.426578
3.523119,3.3561108,3.6834948,3.4246967
3.5336683,3.335584,3.6638575,3.422722
3.6717112,3.3968608,3.6498027,3.4209886
3.6207821,3.3778245,3.6328146,3.4190598
3.6019626,3.4040012,3.6159635,3.4170783
3.593842,3.3844955,3.599071,3.4152095
3.5847638,3.3880532,3.5767388,3.4126751
3.566196,3.397465,3.5628679,3.4111536
3.5169003,3.3710623,3.5461893,3.4092662
3.528584,3.383914,3.5296855,3.4073608
3.5195045,3.3684757,3.513162,3.4054842
3.4808705,3.3544722,3.4995255,3.4039855
3.4400444,3.3447938,3.48328,3.4022288
3.4450948,3.3499677,3.46957,3.400689
3.4439356,3.363588,3.4559083,3.3991423
3.436898,3.364463,3.4395304,3.3971992
3.4346235,3.3666933,3.4232354,3.395392
3.3985884,3.3724952,3.4096317,3.3938632
3.3547916,3.3333237,3.3930638,3.392001
3.3568342,3.3542774,3.379171,3.3903484
3.3708122,3.3527386,3.365297,3.388726
3.3439233,3.361424,3.3458185,3.3863761
3.331751,3.3535814,3.3262072,3.3838348
3.2894688,3.3271585,3.309635,3.3815675
3.2451453,3.3088527,3.2958603,3.3798263
3.2106895,3.2977498,3.276541,3.377374
3.2299702,3.3029158,3.2563736,3.3753626
3.235198,3.3254325,3.2322857,3.3724425
3.185196,3.2884536,3.2275348,3.371818
3.1930275,3.299607,3.20032,3.366304
3.1620834,3.2795393,3.1825755,3.3616924
3.1513498,3.275939,3.1629803,3.3556085
3.1427233,3.2676697,3.1479173,3.3503695
3.0972812,3.2363129,3.134863,3.3453085
3.081622,3.2321687,3.1243265,3.3409376
3.0582173,3.2170978,3.1094227,3.334231
3.043753,3.2068737,3.096942,3.3281977
3.0240757,3.189997,3.084788,3.3218937
3.0238316,3.1929915,3.0725653,3.315365
3.0165894,3.1883347,3.059941,3.307905
3.01469,3.1843338,3.0459278,3.2985728
3.0184212,3.1877747,3.0178938,3.280123
2.9784334,3.1555014,2.9888816,3.261281
2.9507842,3.135372,2.9675663,3.2477036
2.9302948,3.1189835,2.9517977,3.2374182
2.9268432,3.1149447,2.9314117,3.224228
