Pred_X,Pred_Y,True_X,True_Y
64.763756,36.78226,8.387604,25.094126
64.77529,36.82315,8.380539,25.05741
64.74601,36.737503,8.373474,25.02069
64.35952,36.76672,8.3664055,24.983974
64.13886,36.81937,8.3593445,24.947258
64.33089,36.824856,8.35228,24.910542
64.280975,36.791374,8.349148,24.870958
64.1693,36.793564,8.347706,24.830145
64.42603,36.76458,8.346264,24.789333
63.703716,36.80004,8.344822,24.74852
64.016716,36.77876,8.34338,24.707708
63.77624,36.803635,8.344109,24.674856
63.02828,36.715763,8.347004,24.649967
63.69421,36.83455,8.349903,24.625076
63.72244,36.861603,8.352802,24.600185
64.88804,36.784935,8.355701,24.575294
64.12436,36.72563,8.358597,24.550404
64.515045,36.78904,8.361492,24.525513
64.45593,36.80477,8.364391,24.500624
64.658394,36.786922,8.367287,24.475733
64.9024,36.83412,8.370186,24.450842
64.60173,36.714993,8.373085,24.425953
64.05921,36.592274,8.37598,24.401062
62.50951,36.178974,8.37888,24.376171
65.15032,36.904404,8.381775,24.35128
65.31857,36.89933,8.38467,24.32639
65.22335,36.900417,8.387569,24.301498
65.49902,36.84884,8.390469,24.27661
65.44332,36.71725,8.393368,24.251719
65.36023,36.797688,8.396263,24.226828
65.0325,36.571346,8.399162,24.201937
65.765175,36.780846,8.402058,24.177048
65.81703,36.77744,8.404953,24.152157
65.81038,36.759785,8.407852,24.127266
65.94783,36.81247,8.410751,24.102375
65.87103,36.697342,8.413647,24.077484
65.87295,36.673683,8.416546,24.052595
65.922295,36.65445,8.419445,24.027704
65.87076,36.59044,8.42234,24.002813
65.832184,36.561913,8.425236,23.977922
65.71088,36.536263,8.428135,23.953033
65.79301,36.5438,8.431034,23.928143
65.99788,36.583183,8.433929,23.903252
66.02365,36.560497,8.436829,23.87836
65.93267,36.55149,8.439728,23.853472
65.85768,36.541824,8.442623,23.82858
65.829704,36.528156,8.4455185,23.80369
65.90552,36.542263,8.448418,23.7788
65.93085,36.54073,8.451313,23.753908
65.89034,36.529423,8.454212,23.72902
65.89929,36.53829,8.457111,23.704128
65.904205,36.545868,8.460007,23.679237
65.95669,36.564407,8.462906,23.654348
65.963,36.562027,8.465801,23.629457
65.98375,36.552788,8.4687,23.604567
66.02206,36.543327,8.471596,23.579676
66.06869,36.566433,8.474495,23.554785
66.01575,36.57355,8.477394,23.529894
65.94457,36.55137,8.480289,23.505005
65.81751,36.532547,8.483189,23.480114
65.830414,36.528477,8.486084,23.455223
65.723274,36.488884,8.488979,23.430334
65.69491,36.485344,8.4918785,23.405443
65.34705,36.411705,8.494778,23.380552
63.631546,35.83458,8.497673,23.355661
62.231186,35.4299,8.500572,23.33077
61.197662,35.123993,8.503471,23.30588
58.852238,34.50722,8.506371,23.28099
58.376015,34.41842,8.509262,23.2561
56.797054,34.059628,8.512161,23.231209
54.484024,33.502525,8.51506,23.20632
54.149914,33.416183,8.517956,23.181429
53.187782,33.224155,8.520855,23.156538
51.86356,32.941124,8.523754,23.131647
51.41577,32.856083,8.526649,23.106756
50.252213,32.62399,8.529545,23.081865
48.255123,32.16844,8.532444,23.056976
47.294163,31.98318,8.535339,23.032085
43.45317,31.095087,8.538239,23.007195
43.013092,31.03925,8.541138,22.982306
42.420155,30.963064,8.544037,22.957415
41.33292,30.740929,8.546932,22.932524
40.341667,30.6168,8.549828,22.907633
