Pred_X,Pred_Y,True_X,True_Y
2.7938101,2.5768573,2.7566648,2.538851
2.8221812,2.5927138,2.7593348,2.5485592
2.8162088,2.6101494,2.7620192,2.5582488
2.8233721,2.6410882,2.7651024,2.5695171
2.8111794,2.6554017,2.76722,2.5775878
2.821602,2.6718953,2.7698755,2.5873365
2.8042517,2.679609,2.7725182,2.5971887
2.7903857,2.6806977,2.775414,2.6070614
2.787013,2.6841109,2.7776976,2.6152353
2.7954538,2.7073276,2.7804816,2.6250741
2.8297615,2.7474048,2.783078,2.6349046
2.8394904,2.7731984,2.7872097,2.6494236
2.8535018,2.7756486,2.790387,2.660772
2.834747,2.7725894,2.793998,2.6735642
2.8086824,2.7831204,2.7965553,2.6831021
2.7937324,2.7885218,2.799286,2.6927428
2.776113,2.7905128,2.8017726,2.7023034
2.7767675,2.7947676,2.8038554,2.7106204
2.7860858,2.795222,2.8063383,2.7203503
2.8032506,2.8017805,2.8084798,2.7285657
2.8051722,2.8210948,2.8106086,2.7367237
2.8174312,2.836809,2.813175,2.746328
2.8137093,2.835469,2.815765,2.7560513
2.8177457,2.829742,2.8179903,2.764111
2.8124826,2.84055,2.8205366,2.7738757
2.8214672,2.83944,2.8227172,2.7834795
2.8202815,2.83044,2.8251262,2.793279
2.829848,2.8327925,2.827553,2.8031764
2.829422,2.8336504,2.830188,2.8129995
2.8424263,2.8498843,2.8340757,2.8279
2.849049,2.862661,2.8368871,2.8393664
2.8546007,2.8846753,2.8405192,2.853957
2.861243,2.8914585,2.841673,2.8587508
2.856603,2.895656,2.8453774,2.874994
2.862576,2.9098468,2.8473885,2.885256
2.8595848,2.916711,2.8494532,2.8959181
2.8489814,2.9184668,2.8518734,2.9067588
2.8513563,2.9300537,2.855413,2.9195087
2.8714888,2.9516857,2.8590963,2.9303286
2.8912544,2.961602,2.8634057,2.942718
2.8975756,2.9627268,2.867504,2.9531736
2.8949142,2.9701178,2.8727572,2.9669082
2.8916101,2.9811077,2.8807917,2.9854927
2.8999166,2.9973054,2.8862805,2.9972956
2.9088109,3.0015848,2.8914566,3.0070026
2.9147542,3.0073369,2.896443,3.0167172
2.918235,3.0210896,2.9042478,3.0295477
2.9584143,3.0397933,2.9108727,3.0407155
2.959466,3.069206,2.9209743,3.0564873
2.9623466,3.0834568,2.9294903,3.068655
2.9982026,3.1017723,2.9367692,3.078936
3.0029657,3.1204083,2.9456933,3.091012
3.0068831,3.130815,2.9549904,3.1026914
3.01301,3.1361496,2.9623263,3.1113625
3.0462437,3.1549428,2.969673,3.1197603
3.0749047,3.1840377,2.983809,3.134676
3.089173,3.2011757,2.9929063,3.1439552
3.0993068,3.2168558,3.0009215,3.1514153
3.1230626,3.2379766,3.0091674,3.1590712
3.1372738,3.253723,3.0204506,3.1691272
3.1316833,3.2592707,3.0347254,3.1809325
3.114459,3.2571864,3.0431426,3.1876917
3.1105127,3.2549114,3.0520098,3.1941557
3.0966988,3.2498343,3.0594032,3.1993203
3.0849252,3.2459626,3.0688436,3.2057512
3.081709,3.246588,3.0766008,3.210958
3.076474,3.2570102,3.0815017,3.2139695
3.0781014,3.2670755,3.094057,3.2216783
3.0928786,3.2682846,3.1021402,3.2262967
3.1118977,3.2731535,3.1104307,3.2308967
3.125288,3.275368,3.1187625,3.235332
3.1127524,3.2672,3.128782,3.2403717
3.1315951,3.2529433,3.1371253,3.2444172
3.1482928,3.2636223,3.1491594,3.250136
3.1616795,3.2776618,3.1596575,3.2544796
3.1584353,3.294444,3.170349,3.258904
3.1673634,3.3032634,3.1829855,3.2634418
3.181594,3.313636,3.193806,3.267177
3.195089,3.3119073,3.204582,3.2707126
3.2034912,3.314199,3.2188935,3.2751093
3.217823,3.3276134,3.2352793,3.2794397
3.2230067,3.323705,3.2516725,3.2835784
3.2337763,3.314027,3.2644625,3.286173
3.2398994,3.3067963,3.2752116,3.2883844
3.2484322,3.3030586,3.2862132,3.290378
3.2682135,3.2964487,3.2972145,3.291965
3.2733655,3.3112285,3.3101306,3.293662
3.3077073,3.3256042,3.3213305,3.2948287
3.3276768,3.3328607,3.334327,3.2959983
3.3439472,3.3509257,3.3456252,3.2964697
3.3737087,3.3699343,3.3567977,3.2971146
3.3901258,3.3777342,3.3660989,3.2972872
3.4120786,3.3838286,3.374961,3.2971203
3.4399066,3.402476,3.3870523,3.2965364
3.4702873,3.4018483,3.4054046,3.2956848
3.4651983,3.4048715,3.4184303,3.2952309
3.46788,3.4070055,3.430103,3.2949705
3.4859734,3.413994,3.440043,3.2947001
3.4936442,3.42571,3.451833,3.2944539
3.5137632,3.4337013,3.4636104,3.2942297
3.5243137,3.4420025,3.4753458,3.2940495
3.5640507,3.4571843,3.4854417,3.2939448
3.5815663,3.4785838,3.4957166,3.2938776
3.5857291,3.4704893,3.5058436,3.2937462
3.5955439,3.4785955,3.5162153,3.293691
3.5974479,3.4773364,3.5264695,3.2936656
3.6130254,3.4716678,3.5366843,3.293676
3.6287186,3.4662602,3.547029,3.2936258
3.6266007,3.4632823,3.5637693,3.2934918
3.6327956,3.462942,3.5788214,3.293329
3.6446981,3.4556627,3.5889554,3.293258
3.6445174,3.4423513,3.6007085,3.293145
3.6407876,3.4425101,3.6126823,3.293092
3.636727,3.4405904,3.6245136,3.2928877
3.6440856,3.4331295,3.6348217,3.2928398
3.661065,3.4326167,3.6450913,3.292683
3.6913214,3.4364183,3.6553528,3.292627
3.7015038,3.4385357,3.6638653,3.2926724
3.695493,3.455662,3.6738265,3.2927225
3.7408864,3.4530034,3.6788955,3.2926958
3.758725,3.4476109,3.692303,3.2928054
3.7868898,3.4346232,3.7006814,3.2928703
3.8089087,3.436761,3.7091315,3.2929308
3.8411071,3.428162,3.7193313,3.2930532
3.87782,3.4188392,3.7278767,3.293307
3.9188972,3.4130077,3.7414653,3.293467
3.9283638,3.4074717,3.7518911,3.2936566
3.9486217,3.4040709,3.762198,3.293851
3.9421873,3.3954172,3.7739477,3.2938652
3.9588513,3.386295,3.7854931,3.294021
3.980676,3.374752,3.7973773,3.294308
3.97616,3.3705256,3.809076,3.2941735
3.966892,3.3617625,3.8227422,3.2944288
3.960838,3.3422403,3.8330877,3.294694
3.9508376,3.321267,3.843228,3.2949176
3.9684076,3.3150105,3.8534086,3.2950323
3.9911482,3.3020632,3.86523,3.295346
4.02059,3.2970598,3.8767889,3.2956324
4.040377,3.293335,3.8884482,3.2958086
4.0606303,3.2924116,3.8986416,3.2959228
4.0754747,3.2966952,3.9086068,3.2960153
4.077742,3.2978787,3.9187357,3.2961962
