True_X,True_Y,Pred_X,Pred_Y
4.3243923,1.5670692,4.5830007,1.3119448
4.3140097,1.5766016,4.545715,1.3846503
4.301663,1.5880752,4.55971,1.3483975
4.2916064,1.5973365,4.4427104,1.3747963
4.279376,1.6084579,4.4871435,1.384606
4.269257,1.6175625,4.5603485,1.3932357
4.2572265,1.6284573,4.396304,1.3657696
4.2532563,1.6321734,4.4214315,1.4049135
4.237151,1.646628,4.3746204,1.4301889
4.225084,1.6577208,4.38702,1.4061455
4.2156315,1.6660455,4.348223,1.4220179
4.2043295,1.6757643,4.398701,1.3903307
4.1933413,1.6857253,4.399761,1.3954366
4.1845202,1.6942202,4.3158035,1.4869977
4.174149,1.7044401,4.320485,1.4406878
4.1659408,1.7130911,4.3299627,1.4907079
4.156327,1.7237002,4.2777505,1.4465326
4.1470547,1.734675,4.3127193,1.4905363
4.1394844,1.7441908,4.3151684,1.5256325
4.130639,1.7558051,4.3907223,1.5621599
4.1236377,1.7657417,4.360605,1.6362913
4.1151204,1.7776036,4.297222,1.5775334
4.1084733,1.787907,4.2261243,1.6126885
4.1005645,1.8007033,4.189714,1.5977539
4.0941486,1.811189,4.1812406,1.5853248
4.088112,1.8217244,4.32196,1.5962815
4.081201,1.8346262,4.2258544,1.5878663
4.075051,1.8474681,4.099436,1.6064206
4.0697684,1.8586932,4.0599995,1.6632867
4.063908,1.8721318,4.123936,1.7044284
4.0590844,1.8835503,4.126699,1.7502934
4.0547447,1.8945584,4.1312585,1.7950104
4.0497227,1.9084026,4.1272807,1.8408318
4.044903,1.9220997,4.1181445,1.8524392
4.041356,1.9334314,4.117088,1.9378068
4.037202,1.9472189,4.163538,2.0285316
4.0344296,1.9589574,4.09496,2.020999
4.0317698,1.9729035,4.1335473,2.0137854
4.029208,1.9846838,4.1435094,2.0391843
4.0270095,1.9998935,4.1899767,2.100701
4.0250673,2.013542,4.259003,2.0702515
4.0225377,2.0315433,4.262112,2.061932
4.020891,2.0467157,4.1825953,2.0938423
4.0188227,2.062289,4.13679,2.0788074
4.015803,2.081495,4.1132483,2.1124887
4.012856,2.1010015,4.1424384,2.0903468
4.010061,2.1195395,4.159199,2.055307
4.0077558,2.1349044,4.144534,2.108496
4.0048637,2.1527438,4.185413,2.0844955
4.0029335,2.1675057,4.1847405,2.1637619
4.0003467,2.1852162,4.18445,2.1417382
3.9973774,2.2024572,4.245686,2.2262998
3.995442,2.2166405,4.1657557,2.1640267
3.9926405,2.233387,4.118342,2.1955752
3.9913776,2.2477052,4.099211,2.1710734
3.9889343,2.2649024,4.1187725,2.2420275
3.986396,2.281416,4.1138387,2.1792543
3.9841614,2.2979498,4.0953884,2.1425426
3.9818983,2.3147132,4.1266265,2.1844108
3.9794705,2.3308432,4.1196723,2.2163281
3.9773612,2.3444893,4.2023206,2.2269723
3.9749086,2.360945,4.326069,2.2744393
3.9718497,2.3802197,4.1868186,2.1871889
3.9697442,2.3965886,4.150427,2.1985545
3.9676707,2.4104114,4.0863323,2.2129195
3.9653208,2.4269116,3.955777,2.1680994
3.9632032,2.440527,3.9924955,2.143294
3.9606678,2.4568949,4.0733504,2.2101786
3.9586172,2.4706397,4.0068555,2.1765227
3.957707,2.4789066,4.05762,2.2349076
3.9543042,2.5007942,4.116989,2.3024135
3.951717,2.5170755,4.148449,2.3480346
3.9495833,2.530565,4.2589264,2.3696802
3.9475412,2.5441585,4.3378415,2.4930632
3.944922,2.5606253,4.2447376,2.3945339
3.9421666,2.5771143,4.248253,2.431684
3.939114,2.596555,4.1333084,2.3326848
3.9365005,2.613099,4.0953946,2.3590045
3.9341564,2.6267586,4.0402555,2.3973923
3.9307952,2.6443486,4.0157504,2.3627212
3.927857,2.6591551,4.086429,2.467884
3.9256268,2.6712973,4.2591324,2.5570579
3.9237525,2.6833663,4.311665,2.6124542
3.9220297,2.697581,4.3413806,2.6565654
3.9211338,2.7091782,4.231308,2.6353362
3.9198635,2.723387,4.1693516,2.586181
3.9194016,2.7353907,4.1262283,2.6087089
3.9193304,2.749919,4.107111,2.6103663
3.9191632,2.761731,4.1105924,2.628693
3.91966,2.7762687,4.089159,2.6580062
3.9201102,2.788254,4.066184,2.6827376
3.921211,2.80266,4.0830903,2.746082
3.9224055,2.8169346,4.093019,2.7418947
3.9237134,2.8289042,4.07278,2.7488868
3.9257174,2.8433266,4.1191783,2.7692513
3.9278722,2.8555737,4.246301,2.8362646
3.9295225,2.8669279,4.156395,2.771582
3.9327435,2.8811753,4.181144,2.762298
3.9353817,2.8928382,4.1466236,2.7796435
3.9382029,2.9045115,4.1028557,2.766478
3.9388604,2.9067307,3.9872017,2.7475731
3.9462445,2.9323735,3.9509606,2.7837281
3.9506145,2.9462428,3.8388138,2.7859197
3.9546783,2.957591,3.7053618,2.677294
3.9601393,2.9708364,3.7775154,2.7977347
3.9650967,2.981881,3.8363276,2.8575578
3.97097,2.9948282,3.8980734,2.8508515
3.9770012,3.007845,3.9181585,2.7906764
3.982282,3.0186567,4.0280676,2.8986053
3.9891047,3.0312228,4.0505753,2.9461782
3.9949427,3.041878,3.9977686,2.9380338
4.002103,3.0543714,3.9518,2.9423697
4.0085835,3.0646315,3.841846,2.8548057
4.01644,3.0769048,3.8206055,2.8779702
4.024781,3.0888228,3.8994617,2.9146235
4.0318785,3.0986865,3.9264743,2.8850052
4.040517,3.1101515,4.0111136,2.9573555
4.047952,3.1195495,3.9213011,2.842391
4.057326,3.1308112,3.929359,2.9156504
4.0653343,3.1401,3.9078023,2.8392096
4.0752716,3.150978,3.9662669,2.8821213
4.0854845,3.1615329,3.9257538,2.8059676
4.0940127,3.170103,4.032922,2.89177
4.1042523,3.1800992,3.9646137,2.8260765
4.113114,3.1883032,4.0585318,2.917014
4.1238747,3.1976779,4.0888906,2.9694848
4.1330943,3.2053764,4.060128,2.9821198
4.144467,3.2143679,4.1123056,2.9997036
4.154017,3.2216797,4.139265,3.0382922
4.1658072,3.2301643,4.166736,3.0226247
4.1757126,3.2369792,4.167075,3.04938
4.1817937,3.240983,4.084908,2.98663
4.1981063,3.2514682,4.0498843,2.9706974
4.2107344,3.2589226,4.0954323,2.9911273
4.2217345,3.2646976,4.146614,3.053909
4.2322655,3.2704225,4.154668,3.065116
4.245125,3.2774527,4.139965,3.1063163
4.258452,3.2837472,4.100877,3.0560434
4.2720995,3.2897794,4.1649485,3.132243
4.283221,3.2944553,4.1029367,3.079944
4.2970243,3.2998974,4.255452,3.191227
4.3106575,3.3047035,4.246488,3.1267822
4.322281,3.3086596,4.2765245,3.1725972
4.3362293,3.3130622,4.3636875,3.209428
4.3502126,3.3174164,4.448117,3.2846365
