Pred_X,Pred_Y,True_X,True_Y
5.787673,3.4425514,5.7799797,3.57893
5.793164,3.439226,5.7732577,3.5794513
5.7830963,3.445226,5.7632704,3.5804229
5.7930756,3.439279,5.7554064,3.581224
5.8249116,3.4188995,5.7478004,3.5817888
5.79149,3.4402459,5.7428737,3.5819898
5.7759814,3.4493897,5.7400985,3.5821927
5.7795143,3.4473717,5.727841,3.5828037
5.8005414,3.43473,5.7209225,3.5829122
5.795888,3.4376335,5.715156,3.5829875
5.76696,3.454544,5.710262,3.58309
5.762771,3.4568474,5.7015567,3.5831716
5.7660627,3.4550393,5.695708,3.5831559
5.755349,3.4608831,5.69093,3.5829723
5.7746563,3.4501872,5.68528,3.5829182
5.7637525,3.4563246,5.677672,3.5826232
5.763847,3.4562786,5.6702695,3.5820568
5.7566543,3.4602017,5.664971,3.5815659
5.7453184,3.4662035,5.658795,3.580656
5.7456822,3.4660094,5.6534324,3.5799725
5.782725,3.445504,5.6491237,3.5794446
5.799992,3.4350543,5.644744,3.578952
5.779841,3.44716,5.6395516,3.5783608
5.777312,3.448652,5.6351256,3.5778291
5.758124,3.45937,5.63077,3.5774565
5.779581,3.4473243,5.6252923,3.5769913
5.7743435,3.4503405,5.6210294,3.5764768
5.76132,3.4576156,5.6156135,3.5758967
5.772791,3.4512193,5.6110992,3.5755084
5.7733793,3.4508972,5.6057014,3.5749817
5.7548356,3.4611406,5.601133,3.5744112
5.7473025,3.4651353,5.5939302,3.573662
5.7569304,3.4600227,5.587867,3.5731046
5.749608,3.4639232,5.582423,3.572588
5.771552,3.4519439,5.578906,3.5722334
5.7578864,3.4594996,5.570778,3.5714548
5.7535887,3.461819,5.5627804,3.570663
5.763468,3.4564502,5.554587,3.5698414
5.757017,3.4599767,5.545632,3.568973
5.7664523,3.4547963,5.539487,3.5682578
5.775444,3.4497159,5.5322895,3.567507
5.759031,3.4588823,5.527096,3.5669358
5.733916,3.4720087,5.519926,3.5660515
5.755655,3.460722,5.514656,3.5654657
5.7473893,3.4651067,5.5101414,3.5649214
5.7281237,3.4749022,5.5037684,3.564277
5.727365,3.4752772,5.4982677,3.5637825
5.72896,3.4744952,5.4928966,3.5632217
5.72984,3.4740667,5.4875093,3.5626364
5.6913524,3.491989,5.4830623,3.5621746
5.644524,3.510687,5.476165,3.5614452
5.6501646,3.5086403,5.468069,3.5606723
5.698098,3.4890742,5.462864,3.5600977
5.6787086,3.4974265,5.4550333,3.5593092
5.6516933,3.508063,5.4454803,3.5583272
5.6549506,3.5068583,5.4395123,3.5576866
5.6126957,3.5216558,5.433241,3.5569847
5.6567326,3.5061772,5.427713,3.5564678
5.63099,3.5155077,5.425962,3.5562263
5.6106305,3.5223012,5.425015,3.5561218
5.6229515,3.518265,5.40887,3.5543256
5.626514,3.5170646,5.4028587,3.5537179
5.6103077,3.522437,5.3976564,3.5532262
5.6675906,3.5019665,5.392231,3.552613
5.6839943,3.4952276,5.3868637,3.551998
5.6863523,3.4942138,5.3816204,3.5514584
5.686919,3.4939754,5.377234,3.551016
5.6308284,3.5155847,5.369972,3.5501697
5.619294,3.5194786,5.364741,3.5496783
5.5824,3.5310123,5.3584647,3.5489511
5.595089,3.5272062,5.3529243,3.5482366
5.6258492,3.5172906,5.347586,3.5476196
5.628367,3.5164125,5.341932,3.546899
5.5767245,3.5326521,5.3366,3.5462606
5.6009827,3.5253975,5.3322296,3.5458238
5.5786185,3.53211,5.327662,3.545188
5.556054,3.538419,5.3231826,3.5446618
5.554379,3.5388715,5.3179035,3.5440753
5.5488214,3.5403101,5.3134217,3.5435438
5.4527283,3.561184,5.308008,3.5429285
5.4317484,3.5646687,5.3034687,3.5423744
5.410618,3.5678341,5.297075,3.541645
5.4095716,3.5679648,5.290708,3.5409005
5.4140725,3.5673292,5.285262,3.5403078
5.39917,3.569417,5.278099,3.5394711
5.3856664,3.5711493,5.270112,3.538551
5.3815393,3.5716584,5.2654448,3.5380359
5.3906994,3.5705266,5.255653,3.5369549
5.3681064,3.5732179,5.2494025,3.5361998
5.374198,3.572532,5.243818,3.5355778
5.3595324,3.5741434,5.23852,3.535072
5.366724,3.5733712,5.233095,3.5344148
5.3841605,3.5713704,5.2268443,3.5336766
5.3637166,3.5737202,5.220674,3.532919
5.3617306,3.573932,5.2151275,3.5322745
5.3347526,3.5765612,5.209629,3.5316083
5.3158813,3.578109,5.204273,3.5310369
5.3286624,3.577087,5.1997323,3.5305586
5.318528,3.577881,5.1934566,3.5297515
5.334353,3.5766108,5.1863103,3.5289686
5.36914,3.5731204,5.175715,3.5277915
5.3279476,3.577141,5.1676884,3.5268843
5.3538985,3.5747476,5.1606927,3.525935
5.350581,3.5750744,5.1551228,3.5252674
5.36839,3.573215,5.1490507,3.5245383
5.304879,3.5788944,5.1410537,3.5236025
5.314156,3.578234,5.134981,3.5228963
5.303856,3.5789635,5.130471,3.5223475
5.281207,3.58033,5.1242776,3.5216475
5.2828436,3.5802548,5.118893,3.5210466
5.26732,3.5809662,5.113507,3.520431
5.276177,3.5805733,5.108906,3.5199063
5.27939,3.580425,5.1008916,3.519
5.287538,3.5799901,5.099981,3.5188985
5.3047676,3.5789278,5.0901604,3.5177982
5.299622,3.5792801,5.084773,3.5173626
5.2694235,3.5809188,5.079343,3.5166826
5.2620115,3.5812244,5.074107,3.5160384
5.2776294,3.580531,5.0689344,3.515403
5.2753444,3.5806482,5.0635233,3.5146668
5.266795,3.5810404,5.059098,3.514095
5.276046,3.580617,5.053804,3.513406
5.280792,3.580372,5.049411,3.5127313
5.299639,3.579266,5.044136,3.5121236
5.255882,3.5814428,5.0397043,3.5115125
5.252461,3.5815735,5.035192,3.5108833
5.2430015,3.581883,5.0298977,3.5101056
5.255006,3.5814993,5.024805,3.5093932
5.217214,3.5823958,5.019453,3.5086415
