Pred_X,Pred_Y,True_X,True_Y
2.6743827,2.119877,2.7566648,2.538851
2.7044525,2.1851292,2.7593348,2.5485592
2.685131,2.1448593,2.7620192,2.5582488
2.6939733,2.1628883,2.7651024,2.5695171
2.6701956,2.1092696,2.76722,2.5775878
2.6958504,2.1675029,2.7698755,2.5873365
2.6972425,2.1691535,2.7725182,2.5971887
2.6971216,2.1687627,2.775414,2.6070614
2.7121623,2.197651,2.7776976,2.6152353
2.724049,2.2189088,2.7804816,2.6250741
2.7347953,2.2383246,2.783078,2.6349046
2.719227,2.210049,2.7872097,2.6494236
2.7087162,2.1914845,2.790387,2.660772
2.7114549,2.1956694,2.793998,2.6735642
2.718993,2.2088647,2.7965553,2.6831021
2.7227159,2.2169328,2.799286,2.6927428
2.7144399,2.20125,2.8017726,2.7023034
2.7322085,2.233962,2.8038554,2.7106204
2.728029,2.2257738,2.8063383,2.7203503
2.72445,2.2193213,2.8084798,2.7285657
2.723949,2.218176,2.8106086,2.7367237
2.7268424,2.2238743,2.813175,2.746328
2.721459,2.2139828,2.815765,2.7560513
2.7226107,2.2156072,2.8179903,2.764111
2.7319517,2.2305236,2.8205366,2.7738757
2.8393192,2.382145,2.8227172,2.7834795
2.8306885,2.3695297,2.8251262,2.793279
2.8298528,2.370329,2.827553,2.8031764
2.8624494,2.4104319,2.830188,2.8129995
2.9512131,2.5020094,2.8340757,2.8279
2.9550374,2.5067427,2.8368871,2.8393664
3.0635066,2.6038365,2.8405192,2.853957
3.0835671,2.6196458,2.841673,2.8587508
3.0831676,2.619189,2.8453774,2.874994
3.1277235,2.6536713,2.8473885,2.885256
3.073509,2.611944,2.8494532,2.8959181
3.042266,2.5860155,2.8518734,2.9067588
3.04106,2.5849383,2.855413,2.9195087
3.0755942,2.612757,2.8590963,2.9303286
3.0605218,2.6012414,2.8634057,2.942718
3.0457335,2.5895793,2.867504,2.9531736
3.0467317,2.5899417,2.8727572,2.9669082
3.0584643,2.6002169,2.8807917,2.9854927
3.078855,2.616321,2.8862805,2.9972956
3.07944,2.6174092,2.8914566,3.0070026
3.2547202,2.7441282,2.896443,3.0167172
3.2501094,2.7428854,2.9042478,3.0295477
3.2357454,2.7333434,2.9108727,3.0407155
3.2140815,2.7197688,2.9209743,3.0564873
3.2442248,2.739181,2.9294903,3.068655
3.2972994,2.7730136,2.9367692,3.078936
3.2689693,2.7563741,2.9456933,3.091012
3.2628398,2.7518156,2.9549904,3.1026914
3.2889848,2.7674167,2.9623263,3.1113625
3.3083203,2.7795696,2.969673,3.1197603
3.324301,2.789574,2.983809,3.134676
3.2492447,2.744938,2.9929063,3.1439552
3.2760181,2.7616348,3.0009215,3.1514153
3.2669148,2.7556105,3.0091674,3.1590712
3.334147,2.7972174,3.0204506,3.1691272
3.3060079,2.7810955,3.0347254,3.1809325
3.2995925,2.7766953,3.0431426,3.1876917
3.318907,2.7880814,3.0520098,3.1941557
3.2970912,2.775297,3.0594032,3.1993203
3.3097775,2.7833188,3.0688436,3.2057512
3.3220181,2.7908998,3.0766008,3.210958
3.30775,2.7822714,3.0815017,3.2139695
3.2937257,2.7739844,3.094057,3.2216783
3.3082647,2.7824428,3.1021402,3.2262967
3.3222864,2.7907727,3.1104307,3.2308967
