True_X,True_Y,Pred_X,Pred_Y
4.384693,1.5103952,4.728404,1.1984371
4.37226,1.5220755,4.649101,1.2522411
4.3618865,1.5319444,4.671483,1.2511486
4.3493695,1.5436945,4.6184916,1.3168408
4.3368907,1.555363,4.591182,1.3342159
4.3243923,1.5670692,4.593407,1.3271332
4.3140097,1.5766016,4.5913687,1.3727369
4.301663,1.5880752,4.614742,1.3823087
4.2916064,1.5973365,4.6110697,1.3859435
4.279376,1.6084579,4.668994,1.4261358
4.269257,1.6175625,4.6736627,1.42942
4.2572265,1.6284573,4.588088,1.457174
4.2532563,1.6321734,4.5856876,1.4656512
4.237151,1.646628,4.506069,1.5117745
4.225084,1.6577208,4.5556207,1.4924331
4.2156315,1.6660455,4.617289,1.5713183
4.2043295,1.6757643,4.558436,1.570789
4.1933413,1.6857253,4.4623213,1.6620932
4.1845202,1.6942202,4.5892487,1.6751161
4.174149,1.7044401,4.5208173,1.7299513
4.1659408,1.7130911,4.6077976,1.7129616
4.156327,1.7237002,4.489505,1.796542
4.1470547,1.734675,4.4471407,1.747721
4.1394844,1.7441908,4.4723473,1.7769786
4.130639,1.7558051,4.359226,1.8494321
4.1236377,1.7657417,4.4059467,1.881667
4.1151204,1.7776036,4.2804856,1.8865108
4.1084733,1.787907,4.302747,1.8384502
4.1005645,1.8007033,4.27892,1.9420147
4.0941486,1.811189,4.264344,1.8978671
4.088112,1.8217244,4.2832103,1.9466541
4.081201,1.8346262,4.250117,1.9907658
4.075051,1.8474681,4.1093483,1.9433291
4.0697684,1.8586932,4.1171484,1.9763627
4.063908,1.8721318,4.0605874,1.9943149
4.0590844,1.8835503,4.144613,1.9871622
4.0547447,1.8945584,4.0901093,2.014382
4.0497227,1.9084026,4.024913,2.0082657
4.044903,1.9220997,4.02524,2.0281334
4.041356,1.9334314,3.9919589,1.9900432
4.037202,1.9472189,4.0227523,2.0545032
4.0344296,1.9589574,4.066143,2.052629
4.0317698,1.9729035,4.031928,2.0898154
4.029208,1.9846838,3.9466376,2.052355
4.0270095,1.9998935,3.9639797,2.0567596
4.0250673,2.013542,3.9388444,2.0547748
4.0225377,2.0315433,3.9529316,2.0744147
4.020891,2.0467157,3.979498,2.0508335
4.0188227,2.062289,4.00793,2.090527
4.015803,2.081495,4.007333,2.014282
4.012856,2.1010015,4.0333757,2.011849
4.010061,2.1195395,4.054069,2.0284672
4.0077558,2.1349044,3.9982936,2.015685
4.0048637,2.1527438,3.9689395,2.0276392
4.0029335,2.1675057,3.9608748,2.0400298
4.0003467,2.1852162,3.9257352,2.0207222
3.9973774,2.2024572,3.9458313,2.0082428
3.995442,2.2166405,4.0428734,2.0615184
3.9926405,2.233387,4.012115,2.0815043
3.9913776,2.2477052,3.988602,2.0728192
3.9889343,2.2649024,4.0321083,2.1043527
3.986396,2.281416,4.0099125,2.121158
3.9841614,2.2979498,4.0262156,2.098193
3.9818983,2.3147132,4.023787,2.1218877
3.9794705,2.3308432,4.033368,2.1178076
3.9773612,2.3444893,4.0559964,2.1731732
3.9749086,2.360945,4.032163,2.1762261
3.9718497,2.3802197,3.9942806,2.1914394
3.9697442,2.3965886,3.9379487,2.2212172
3.9676707,2.4104114,3.9871502,2.2343452
3.9653208,2.4269116,3.949252,2.2077625
3.9632032,2.440527,3.9815977,2.246079
3.9606678,2.4568949,4.01586,2.289574
3.9586172,2.4706397,3.9732716,2.3133307
3.957707,2.4789066,3.9396713,2.3091018
3.9543042,2.5007942,3.8995152,2.3221116
3.951717,2.5170755,3.8748662,2.3344574
3.9495833,2.530565,3.8906007,2.354278
3.9475412,2.5441585,3.8816085,2.3958173
3.944922,2.5606253,3.8709357,2.3805194
3.9421666,2.5771143,3.8548021,2.3883734
3.939114,2.596555,3.84692,2.4409692
3.9365005,2.613099,3.8504107,2.496214
3.9341564,2.6267586,3.8516324,2.515469
3.9307952,2.6443486,3.8263526,2.4904416
3.927857,2.6591551,3.8689768,2.5094802
3.9256268,2.6712973,3.8571014,2.5115883
3.9237525,2.6833663,3.870627,2.5110044
3.9220297,2.697581,3.9398642,2.5646117
3.9211338,2.7091782,3.9809268,2.5879257
3.9198635,2.723387,3.957642,2.5905151
3.9194016,2.7353907,4.000527,2.6482403
3.9193304,2.749919,3.9870102,2.652187
3.9191632,2.761731,3.9674635,2.6786923
3.91966,2.7762687,3.9268637,2.6543067
3.9201102,2.788254,3.936531,2.672402
3.921211,2.80266,3.8856623,2.6915736
3.9224055,2.8169346,3.9197958,2.7095544
3.9237134,2.8289042,3.907425,2.6952364
3.9257174,2.8433266,3.9495726,2.7385523
3.9278722,2.8555737,3.9321883,2.7322369
3.9295225,2.8669279,3.9478252,2.7398725
3.9327435,2.8811753,3.964969,2.7742164
3.9353817,2.8928382,3.9601274,2.7847872
3.9382029,2.9045115,3.9608831,2.8020234
3.9388604,2.9067307,4.0077796,2.7803113
3.9462445,2.9323735,3.9876275,2.831328
3.9506145,2.9462428,3.9788797,2.8015914
3.9546783,2.957591,4.010511,2.873825
3.9601393,2.9708364,4.028583,2.8869655
3.9650967,2.981881,4.0458865,2.9115562
3.97097,2.9948282,4.136905,2.9628322
3.9770012,3.007845,4.0677137,2.8994431
3.982282,3.0186567,4.0989604,2.9539926
3.9891047,3.0312228,4.088373,2.9466732
3.9949427,3.041878,4.1600633,3.0319095
4.002103,3.0543714,4.1176543,3.0292935
4.0085835,3.0646315,4.1406984,2.9912267
4.01644,3.0769048,4.171133,3.0555146
4.024781,3.0888228,4.14325,3.0151007
4.0318785,3.0986865,4.157042,3.0499506
4.040517,3.1101515,4.1491737,3.0547898
4.047952,3.1195495,4.1442866,3.0243275
4.057326,3.1308112,4.1911244,3.0758505
4.0653343,3.1401,4.1919303,3.0780091
4.0752716,3.150978,4.2299247,3.0801964
4.0854845,3.1615329,4.2276807,3.067728
4.0940127,3.170103,4.19293,3.0210962
4.1042523,3.1800992,4.181172,3.0440907
4.113114,3.1883032,4.187012,3.040867
4.1238747,3.1976779,4.2268515,3.0909202
4.1330943,3.2053764,4.2644515,3.1339033
4.144467,3.2143679,4.247425,3.1346798
4.154017,3.2216797,4.2731414,3.1534853
4.1658072,3.2301643,4.3051558,3.1960592
4.1757126,3.2369792,4.2974234,3.1880054
4.1817937,3.240983,4.3144984,3.1945581
4.1981063,3.2514682,4.2557898,3.1792
4.2107344,3.2589226,4.2784796,3.210834
4.2217345,3.2646976,4.320089,3.2058709
4.2322655,3.2704225,4.319031,3.236482
4.245125,3.2774527,4.3554544,3.2646158
4.258452,3.2837472,4.318892,3.2388837
4.2720995,3.2897794,4.333881,3.260442
4.283221,3.2944553,4.3620934,3.2581713
4.2970243,3.2998974,4.355427,3.2411644
4.3106575,3.3047035,4.3576965,3.258459
4.322281,3.3086596,4.353748,3.2419636
4.3362293,3.3130622,4.400524,3.255487
4.3502126,3.3174164,4.351616,3.24509
4.3643417,3.320972,4.376093,3.230353
4.378763,3.3241756,4.377881,3.241569
4.3938246,3.3269625,4.394932,3.2468672
4.4071174,3.329126,4.392504,3.2296727
4.424775,3.3315504,4.472195,3.1938355
4.4401116,3.3337073,4.516215,3.2340593
4.45565,3.3358786,4.580649,3.228745
4.477611,3.3389378,4.514265,3.2049806
4.4942045,3.3412664,4.577241,3.1602297
4.5128503,3.3444283,4.570512,3.1603875
4.5287123,3.3469594,4.580218,3.1423163
4.5470047,3.3501718,4.624093,3.1382642
4.561878,3.3526804,4.659052,3.100344
4.579362,3.3556232,4.6462092,3.1303835
4.5938406,3.357998,4.6956663,3.1137328
4.6110563,3.3609931,4.643456,3.1320908
4.619766,3.3623326,4.673219,3.1383693
4.6424584,3.3658197,4.6821113,3.131165
4.6590643,3.3682387,4.6794033,3.1774087
4.6726108,3.3702755,4.7020836,3.179694
4.6833925,3.371917,4.7329054,3.1829607
4.70512,3.3754334,4.6941833,3.1957724
4.7212086,3.377851,4.7365007,3.196322
4.7345004,3.3795805,4.7087555,3.208189
4.7506585,3.3821049,4.728972,3.2154827
4.7642775,3.3842704,4.6813645,3.1929672
4.7807846,3.3868387,4.7283635,3.2177663
4.7970285,3.3893754,4.7736816,3.2516797
4.81318,3.3920038,4.751028,3.2491317
4.829731,3.394638,4.76712,3.2890196
4.846062,3.3972669,4.7892995,3.2794747
4.862476,3.4001658,4.8254304,3.2911065
4.8761125,3.4024458,4.7762513,3.2708473
4.892374,3.4052606,4.8205886,3.3002832
4.90865,3.4080229,4.8162665,3.2980812
4.922102,3.410374,4.847184,3.2602224
4.9386864,3.413192,4.839926,3.2703962
4.955029,3.4160075,4.8896866,3.3022358
4.9687104,3.4183698,4.921897,3.2638474
4.9822125,3.4207838,4.9223733,3.2399864
4.9985275,3.4237256,5.034328,3.2431781
5.0125227,3.4261334,5.0638995,3.2738886
5.0287647,3.429152,5.1488514,3.2773798
5.042319,3.431412,5.1478534,3.244238
5.05335,3.433407,5.193944,3.2400582
5.069958,3.4364722,5.2064996,3.2446804
5.086288,3.4393592,5.2100916,3.2287784
5.09173,3.4403749,5.242552,3.2171848
5.116512,3.4446807,5.2435255,3.2142656
5.133166,3.4481761,5.240844,3.2177856
5.146908,3.4509842,5.201689,3.2234201
5.1605268,3.4539309,5.237423,3.1761234
5.1769805,3.457007,5.300545,3.1864645
5.1935186,3.460237,5.320183,3.201736
5.2070036,3.4627979,5.31712,3.2210166
5.2218895,3.4664476,5.293368,3.218128
5.2339206,3.4693317,5.3069997,3.244294
5.2508793,3.4728272,5.334658,3.2325497
5.265097,3.4753952,5.327508,3.236451
5.2769704,3.4771395,5.3354754,3.2296143
5.291065,3.4788187,5.3450856,3.2160728
5.303077,3.4798634,5.3704853,3.2254474
5.317237,3.4809513,5.376123,3.2572486
5.331466,3.4816308,5.3628116,3.2666767
5.3434763,3.4818828,5.3766685,3.312636
5.3579373,3.4819694,5.418636,3.2882493
5.3701053,3.4817421,5.4074993,3.2650642
5.384495,3.481048,5.402518,3.268676
5.396479,3.480461,5.4505234,3.2288022
5.410925,3.479371,5.4579053,3.2350965
5.425153,3.4779482,5.476058,3.2450855
5.439473,3.476049,5.486843,3.2801418
5.4516406,3.4740274,5.514875,3.265253
5.4658628,3.4714491,5.523986,3.2316487
5.47758,3.4689429,5.5005355,3.2063928
5.491622,3.465468,5.5479593,3.1948845
5.5034194,3.4624846,5.585518,3.1508517
5.5150666,3.4592183,5.5920424,3.1512272
5.5312586,3.4539976,5.6064034,3.147719
5.5448213,3.4493647,5.599723,3.1401582
5.5582905,3.444367,5.6224003,3.129727
5.571894,3.4389699,5.6439095,3.1541011
5.5828485,3.4342074,5.656711,3.1112173
5.596299,3.428157,5.679259,3.1132443
5.607365,3.4228983,5.6876616,3.0783787
5.6205215,3.416234,5.6791916,3.0937963
