Pred_X,Pred_Y,True_X,True_Y
27.386257,7.149101,28.08987,7.7200003
27.010134,7.129693,28.06763,7.7200003
27.022236,7.073093,28.019258,7.7200003
27.075912,7.1693788,27.978672,7.7200003
27.267624,7.131295,27.95532,7.7200003
27.358837,7.1927505,27.90695,7.7200003
26.770555,7.195788,27.867474,7.7200003
27.298561,7.129992,27.822996,7.7200003
27.134407,7.3003564,27.757944,7.7200003
27.223206,7.290633,27.734592,7.7200003
27.082115,7.158962,27.689558,7.7200003
27.459738,7.2884216,27.636183,7.7200003
27.410864,7.2228746,27.59782,7.7200003
27.300346,7.143814,27.578917,7.7200003
27.361359,7.1234403,27.534437,7.7200003
27.379763,7.0593147,27.489403,7.7200003
27.56048,7.0810184,27.461603,7.7200003
27.577553,7.1195416,27.421572,7.7200003
27.54426,7.1129503,27.377094,7.7200003
27.51076,7.0499644,27.353186,7.7200003
27.535805,7.090804,27.312042,7.7200003
27.398575,7.0862,27.267008,7.7200003
27.436611,7.0984383,27.242544,7.7200003
27.447197,7.134279,27.198622,7.7200003
27.466911,7.11128,27.153585,7.7200003
27.487644,7.092656,27.131346,7.7200003
27.47415,7.1645994,27.087423,7.7200003
27.304096,7.296218,27.042389,7.7200003
27.061634,7.2087116,27.022928,7.7200003
27.26012,7.036622,26.979006,7.7200003
26.80202,7.2034993,26.933971,7.7200003
27.31998,7.0982285,26.905615,7.7200003
27.389027,7.065177,26.862804,7.7200003
26.86774,7.2681265,26.813877,7.7200003
27.128965,7.165116,26.799978,7.7200003
27.327236,6.9908915,26.75661,7.7200003
27.389002,7.25733,26.710464,7.7200003
27.531818,7.0280538,26.687113,7.7200003
27.509243,7.061361,26.643745,7.7200003
27.466557,7.069943,26.596487,7.7200003
27.557726,7.0415707,26.575914,7.7200003
27.335102,7.0925794,26.533104,7.7200003
27.424465,7.129513,26.485289,7.7200003
27.511433,7.119617,26.467497,7.7200003
27.390676,7.164189,26.42135,7.7200003
27.29927,7.052894,26.372423,7.7200003
27.388191,7.2720637,26.35352,7.7200003
27.071463,7.0451503,26.298477,7.7200003
27.03347,7.1031184,26.26623,7.7200003
26.161722,7.5221186,26.244547,7.7200003
26.673935,7.0737844,26.200066,7.7200003
26.858051,7.0964856,26.155588,7.7200003
26.948654,7.0961084,26.1289,7.7200003
25.88674,7.451425,26.084421,7.7200003
25.896294,7.449998,26.043278,7.7200003
26.391901,7.4590836,26.02215,7.7200003
25.650951,7.6691985,25.969889,7.7200003
26.292093,7.453899,25.950985,7.7200003
26.650742,7.20043,25.910954,7.7200003
26.868874,7.167688,25.865917,7.7200003
27.198008,6.9809427,25.841454,7.7200003
27.085543,6.8796034,25.796976,7.7200003
26.923355,7.157201,25.750828,7.7200003
26.39422,7.172327,25.730257,7.7200003
26.080782,7.297636,25.68522,7.7200003
26.731539,7.1038594,25.644634,7.7200003
26.389883,7.197448,25.62184,7.7200003
26.061316,7.3756795,25.575136,7.7200003
25.223537,7.1058874,25.532326,7.7200003
26.156748,7.054622,25.510641,7.7200003
26.046722,7.4260783,25.449484,7.7200003
26.17938,7.47123,25.42224,7.7200003
25.378967,7.465565,25.4,7.7200003
25.8568,7.073747,25.4,7.7200003
25.68873,7.337641,25.4,7.741196
25.734884,7.3594265,25.4,7.766246
23.126472,9.607524,25.4,7.81201
22.959665,9.181313,25.4,7.8365774
22.419624,9.110726,25.4,7.8635545
23.745047,9.305539,25.4,7.907873
23.498758,9.015827,25.4,7.9314775
23.139912,9.144709,25.4,7.960381
23.944172,9.363654,25.4,8.003254
23.63604,9.226658,25.4,8.027341
23.856485,9.033126,25.4,8.056244
24.628517,9.027787,25.4,8.099117
24.322784,8.848164,25.4,8.132838
23.860176,9.106053,25.4,8.171858
23.524246,9.197764,25.4,8.210396
25.310091,9.115929,25.4,8.249415
26.181355,8.42584,25.4,8.289398
24.933489,9.176294,25.4,8.32601
24.895285,9.312948,25.4,8.364548
25.820385,8.962121,25.4,8.383817
25.369427,9.137283,25.4,8.422836
25.213335,9.128915,25.4,8.460893
24.953136,9.204291,25.4,8.502803
24.962717,9.198082,25.4,8.539413
25.489197,9.177572,25.4,8.557238
25.88197,8.992798,25.4,8.596257
25.81273,9.006736,25.4,8.636241
25.854126,8.851251,25.4,8.653583
25.997252,8.932843,25.4,8.692602
26.25054,8.687828,25.4,8.73114
26.167847,8.789033,25.4,8.7499275
25.851416,8.900942,25.4,8.787984
26.040432,8.961065,25.4,8.826522
25.718168,9.184826,25.4,8.847236
25.96665,9.06343,25.4,8.884329
25.814867,9.136205,25.4,8.931538
25.823624,8.999173,25.4,8.956105
25.827785,9.051813,25.4,8.980674
26.11512,8.906414,25.4,9.026919
25.988302,8.996345,25.4,9.051005
25.95531,8.974993,25.4,9.098697
26.236961,8.88713,25.4,9.135307
26.335415,8.85857,25.4,9.175291
26.33791,8.839929,25.4,9.1940775
26.099987,8.9933815,25.4,9.232615
26.326746,8.856927,25.4,9.270672
26.426598,8.817479,25.4,9.289459
26.345251,8.902106,25.4,9.32896
26.592352,8.7308655,25.4,9.367017
26.516645,8.805198,25.4,9.384841
26.233763,9.002519,25.4,9.425305
26.180317,9.113693,25.4,9.4648075
26.191313,9.142569,25.4,9.482631
26.35644,8.868253,25.4,9.525504
26.364845,9.217117,25.4,9.5587435
26.388838,9.208105,25.4,9.597281
26.5096,9.162982,25.4,9.640155
26.5171,9.210555,25.4,9.677248
26.513664,9.256227,25.4,9.713859
26.532686,9.261173,25.4,9.753842
26.42664,9.543238,25.4,9.792862
26.152071,9.669802,25.4,9.828991
26.582087,9.633341,25.4,9.847778
26.379673,9.676533,25.4,9.886798
26.424585,9.45157,25.4,9.932562
26.694593,9.384723,25.4,9.9571295
26.78356,9.270371,25.4,9.983143
26.56954,9.315549,25.4,10.02987
26.770668,9.311976,25.4,10.051548
26.65669,9.401061,25.4,10.079488
26.530191,9.340352,25.4,10.125252
26.630043,9.439169,25.4,10.147893
26.690777,9.425961,25.4,10.175833
26.527533,9.317637,25.4,10.220152
26.635162,9.334206,25.4,10.243275
26.859007,9.1440115,25.4,10.272178
26.653704,9.4298315,25.4,10.313606
26.47614,9.435635,25.4,10.336729
26.708027,9.425776,25.4,10.372858
26.688616,9.467692,25.4,10.409951
26.5413,9.299976,25.4,10.432592
26.752314,9.47165,25.4,10.46535
26.711685,9.565506,25.4,10.503887
26.637178,9.441914,25.4,10.542908
26.555626,9.279246,25.4,10.58
26.756817,9.091021,25.4,10.58
26.681883,8.970514,25.351738,10.58
26.680492,8.980279,25.322939,10.58
26.511684,9.237891,25.247433,10.58
26.752443,9.076145,25.197617,10.58
26.68804,9.232838,25.135344,10.58
26.706024,9.300294,25.09331,10.58
26.117693,9.349343,25.041935,10.58
25.602644,9.836802,24.980442,10.58
25.901724,9.6604185,24.939964,10.58
26.394527,9.358341,24.885477,10.58
26.034616,9.597869,24.821648,10.58
25.427355,10.005295,24.785063,10.58
25.484135,10.03442,24.72902,10.58
25.954401,9.495744,24.667524,10.58
25.525677,9.899938,24.627827,10.58
25.610306,9.8302555,24.574116,10.58
25.45721,9.909026,24.511845,10.58
26.663116,9.187028,24.476816,10.58
25.488909,9.999113,24.419992,10.58
25.361454,10.116574,24.350716,10.58
25.371754,10.171169,24.321915,10.58
25.169785,9.955461,24.262756,10.58
25.083721,10.048089,24.194256,10.58
25.191137,10.278069,24.16857,10.58
25.294975,10.277009,24.107077,10.58
25.009626,10.068872,24.045582,10.58
24.81586,10.435365,24.014446,10.58
25.13455,10.330708,23.951395,10.58
25.107365,10.249157,23.889124,10.58
25.394205,9.579868,23.82685,10.58
24.725216,10.197579,23.792603,10.58
24.652475,10.1925745,23.734222,10.58
25.320747,9.390217,23.67195,10.58
25.146107,10.106026,23.63848,10.58
25.355179,9.810588,23.57854,10.58
24.951296,10.141939,23.515491,10.58
25.319626,9.298726,23.431423,10.58
24.576561,10.194414,23.398731,10.58
25.216087,9.347239,23.318556,10.58
24.530426,10.175043,23.267181,10.58
24.489815,10.216653,23.205687,10.58
24.9908,9.465964,23.167545,10.58
25.275898,9.801483,23.110722,10.58
25.099802,9.326046,23.04845,10.58
25.034822,9.859217,23.012644,10.58
24.745712,10.001802,22.955042,10.58
25.549143,9.28167,22.89277,10.58
24.475664,9.994859,22.860855,10.58
24.023764,10.092758,22.797806,10.58
25.541643,9.03544,22.734755,10.58
24.435465,9.898518,22.705954,10.58
24.66359,9.740786,22.629671,10.58
24.400593,9.69452,22.58141,10.58
24.09148,9.851957,22.54716,10.58
24.274202,9.26788,22.48878,10.58
23.606682,10.055233,22.426508,10.58
23.941938,9.328981,22.395372,10.58
23.581146,10.08979,22.333878,10.58
23.070826,9.863865,22.270828,10.58
23.760622,10.078604,22.238134,10.58
23.20441,9.858283,22.174305,10.58
23.704067,9.794334,22.114368,10.58
23.595385,9.88116,22.08479,10.58
23.118917,10.0757675,22.02174,10.58
23.12739,9.515739,21.958689,10.58
23.201273,9.911068,21.924438,10.58
23.123243,10.075044,21.86528,10.58
22.771742,9.788674,21.79211,10.58
24.795437,8.656965,21.768759,10.58
24.041372,9.752833,21.7096,10.58
22.888908,9.943782,21.648106,10.58
23.078945,9.987103,21.616192,10.58
23.058878,10.087862,21.55314,10.58
22.668106,9.754158,21.490091,10.58
23.278917,9.876816,21.458956,10.58
23.201155,9.943195,21.39357,10.58
22.943916,9.669309,21.355427,10.58
23.222336,9.987293,21.30561,10.58
23.517195,9.924582,21.243338,10.58
23.490656,9.828827,21.20364,10.58
23.400457,9.9638,21.146038,10.58
22.723701,9.873818,21.08143,10.58
23.601538,9.761173,21.049517,10.58
23.038696,9.733318,20.988022,10.58
23.317867,9.812471,20.931978,10.58
23.313082,9.845074,20.89695,10.58
23.709835,9.1008215,20.837791,10.58
25.54452,8.452721,20.775518,10.58
23.888842,9.546901,20.74127,10.58
24.174387,9.240305,20.682112,10.58
23.223227,9.370759,20.611277,10.58
23.01848,9.796962,20.587925,10.58
22.926357,9.753308,20.52643,10.58
22.804842,9.797787,20.464937,10.58
23.256737,9.803313,20.428352,10.58
22.982277,9.858981,20.369972,10.58
22.498508,9.909995,20.306921,10.58
22.9035,9.855618,20.277342,10.58
23.900331,9.379559,20.2104,10.58
22.627966,9.581701,20.15202,10.58
22.924908,9.869363,20.089748,10.58
22.941322,9.845999,20.06017,10.58
22.681074,9.949658,19.997118,10.58
22.140314,9.866561,19.934067,10.58
21.995888,10.346271,19.899818,10.58
22.049196,9.822746,19.84066,10.58
