Pred_X,Pred_Y,True_X,True_Y
6.0125504,3.5544982,6.0144954,3.518095
6.0106983,3.5613885,6.0082674,3.519994
6.032246,3.549455,6.003389,3.5213928
6.018741,3.545759,5.9969983,3.5233233
6.0220494,3.5134892,5.9929814,3.524498
6.02482,3.511006,5.987479,3.5261676
6.010048,3.5091555,5.9833255,3.527367
5.994249,3.5171368,5.978061,3.5289745
6.04386,3.528317,5.9728985,3.530472
5.9985347,3.527725,5.966757,3.5323274
5.9826736,3.549958,5.961586,3.5338645
5.9866357,3.5529025,5.955352,3.5358324
5.978578,3.521765,5.950155,3.5374582
5.959174,3.5594099,5.9458604,3.53869
5.958543,3.5541937,5.9415975,3.5399947
5.9516797,3.5486252,5.937265,3.541365
5.949133,3.567958,5.932066,3.5429506
5.9221854,3.567271,5.9278293,3.5441964
5.92678,3.5722868,5.923602,3.5455613
5.9317846,3.5838978,5.919296,3.5468633
5.935214,3.5683138,5.914288,3.5483787
5.9410653,3.5572393,5.9092216,3.5499136
5.9445863,3.5663073,5.9051957,3.5511045
5.946118,3.573243,5.902673,3.5518892
5.92562,3.5552711,5.893948,3.5544064
5.9463153,3.5815072,5.887737,3.5560732
5.922258,3.5826085,5.8793144,3.5585246
5.926936,3.5721455,5.8679247,3.5617423
5.9265976,3.5704596,5.862624,3.5632687
5.9004235,3.5837362,5.85542,3.5652373
5.9212008,3.5721035,5.8481536,3.5670326
5.919252,3.5819964,5.8389263,3.5691204
5.8849044,3.5644782,5.8308105,3.5707922
5.901377,3.5694482,5.824538,3.5719373
5.9170284,3.5704317,5.8188725,3.5730536
5.8975906,3.570164,5.812528,3.574047
5.872348,3.5737705,5.8078065,3.5748177
5.891221,3.5779748,5.801341,3.575886
5.867356,3.548712,5.796835,3.5764818
5.868907,3.564215,5.7875648,3.577831
5.85141,3.5689037,5.7799797,3.57893
5.8163953,3.5532086,5.7732577,3.5794513
5.7706504,3.5545857,5.7632704,3.5804229
5.798295,3.5419672,5.7554064,3.581224
5.7870345,3.5495963,5.7478004,3.5817888
5.7983737,3.5345297,5.7428737,3.5819898
5.7370696,3.5273948,5.7400985,3.5821927
5.7183084,3.5302942,5.727841,3.5828037
5.734419,3.5098314,5.7209225,3.5829122
5.7404165,3.50777,5.715156,3.5829875
5.728084,3.4944634,5.710262,3.58309
5.701051,3.4873512,5.7015567,3.5831716
5.7031803,3.4919772,5.695708,3.5831559
5.6873465,3.456336,5.69093,3.5829723
5.683379,3.4440546,5.68528,3.5829182
5.697186,3.4459958,5.677672,3.5826232
5.7304587,3.451428,5.6702695,3.5820568
5.716358,3.443918,5.664971,3.5815659
5.6865478,3.4226444,5.658795,3.580656
5.6401234,3.3986058,5.6534324,3.5799725
5.6962805,3.3913577,5.6491237,3.5794446
5.678597,3.3824985,5.644744,3.578952
5.6573024,3.367748,5.6395516,3.5783608
5.6750646,3.3685107,5.6351256,3.5778291
5.6577706,3.3609264,5.63077,3.5774565
5.655949,3.364475,5.6252923,3.5769913
5.6721964,3.3750947,5.6210294,3.5764768
5.657383,3.4148467,5.6156135,3.5758967
5.6857667,3.3907025,5.6110992,3.5755084
5.633734,3.4408183,5.6057014,3.5749817
5.6287346,3.415159,5.601133,3.5744112
5.6523376,3.44702,5.5939302,3.573662
5.644034,3.4494972,5.587867,3.5731046
5.6476097,3.4641407,5.582423,3.572588
5.6020384,3.4503021,5.578906,3.5722334
5.619831,3.4854667,5.570778,3.5714548
5.6048326,3.4869225,5.5627804,3.570663
5.6458864,3.5131285,5.554587,3.5698414
5.622091,3.5147567,5.545632,3.568973
5.6175385,3.502258,5.539487,3.5682578
5.612378,3.5057778,5.5322895,3.567507
5.609551,3.5242505,5.527096,3.5669358
5.58804,3.5250428,5.519926,3.5660515
5.594261,3.5207598,5.514656,3.5654657
5.598531,3.5373628,5.5101414,3.5649214
5.581927,3.5345135,5.5037684,3.564277
5.5752697,3.5408988,5.4982677,3.5637825
5.595078,3.5287313,5.4928966,3.5632217
5.577308,3.5258367,5.4875093,3.5626364
5.544406,3.5278587,5.4830623,3.5621746
5.561701,3.532506,5.476165,3.5614452
5.5285053,3.5222287,5.468069,3.5606723
5.5458703,3.5108855,5.462864,3.5600977
5.5300727,3.5273478,5.4550333,3.5593092
5.527831,3.517184,5.4454803,3.5583272
5.5114784,3.5346248,5.4395123,3.5576866
5.525,3.5563648,5.433241,3.5569847
5.4926896,3.5437872,5.427713,3.5564678
5.495092,3.5367644,5.425962,3.5562263
5.4899054,3.55501,5.425015,3.5561218
5.452312,3.5401394,5.40887,3.5543256
5.4400916,3.5517106,5.4028587,3.5537179
5.4564486,3.5723352,5.3976564,3.5532262
5.464963,3.5706544,5.392231,3.552613
5.4563217,3.5761764,5.3868637,3.551998
5.43462,3.574438,5.3816204,3.5514584
5.41712,3.5736985,5.377234,3.551016
5.422949,3.5895512,5.369972,3.5501697
5.411129,3.5874803,5.364741,3.5496783
5.40542,3.5699751,5.3584647,3.5489511
5.386524,3.5691438,5.3529243,3.5482366
5.3918552,3.5706122,5.347586,3.5476196
5.3622394,3.5757704,5.341932,3.546899
5.3515778,3.5585392,5.3366,3.5462606
5.361428,3.559722,5.3322296,3.5458238
5.3618803,3.5595748,5.327662,3.545188
5.366874,3.5667906,5.3231826,3.5446618
5.33538,3.564441,5.3179035,3.5440753
5.348672,3.5656645,5.3134217,3.5435438
5.3392124,3.555184,5.308008,3.5429285
5.3554177,3.5498724,5.3034687,3.5423744
5.327175,3.536791,5.297075,3.541645
5.3267,3.5276241,5.290708,3.5409005
