Pred_X,Pred_Y,True_X,True_Y
2.5806823,1.7142406,2.700768,1.7619543
2.5674202,1.6986583,2.695496,1.7715404
2.5670545,1.7133778,2.6897204,1.7813019
2.5553858,1.7271603,2.6838946,1.7933149
2.5457187,1.723487,2.6812992,1.7986281
2.562394,1.736135,2.672852,1.817616
2.535137,1.730622,2.6688771,1.8280433
2.52714,1.7384542,2.668231,1.8297026
2.5257254,1.7446404,2.6611638,1.8485805
2.5247204,1.7581207,2.6572764,1.8590384
2.5147846,1.7679927,2.6534183,1.8697042
2.5271811,1.7707336,2.65054,1.8805666
2.524427,1.7728392,2.6462245,1.8946407
2.5331361,1.8011372,2.6418633,1.9106855
2.5216186,1.8205911,2.6393275,1.923349
2.5403266,1.8218783,2.6364105,1.9359571
2.5130675,1.8284458,2.6344655,1.9488636
2.5454917,1.8434587,2.6325266,1.9597578
2.5216777,1.8310909,2.6307395,1.974505
2.5475125,1.8607975,2.6291435,1.9872892
2.562912,1.8670956,2.62879,1.996813
2.5583363,1.8953177,2.6276667,2.0094805
2.527482,1.8844489,2.6272647,2.020253
2.5433302,1.9284151,2.627351,2.0332925
2.5669746,1.9381131,2.627352,2.0428998
2.576269,1.9388397,2.6280608,2.0582342
2.5904622,1.9645836,2.628935,2.069691
2.6017694,1.9769895,2.6300166,2.082541
2.6113656,1.9994695,2.6309922,2.095277
2.5602558,2.000578,2.6329844,2.1100788
2.5504048,2.034147,2.6336389,2.1138084
2.573747,2.036579,2.6370382,2.1337702
2.5194232,2.0547101,2.6391084,2.1445525
2.5369403,2.0639591,2.641129,2.1535668
2.547175,2.0777922,2.6429656,2.162616
2.5533705,2.103786,2.6453013,2.173538
2.5378652,2.1144335,2.6484103,2.1820917
2.5434284,2.1376169,2.6513345,2.1919281
2.531739,2.159725,2.6543539,2.200001
2.5243309,2.155621,2.657524,2.2092152
2.5156493,2.1847248,2.660331,2.216916
2.5531065,2.2165387,2.6635063,2.2261765
2.5042264,2.2091122,2.666901,2.2373822
2.5264225,2.2504656,2.6700068,2.2468684
2.532634,2.2494583,2.6725423,2.2565002
2.497613,2.2787256,2.6766164,2.269117
2.5302143,2.3070273,2.6813073,2.2848554
2.505016,2.3276198,2.6853447,2.2993898
2.5074182,2.3185656,2.6887095,2.309071
2.5119777,2.3565416,2.6920643,2.3203871
2.5132208,2.3740463,2.695995,2.3333118
2.5191665,2.4106555,2.6991215,2.3429563
2.5256276,2.4404242,2.7032342,2.35602
2.5121026,2.46057,2.70711,2.368984
2.492246,2.4771874,2.712145,2.3869967
2.475671,2.5015507,2.7153463,2.39838
2.4724505,2.5431147,2.7187567,2.4099307
2.5237021,2.546386,2.7212005,2.4181864
2.542782,2.5256462,2.7239609,2.4278972
2.5317402,2.5437515,2.7268782,2.4377353
2.5325882,2.5602639,2.7299519,2.4474375
2.5560389,2.578027,2.7328572,2.4572253
