Pred_X,Pred_Y,True_X,True_Y
25.420185,8.15314,27.242544,7.7200003
25.40697,8.198164,27.198622,7.7200003
25.328224,8.3442,27.153585,7.7200003
25.444498,8.128195,27.131346,7.7200003
25.49985,8.105038,27.087423,7.7200003
25.386333,8.229682,27.042389,7.7200003
25.574091,8.037152,27.022928,7.7200003
25.55598,8.014493,26.979006,7.7200003
25.347614,8.129045,26.933971,7.7200003
25.50994,8.089801,26.905615,7.7200003
25.357666,8.034074,26.862804,7.7200003
25.363985,8.19206,26.813877,7.7200003
25.293941,8.215007,26.799978,7.7200003
25.419956,8.106484,26.75661,7.7200003
25.342634,8.201395,26.710464,7.7200003
25.397432,8.108859,26.687113,7.7200003
25.594639,8.031478,26.643745,7.7200003
25.537977,8.083244,26.596487,7.7200003
25.355259,8.143201,26.575914,7.7200003
25.728094,7.917012,26.533104,7.7200003
25.562193,8.033062,26.485289,7.7200003
25.544333,8.027318,26.467497,7.7200003
25.62669,8.024898,26.42135,7.7200003
25.743126,7.907882,26.372423,7.7200003
25.450373,8.113384,26.35352,7.7200003
25.775661,7.907399,26.298477,7.7200003
25.925112,7.7784863,26.26623,7.7200003
25.637592,7.9515433,26.244547,7.7200003
25.712296,7.8693857,26.200066,7.7200003
25.836227,7.7504373,26.155588,7.7200003
25.757668,7.8890243,26.1289,7.7200003
25.704428,7.805413,26.084421,7.7200003
25.897217,7.813026,26.043278,7.7200003
25.816202,7.8410077,26.02215,7.7200003
25.703566,7.8723693,25.969889,7.7200003
25.65945,7.924111,25.950985,7.7200003
25.75395,7.900905,25.910954,7.7200003
25.651695,8.024508,25.865917,7.7200003
25.599031,7.901012,25.841454,7.7200003
25.656982,7.803659,25.796976,7.7200003
25.63825,8.034804,25.750828,7.7200003
25.615868,7.9521823,25.730257,7.7200003
25.74868,7.85322,25.68522,7.7200003
25.61136,8.001374,25.644634,7.7200003
25.641987,8.088522,25.62184,7.7200003
25.53423,8.082306,25.575136,7.7200003
25.671652,7.9988556,25.532326,7.7200003
25.689024,8.071879,25.510641,7.7200003
25.468409,8.047873,25.449484,7.7200003
25.688086,7.914771,25.42224,7.7200003
25.678389,8.044335,25.4,7.7200003
25.573286,7.9822893,25.4,7.7200003
25.702106,7.776528,25.4,7.741196
25.47501,8.070493,25.4,7.766246
25.310875,8.090802,25.4,7.81201
25.366543,8.038295,25.4,7.8365774
25.111814,8.343699,25.4,7.8635545
25.248978,8.281361,25.4,7.907873
25.092497,8.252991,25.4,7.9314775
25.235931,8.249154,25.4,7.960381
25.042856,8.457073,25.4,8.003254
25.161037,8.398731,25.4,8.027341
25.192043,8.39353,25.4,8.056244
25.215874,8.405909,25.4,8.099117
25.043196,8.517865,25.4,8.132838
25.203138,8.477948,25.4,8.171858
25.319098,8.462474,25.4,8.210396
25.165182,8.58761,25.4,8.249415
25.18157,8.472584,25.4,8.289398
25.335728,8.487044,25.4,8.32601
25.194677,8.618258,25.4,8.364548
25.336813,8.480685,25.4,8.383817
25.025528,8.606329,25.4,8.422836
25.326374,8.632271,25.4,8.460893
25.329498,8.631862,25.4,8.502803
25.109879,8.688741,25.4,8.539413
25.172567,8.764994,25.4,8.557238
25.311235,8.682447,25.4,8.596257
25.08206,8.789955,25.4,8.636241
25.127485,8.845237,25.4,8.653583
25.218554,8.928212,25.4,8.692602
24.915846,8.926798,25.4,8.73114
24.826279,9.153668,25.4,8.7499275
24.945726,9.069223,25.4,8.787984
25.150507,9.097031,25.4,8.826522
25.120567,9.137642,25.4,8.847236
25.305614,9.037591,25.4,8.884329
25.157724,9.165768,25.4,8.931538
24.900164,9.248403,25.4,8.956105
25.014868,9.347394,25.4,8.980674
25.210342,9.17195,25.4,9.026919
25.072006,9.175514,25.4,9.051005
25.278194,9.202457,25.4,9.098697
25.354769,9.229814,25.4,9.135307
25.376158,9.213616,25.4,9.175291
25.037426,9.342555,25.4,9.1940775
25.261047,9.338575,25.4,9.232615
25.41301,9.317508,25.4,9.270672
25.109692,9.401685,25.4,9.289459
25.123037,9.572057,25.4,9.32896
25.147717,9.664349,25.4,9.367017
25.331322,9.503405,25.4,9.384841
25.13928,9.66328,25.4,9.425305
25.078045,9.912855,25.4,9.4648075
25.107355,9.753114,25.4,9.482631
25.304417,9.71679,25.4,9.525504
24.797783,9.943845,25.4,9.5587435
25.122044,9.958101,25.4,9.597281
25.163914,9.984731,25.4,9.640155
24.890522,9.919084,25.4,9.677248
25.331333,9.853906,25.4,9.713859
25.477182,9.897786,25.4,9.753842
25.130854,9.908778,25.4,9.792862
25.275269,9.911472,25.4,9.828991
25.414787,9.868494,25.4,9.847778
25.406792,9.886767,25.4,9.886798
25.242002,9.988881,25.4,9.932562
25.52447,9.964059,25.4,9.9571295
25.463697,10.035114,25.4,9.983143
25.402906,9.9874115,25.4,10.02987
25.599281,10.01104,25.4,10.051548
25.660656,10.032996,25.4,10.079488
25.453484,10.112758,25.4,10.125252
25.491417,10.111919,25.4,10.147893
25.545797,10.132793,25.4,10.175833
25.35323,10.150353,25.4,10.220152
25.425093,10.254696,25.4,10.243275
25.405193,10.204882,25.4,10.272178
25.644382,10.146502,25.4,10.313606
25.614603,10.262788,25.4,10.336729
25.651377,10.203527,25.4,10.372858
25.713097,10.154564,25.4,10.409951
25.793522,10.174581,25.4,10.432592
25.810694,10.197595,25.4,10.46535
25.859676,10.155828,25.4,10.503887
26.001715,10.117943,25.4,10.542908
25.952532,10.150619,25.4,10.58
25.93517,10.179261,25.4,10.58
25.936178,10.128713,25.351738,10.58
26.029896,10.091547,25.322939,10.58
25.943678,10.147716,25.247433,10.58
25.921297,10.128086,25.197617,10.58
25.85192,10.178879,25.135344,10.58
25.999992,10.085285,25.09331,10.58
25.96653,10.106231,25.041935,10.58
25.893139,10.114364,24.980442,10.58
25.651735,10.22542,24.939964,10.58
25.812155,10.150329,24.885477,10.58
25.737045,10.154235,24.821648,10.58
25.588854,10.21556,24.785063,10.58
25.616884,10.246106,24.72902,10.58
25.670593,10.19282,24.667524,10.58
25.340384,10.297334,24.627827,10.58
25.361818,10.321112,24.574116,10.58
25.519287,10.189257,24.511845,10.58
25.261572,10.279288,24.476816,10.58
25.151093,10.344156,24.419992,10.58
25.165943,10.192262,24.350716,10.58
25.283813,10.108326,24.321915,10.58
25.264631,10.078874,24.262756,10.58
25.032907,10.089408,24.194256,10.58
24.897284,10.28062,24.16857,10.58
24.91638,10.246328,24.107077,10.58
25.080482,10.194034,24.045582,10.58
24.683638,10.301278,24.014446,10.58
24.681362,10.295783,23.951395,10.58
24.677485,10.310642,23.889124,10.58
24.593533,10.333688,23.82685,10.58
24.4979,10.335822,23.792603,10.58
24.497793,10.312219,23.734222,10.58
24.799168,10.164081,23.67195,10.58
24.42144,10.233853,23.63848,10.58
24.372313,10.2417965,23.57854,10.58
24.526941,10.148974,23.515491,10.58
24.365627,10.195621,23.431423,10.58
24.214249,10.172468,23.398731,10.58
24.197495,10.248408,23.318556,10.58
24.421955,10.124453,23.267181,10.58
