Pred_X,Pred_Y,True_X,True_Y
26.935646,7.6179824,28.753162,7.7200003
27.059631,7.5282083,28.723696,7.7200003
27.072783,7.4430995,28.691448,7.7200003
26.916265,7.4261537,28.645857,7.7200003
27.116653,7.5624685,28.609718,7.7200003
27.122702,7.4164104,28.579695,7.7200003
26.979513,7.4421864,28.53466,7.7200003
27.094637,7.4758716,28.50686,7.7200003
27.137066,7.472438,28.467941,7.7200003
27.08272,7.4483223,28.424019,7.7200003
27.264505,7.521329,28.397331,7.7200003
27.245144,7.404533,28.352852,7.7200003
26.997992,7.6004844,28.31282,7.7200003
27.02278,7.5451913,28.28669,7.7200003
27.097086,7.492037,28.246658,7.7200003
26.94331,7.5213504,28.202179,7.7200003
27.067392,7.423071,28.17716,7.7200003
27.223076,7.3729997,28.128788,7.7200003
27.033098,7.3534017,28.08987,7.7200003
27.049566,7.386215,28.06763,7.7200003
27.28442,7.3308516,28.019258,7.7200003
27.033745,7.326741,27.978672,7.7200003
26.850594,7.3927255,27.95532,7.7200003
27.363518,7.2608223,27.90695,7.7200003
26.941196,7.300202,27.867474,7.7200003
26.981033,7.283492,27.822996,7.7200003
27.283026,7.2323933,27.757944,7.7200003
27.172937,7.2492523,27.734592,7.7200003
27.043896,7.2112703,27.689558,7.7200003
27.147762,7.202744,27.636183,7.7200003
27.285833,7.1891,27.59782,7.7200003
27.081911,7.2089477,27.578917,7.7200003
27.157667,7.2421513,27.534437,7.7200003
27.319057,7.251565,27.489403,7.7200003
27.157084,7.235862,27.461603,7.7200003
26.92866,7.3655953,27.421572,7.7200003
27.23329,7.19525,27.377094,7.7200003
27.107658,7.268129,27.353186,7.7200003
26.923275,7.230725,27.312042,7.7200003
27.071722,7.1897583,27.267008,7.7200003
27.21482,7.1627755,27.242544,7.7200003
27.008318,7.1998916,27.198622,7.7200003
27.061926,7.2059875,27.153585,7.7200003
27.299488,7.109334,27.131346,7.7200003
26.984194,7.1706243,27.087423,7.7200003
27.021769,7.205095,27.042389,7.7200003
27.022343,7.2415633,27.022928,7.7200003
27.185966,7.0630445,26.979006,7.7200003
26.938042,7.245861,26.933971,7.7200003
27.096102,7.1790485,26.905615,7.7200003
27.31532,7.0636477,26.862804,7.7200003
27.055492,7.1109114,26.813877,7.7200003
27.190039,7.1341825,26.799978,7.7200003
27.387903,7.074337,26.75661,7.7200003
27.086023,7.1682453,26.710464,7.7200003
27.186626,7.110772,26.687113,7.7200003
27.433758,7.1204915,26.643745,7.7200003
27.080496,7.175079,26.596487,7.7200003
27.10521,7.1498957,26.575914,7.7200003
27.430033,7.0849705,26.533104,7.7200003
27.1375,7.106471,26.485289,7.7200003
27.155722,7.147048,26.467497,7.7200003
27.326548,7.1097894,26.42135,7.7200003
27.419207,6.9967256,26.372423,7.7200003
27.19821,7.1249733,26.35352,7.7200003
27.23313,7.0968556,26.298477,7.7200003
27.378883,7.012393,26.26623,7.7200003
27.166294,7.1221547,26.244547,7.7200003
27.299154,7.0848684,26.200066,7.7200003
27.393011,7.0016556,26.155588,7.7200003
27.139103,7.073575,26.1289,7.7200003
27.303272,6.981516,26.084421,7.7200003
27.242128,7.0986886,26.043278,7.7200003
27.240677,7.0492163,26.02215,7.7200003
27.318085,7.063578,25.969889,7.7200003
27.32847,7.1954803,25.950985,7.7200003
27.198282,7.2033315,25.910954,7.7200003
27.103052,7.235469,25.865917,7.7200003
27.417486,7.1053963,25.841454,7.7200003
27.06818,7.2666035,25.796976,7.7200003
27.125664,7.179871,25.750828,7.7200003
27.231804,7.190419,25.730257,7.7200003
27.074654,7.317511,25.68522,7.7200003
27.01527,7.309275,25.644634,7.7200003
26.980858,7.3188934,25.62184,7.7200003
27.19839,7.323063,25.575136,7.7200003
26.824184,7.435416,25.532326,7.7200003
26.69239,7.4643826,25.510641,7.7200003
26.998995,7.349851,25.449484,7.7200003
26.749657,7.352937,25.42224,7.7200003
26.642931,7.422845,25.4,7.7200003
26.979847,7.3042254,25.4,7.7200003
26.868221,7.3078876,25.4,7.741196
26.64573,7.498179,25.4,7.766246
26.995533,7.3465114,25.4,7.81201
26.969696,7.4811025,25.4,7.8365774
26.459793,7.8021874,25.4,7.8635545
26.419498,7.818018,25.4,7.907873
26.641464,7.7688084,25.4,7.9314775
25.908516,8.215019,25.4,7.960381
26.245148,7.9558973,25.4,8.003254
26.282465,8.02412,25.4,8.027341
25.836487,8.419138,25.4,8.056244
25.865719,8.313639,25.4,8.099117
25.585241,8.42531,25.4,8.132838
25.945095,8.461691,25.4,8.171858
25.689486,8.49822,25.4,8.210396
25.688509,8.513806,25.4,8.249415
25.776619,8.524424,25.4,8.289398
25.471687,8.765161,25.4,8.32601
25.39092,8.765071,25.4,8.364548
26.020573,8.531757,25.4,8.383817
25.838812,8.584442,25.4,8.422836
25.581324,8.853889,25.4,8.460893
26.08714,8.666043,25.4,8.502803
25.782589,8.689318,25.4,8.539413
26.088829,8.602762,25.4,8.557238
25.92023,8.7963085,25.4,8.596257
26.1029,8.693302,25.4,8.636241
25.859957,8.943694,25.4,8.653583
25.664066,9.144665,25.4,8.692602
25.767328,9.063959,25.4,8.73114
25.482082,9.127704,25.4,8.7499275
25.446127,9.180556,25.4,8.787984
25.332554,9.3372755,25.4,8.826522
25.18665,9.361521,25.4,8.847236
24.898998,9.452041,25.4,8.884329
25.494429,9.483151,25.4,8.931538
25.271133,9.781563,25.4,8.956105
25.178152,9.589575,25.4,8.980674
25.729637,9.417652,25.4,9.026919
25.52953,9.774789,25.4,9.051005
25.637325,9.687655,25.4,9.098697
25.739635,9.604116,25.4,9.135307
25.96398,9.598034,25.4,9.175291
26.121967,9.562962,25.4,9.1940775
26.396402,9.344116,25.4,9.232615
25.79511,9.830343,25.4,9.270672
26.398668,9.399443,25.4,9.289459
26.407743,9.358455,25.4,9.32896
26.410172,9.355859,25.4,9.367017
26.629803,9.2784195,25.4,9.384841
26.638874,9.294804,25.4,9.425305
26.392147,9.319415,25.4,9.4648075
26.421946,9.45445,25.4,9.482631
26.517561,9.367952,25.4,9.525504
26.435574,9.459734,25.4,9.5587435
26.637487,9.315134,25.4,9.597281
26.68579,9.303036,25.4,9.640155
26.663893,9.308689,25.4,9.677248
26.315344,9.598255,25.4,9.713859
26.67416,9.279828,25.4,9.753842
26.481672,9.425146,25.4,9.792862
26.485653,9.420487,25.4,9.828991
26.43693,9.444661,25.4,9.847778
26.256716,9.639203,25.4,9.886798
26.547607,9.340955,25.4,9.932562
26.539846,9.322029,25.4,9.9571295
26.402855,9.422363,25.4,9.983143
26.734257,9.163898,25.4,10.02987
26.595238,9.342283,25.4,10.051548
26.41463,9.472736,25.4,10.079488
26.75515,9.163874,25.4,10.125252
26.612564,9.319585,25.4,10.147893
26.661695,9.333983,25.4,10.175833
26.853611,9.173976,25.4,10.220152
26.736856,9.277885,25.4,10.243275
26.712643,9.268285,25.4,10.272178
26.862188,9.200602,25.4,10.313606
26.496346,9.443957,25.4,10.336729
26.93979,9.010896,25.4,10.372858
26.852194,9.195808,25.4,10.409951
26.765894,9.250779,25.4,10.432592
26.899733,9.119062,25.4,10.46535
26.783272,9.167681,25.4,10.503887
26.596376,9.303075,25.4,10.542908
26.834969,9.17754,25.4,10.58
26.990906,9.0003195,25.4,10.58
26.758265,9.267043,25.351738,10.58
26.961885,9.088481,25.322939,10.58
27.244205,8.874957,25.247433,10.58
26.989326,9.048798,25.197617,10.58
26.817951,9.247486,25.135344,10.58
26.916874,9.141377,25.09331,10.58
27.00946,9.100249,25.041935,10.58
26.700306,9.323627,24.980442,10.58
26.753723,9.27339,24.939964,10.58
26.805477,9.24883,24.885477,10.58
26.537355,9.284772,24.821648,10.58
26.728718,9.123532,24.785063,10.58
26.350048,9.430562,24.72902,10.58
26.511778,9.256742,24.667524,10.58
26.4091,9.24441,24.627827,10.58
26.01746,9.521686,24.574116,10.58
26.201368,9.349579,24.511845,10.58
26.272182,9.117055,24.476816,10.58
26.00391,9.30562,24.419992,10.58
25.844236,9.126892,24.350716,10.58
25.773064,9.164617,24.321915,10.58
25.605288,9.157151,24.262756,10.58
25.756014,8.954675,24.194256,10.58
24.81924,9.443051,24.16857,10.58
25.305378,9.364079,24.107077,10.58
25.13997,9.385089,24.045582,10.58
24.883116,9.452677,24.014446,10.58
25.223253,9.284725,23.951395,10.58
25.233055,9.323786,23.889124,10.58
24.64318,9.61733,23.82685,10.58
24.728197,9.4959,23.792603,10.58
24.758657,9.54337,23.734222,10.58
25.078928,9.2893715,23.67195,10.58
24.501837,9.467444,23.63848,10.58
24.625038,9.491865,23.57854,10.58
25.087526,9.10576,23.515491,10.58
24.686405,9.255357,23.431423,10.58
24.350986,9.309482,23.398731,10.58
24.281532,9.439569,23.318556,10.58
24.552994,9.245997,23.267181,10.58
23.520475,9.770336,23.205687,10.58
23.597248,9.771632,23.167545,10.58
23.717054,9.457191,23.110722,10.58
23.825348,9.407971,23.04845,10.58
24.543568,9.156303,23.012644,10.58
23.578646,9.573009,22.955042,10.58
24.544765,9.100948,22.89277,10.58
24.582306,9.103675,22.860855,10.58
24.496632,9.199008,22.797806,10.58
24.304098,9.186873,22.734755,10.58
24.342863,9.199181,22.705954,10.58
24.672195,9.081925,22.629671,10.58
24.33592,9.2000065,22.58141,10.58
24.573458,8.974092,22.54716,10.58
24.814548,8.735362,22.48878,10.58
25.04103,8.663685,22.426508,10.58
24.313728,9.168292,22.395372,10.58
24.838987,8.885112,22.333878,10.58
25.004986,9.006994,22.270828,10.58
25.078308,9.031448,22.238134,10.58
24.944744,9.22716,22.174305,10.58
25.326368,8.925308,22.114368,10.58
24.7508,9.302544,22.08479,10.58
25.886564,8.808676,22.02174,10.58
25.208828,8.999765,21.958689,10.58
25.600584,8.690603,21.924438,10.58
25.478773,9.080378,21.86528,10.58
25.943644,8.65997,21.79211,10.58
25.521917,8.907885,21.768759,10.58
25.139507,9.254959,21.7096,10.58
25.389317,9.070348,21.648106,10.58
25.02825,9.260095,21.616192,10.58
24.939491,9.242656,21.55314,10.58
24.781837,9.238094,21.490091,10.58
24.580832,9.294445,21.458956,10.58
24.332363,9.491183,21.39357,10.58
24.18655,9.476665,21.355427,10.58
24.171236,9.487239,21.30561,10.58
24.174177,9.48382,21.243338,10.58
24.635107,9.32141,21.20364,10.58
24.41791,9.21182,21.146038,10.58
24.561605,9.439112,21.08143,10.58
24.282583,9.383604,21.049517,10.58
23.754475,9.562993,20.988022,10.58
24.305122,9.280604,20.931978,10.58
23.309269,9.750307,20.89695,10.58
22.83575,9.819791,20.837791,10.58
23.35083,9.531029,20.775518,10.58
22.85236,9.979063,20.74127,10.58
23.308748,9.801461,20.682112,10.58
22.810068,9.976332,20.611277,10.58
23.172766,9.638068,20.587925,10.58
23.03125,10.096014,20.52643,10.58
22.999508,9.964462,20.464937,10.58
23.031916,10.001206,20.428352,10.58
22.517729,10.311629,20.369972,10.58
22.362417,10.010539,20.306921,10.58
22.412739,9.840343,20.277342,10.58
22.411745,9.925574,20.2104,10.58
21.792435,9.932038,20.15202,10.58
22.080357,9.764419,20.089748,10.58
22.333364,9.898068,20.06017,10.58
22.673681,9.552568,19.997118,10.58
21.741173,10.1034155,19.934067,10.58
22.187376,9.994901,19.899818,10.58
21.670013,10.002395,19.84066,10.58
21.471512,10.024634,19.774494,10.58
21.493586,10.139677,19.741802,10.58
21.471064,9.893826,19.686535,10.58
20.863825,10.037053,19.614923,10.58
20.920673,10.026728,19.584566,10.58
21.033503,10.158272,19.530855,10.58
20.577843,10.080429,19.459242,10.58
20.608238,9.915766,19.432777,10.58
21.092192,9.763014,19.375175,10.58
20.890154,9.740315,19.312124,10.58
20.58751,10.05158,19.27554,10.58
21.125666,9.772486,19.213268,10.58
20.197807,10.111538,19.15411,10.58
20.70191,9.749627,19.120638,10.58
20.535175,9.951198,19.057589,10.58
20.381746,10.034398,19.001543,10.58
20.214523,9.895462,18.970407,10.58
20.226795,9.8015,18.908134,10.58
20.4228,9.92001,18.839636,10.58
19.730532,9.937754,18.814726,10.58
19.870573,9.92889,18.750898,10.58
19.750227,10.092406,18.689404,10.58
19.532984,9.869192,18.658268,10.58
19.659618,10.128758,18.595995,10.58
19.863997,9.947467,18.53528,10.58
19.41844,10.023573,18.503366,10.58
19.35185,9.82455,18.437202,10.58
19.296532,9.928533,18.372595,10.58
19.285816,9.904998,18.346128,10.58
19.4387,9.719357,18.283857,10.58
18.956362,9.930185,18.216915,10.58
19.641945,9.670439,18.191227,10.58
18.877705,10.025877,18.128956,10.58
19.358137,9.776736,18.062012,10.58
19.071043,9.898009,18.032433,10.58
18.507841,9.774922,17.969383,10.58
18.636902,9.8662195,17.907888,10.58
18.45201,9.954333,17.877531,10.58
18.475681,9.807026,17.817595,10.58
18.334524,9.942354,17.756102,10.58
18.33471,10.05301,17.725744,10.58
18.110434,9.928475,17.661137,10.58
18.375725,10.0823,17.622215,10.58
18.28605,10.018168,17.568506,10.58
18.345316,9.93077,17.50312,10.58
18.186993,9.942282,17.46498,10.58
18.281746,9.974436,17.412827,10.58
18.448606,9.905658,17.351332,10.58
17.903723,9.914764,17.315525,10.58
17.877811,9.982915,17.257145,10.58
17.902042,10.179096,17.194096,10.58
17.894403,9.89551,17.16296,10.58
17.99628,10.117609,17.100687,10.58
17.639328,10.021959,17.039194,10.58
17.61955,9.945745,17.007278,10.58
17.668222,9.863231,16.940336,10.58
17.896223,10.006854,16.882734,10.58
17.897594,9.921947,16.852377,10.58
17.43859,9.924549,16.78777,10.58
17.518198,9.932271,16.722383,10.58
17.10174,10.0975,16.696697,10.58
17.274496,10.278734,16.634424,10.58
17.707375,10.039951,16.572931,10.58
17.487524,10.051164,16.540237,10.58
17.090054,9.937518,16.467848,10.58
17.56933,10.108681,16.417252,10.58
17.643234,9.950955,16.384558,10.58
16.78573,9.845743,16.311388,10.58
17.293379,10.00228,16.260014,10.58
16.892231,10.00693,16.19852,10.58
16.730377,9.984672,16.161936,10.58
16.988804,10.167795,16.105112,10.58
17.03829,9.887419,16.040504,10.58
16.938765,10.033681,16.007034,10.58
16.67629,9.952071,15.950211,10.58
17.009672,10.004309,15.881711,10.58
16.701477,10.016561,15.85291,10.58
16.422989,9.981072,15.79453,10.58
16.579971,9.969329,15.729922,10.58
16.597977,10.115885,15.69723,10.58
16.315798,10.0602455,15.632623,10.58
16.949806,10.020543,15.573464,10.58
16.432644,10.066716,15.544663,10.58
16.624132,10.067991,15.482391,10.58
16.974325,10.112288,15.4208975,10.58
16.1419,10.11721,15.388205,10.58
16.633554,10.198817,15.327489,10.58
15.882021,10.088055,15.26366,10.58
15.97708,10.304787,15.232525,10.58
16.695557,10.211561,15.169475,10.58
15.798553,10.152039,15.10331,10.58
16.08236,10.161498,15.077622,10.58
15.646244,10.490217,15.016907,10.58
15.964309,10.264689,14.953856,10.58
15.7028475,10.297406,14.922721,10.58
14.955176,10.6693535,14.858892,10.58
15.017719,10.272694,14.784944,10.58
14.920951,10.562773,14.764706,10.58
14.779646,10.60338,14.70399,10.58
14.9413185,10.411586,14.643275,10.58
14.877972,10.51383,14.611361,10.58
14.626251,10.6578,14.542861,10.58
15.205877,10.431923,14.485259,10.58
14.438042,10.507261,14.452567,10.58
13.889131,11.045141,14.387181,10.58
14.466512,10.575366,14.330358,10.58
14.117902,10.753744,14.3,10.58
14.351345,10.628049,14.3,10.58
14.288366,10.619145,14.3,10.676126
14.288547,10.517915,14.3,10.737582
14.905952,10.485585,14.3,10.7943125
14.30284,10.772547,14.3,10.833708
14.065764,10.807575,14.3,10.8951645
14.012114,11.3389225,14.3,10.950318
13.5793495,11.445641,14.3,10.990502
13.55633,11.288423,14.3,11.052747
13.643156,11.343211,14.3,11.106325
13.6780405,11.368141,14.3,11.147297
13.764702,11.094929,14.3,11.209541
13.878213,11.0778885,14.3,11.267847
13.802153,11.211933,14.3,11.304879
13.976057,11.14203,14.3,11.3687
13.706437,11.342688,14.3,11.4191265
13.365832,11.830601,14.3,11.463249
14.253372,10.950981,14.3,11.534162
13.64155,11.360668,14.3,11.572769
13.926999,11.098564,14.3,11.620044
14.076254,11.174141,14.3,11.699623
13.884354,11.131756,14.3,11.729564
14.2815895,11.093407,14.3,11.7792015
13.922325,11.525521,14.3,11.848538
14.11728,11.202529,14.3,11.884782
14.074972,11.269014,14.3,11.935208
13.554274,11.616612,14.3,12.002181
13.8269005,11.766025,14.3,12.040789
13.558755,11.959724,14.3,12.0959425
13.713496,11.469194,14.3,12.1621275
13.740209,11.712662,14.3,12.197583
13.821446,11.856513,14.3,12.250373
13.528133,12.4523325,14.3,12.314194
13.7521715,11.787624,14.3,12.381166
13.741033,12.227915,14.3,12.407955
13.959315,12.404873,14.3,12.470988
13.8456,11.902619,14.3,12.537961
13.8117895,12.072395,14.3,12.565537
13.831131,12.270568,14.3,12.629358
14.02083,11.875396,14.3,12.691604
13.896752,11.865721,14.3,12.74203
13.8582,12.158018,14.3,12.786153
14.011815,12.127781,14.3,12.849974
13.929919,12.051513,14.3,12.898037
13.972446,12.167665,14.3,12.944524
13.966167,12.117652,14.3,13.008345
13.95676,11.900467,14.3,13.065074
13.792392,11.903978,14.3,13.101318
14.111249,12.248536,14.3,13.1643505
13.969053,12.122185,14.3,13.209262
13.932384,12.2324915,14.3,13.261264
13.920305,12.272427,14.3,13.327449
13.981266,12.222813,14.3,13.365269
14.02362,12.374238,14.3,13.418058
13.949604,11.982116,14.3,13.448787
14.100541,12.159766,14.3,13.519699
13.9951,12.137428,14.3,13.574853
14.133273,12.202887,14.3,13.606369
13.956154,12.389378,14.3,13.676494
13.929797,12.155519,14.3,13.7316475
14.283925,12.205073,14.3,13.793104
13.998937,12.308178,14.3,13.8325
14.15416,12.123122,14.3,13.893169
14.19689,12.249264,14.3,13.953838
13.865168,12.268054,14.3,13.988506
14.082035,12.590051,14.3,14.0476
14.03074,12.469488,14.3,14.10433
14.053418,12.33846,14.3,14.144513
13.965855,12.4308815,14.3,14.208334
14.197744,12.40548,14.3,14.261125
14.414692,12.320264,14.3,14.298944
14.152386,12.33602,14.3,14.361977
14.225847,12.276349,14.3,14.418707
13.954706,13.033244,14.3,14.456527
14.348494,12.692458,14.3,14.521135
14.032114,12.527982,14.3,14.574713
14.184031,12.817769,14.3,14.614109
14.37868,13.115828,14.3,14.681081
14.219722,12.987909,14.3,14.728356
14.34082,12.928247,14.3,14.773267
14.215139,12.908463,14.3,14.837875
14.349455,13.108694,14.3,14.885151
14.450607,13.163932,14.3,14.930061
14.526551,13.125591,14.3,15.003337
14.4045105,12.976046,14.3,15.041157
14.224697,13.171442,14.3,15.08922
14.748636,13.339827,14.3,15.1569805
14.480759,13.248893,14.3,15.195588
14.387327,13.016259,14.3,15.245226
14.397112,13.087581,14.3,15.316926
14.432222,13.217038,14.3,15.354746
14.615368,13.517261,14.3,15.402808
14.652812,13.442061,14.3,15.469781
14.573669,13.771332,14.3,15.506813
14.691116,13.984027,14.3,15.559603
14.653624,13.70837,14.3,15.631303
14.801158,13.626708,14.3,15.6667595
14.624923,13.860316,14.3,15.717974
14.784804,13.809711,14.3,15.786522
14.658854,13.598557,14.3,15.819614
14.755934,14.037914,14.3,15.876344
14.861221,14.176879,14.3,15.935437
14.814028,14.106435,14.3,15.974833
14.820832,14.047617,14.3,16.03235
14.874167,14.240265,14.3,16.100111
14.730168,14.184388,14.3,16.131628
14.844485,14.088838,14.3,16.209631
14.731169,14.205291,14.3,16.253754
14.674908,14.04422,14.3,16.31521
14.865101,14.443277,14.3,16.36485
14.891438,14.664191,14.3,16.412125
14.562707,14.463263,14.3,16.484612
14.926392,14.295321,14.3,16.524008
14.833457,14.934451,14.3,16.568918
14.707536,14.854468,14.3,16.637466
15.034663,14.4425,14.3,16.675287
14.8543,14.352656,14.3,16.725712
14.728591,14.942632,14.3,16.789534
15.016911,14.792867,14.3,16.832869
14.874024,14.850914,14.3,16.88487
14.687973,15.1231785,14.3,16.952631
14.720727,14.37897,14.3,16.99439
14.84135,14.845028,14.3,17.041666
14.838619,15.139226,14.3,17.10391
14.83029,14.481031,14.3,17.143307
14.808921,14.875495,14.3,17.200035
14.769857,14.865766,14.3,17.231552
14.631055,15.0105915,14.3,17.301676
14.844185,15.140571,14.3,17.35683
14.834582,15.372633,14.3,17.418287
14.494806,15.381037,14.3,17.456894
14.675978,14.99789,14.3,17.512836
14.722892,15.299752,14.3,17.574293
14.806728,15.409533,14.3,17.610537
14.71624,15.271798,14.3,17.674358
14.690297,15.560542,14.3,17.731089
14.798546,15.2845125,14.3,17.766544
14.353748,16.185078,14.3,17.846123
14.800158,15.269187,14.3,17.883944
14.691133,15.543469,14.3,17.927279
14.365662,16.01674,14.3,17.992674
14.801248,15.299216,14.3,18.040737
14.692146,15.707592,14.3,18.081709
14.381042,16.292782,14.3,18.144741
14.624987,15.887935,14.3,18.196745
14.466509,16.256012,14.3,18.238503
14.346538,16.755058,14.3,18.301537
14.553389,16.118206,14.3,18.355902
14.570591,15.987064,14.3,18.396873
14.361665,16.759756,14.3,18.474089
14.590156,16.504019,14.3,18.507969
14.527591,16.261227,14.3,18.556032
14.44277,16.74248,14.3,18.627731
14.484361,16.658278,14.3,18.663187
14.398191,16.484436,14.3,18.717554
14.34589,17.412281,14.3,18.780586
14.206844,17.318624,14.3,18.819195
14.185214,17.444395,14.3,18.868834
14.464781,17.184408,14.3,18.939745
14.300141,17.025663,14.3,18.977564
14.385761,16.938614,14.3,19.03587
14.420706,17.081202,14.3,19.091024
14.256927,16.683891,14.3,19.129631
14.269262,16.989758,14.3,19.184786
14.218999,17.699306,14.3,19.248606
14.288144,17.892315,14.3,19.296669
14.264755,17.240528,14.3,19.342367
14.236427,18.213158,14.3,19.405401
14.334887,17.45834,14.3,19.44716
14.207293,17.57104,14.3,19.499163
14.326835,18.00707,14.3,19.56377
14.161474,18.034176,14.3,19.598438
14.034968,18.26828,14.3,19.67723
14.068152,18.260126,14.3,19.720566
14.10146,18.98316,14.3,19.75287
14.123318,18.153744,14.3,19.834024
14.197483,18.799562,14.3,19.870268
14.106197,18.541803,14.3,19.910452
14.167911,17.980661,14.3,19.993183
14.156537,18.556734,14.3,20.034943
14.1795225,18.786253,14.3,20.099552
14.154237,18.420122,14.3,20.142887
14.0559435,19.111397,14.3,20.194101
14.111679,19.894363,14.3,20.255558
